,Fiscal Quarter,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021,Q4 2020,Q3 2020,Q2 2020,Q1 2020,Q4 2019,+19 Quarters
,Period Ending,"Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Dec '22 Dec 31, 2022","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Dec '21 Dec 31, 2021","Sep '21 Sep 30, 2021","Jun '21 Jun 30, 2021","Mar '21 Mar 31, 2021","Dec '20 Dec 31, 2020","Sep '20 Sep 30, 2020","Jun '20 Jun 30, 2020","Mar '20 Mar 31, 2020","Dec '19 Dec 31, 2019",+19 Quarters
0,Revenue,379582,380238,368729,365584,394600,365263,330204,297747,291141,237575,168700,112678,53535,145764,176342,157548,123933,114144,335201,440039,Upgrade
1,Revenue Growth (YoY),-3.81%,4.10%,11.67%,22.78%,35.54%,53.75%,95.73%,164.25%,443.84%,62.99%,-4.33%,-28.48%,-56.80%,27.70%,-47.39%,-64.20%,-68.34%,-70.59%,-8.32%,34.32%,Upgrade
2,Cost of Revenue,259931,255265,243757,251341,274883,249577,224513,225502,227888,153803,117105,92014,63361,106675,119434,131779,106070,100031,225095,260609,Upgrade
3,Gross Profit,119652,124973,124972,114243,119717,115686,105691,72245,63253,83772,51595,20664,-9826,39089,56908,25769,17864,14113,110106,179430,Upgrade
4,"Selling, General & Admin",27945,35656,67193,-3436,33688,41702,39454,17855,28510,28930,18440,2337,6863,16102,18989,8246,14069,13967,22802,13266,Upgrade
5,Operating Expenses,25938,50607,54249,61353,39677,37728,37439,21865,29244,28196,18440,7938,7642,15323,18989,11654,14069,13967,22802,15068,Upgrade
6,Operating Income,93714,74365,70723,52890,80040,77958,68252,50380,34009,55576,33156,12725,-17468,23766,37919,14115,3794,146.67,87304,164362,Upgrade
7,Interest Expense,-,-2577,-3383,-5769,-,-,-16558,-5288,-,-,-,-,-,-,-,-,-,-1257,-,-,Upgrade
8,Interest & Investment Income,5959,-,-,-,9227,7331,-,1.32,4312,7598,2644,1385,2442,2311,2340,1461,3144,5756,4677,2297,Upgrade
9,Currency Exchange Gain (Loss),-8650,17661,-9011,9490,6225,-4622,-1603,5965,1711,-2360,649.39,184.08,-16.97,52.93,-35.97,831.39,54.06,-2159,2105,1331,Upgrade
10,Other Non Operating Income (Expenses),356.5,-2990,26209,-24074,148.63,15067,21075,-14184,-1545,-270.53,7.63,-6593,0,-389.21,-90.65,-10737,-39.27,1008,-887.07,-21861,Upgrade
11,EBT Excluding Unusual Items,91379,86459,84538,32538,95641,95734,71165,36874,38487,60543,36456,7701,-15043,25741,40132,5670,6953,3495,93199,146129,Upgrade
12,Pretax Income,91379,86459,84538,32538,95641,95734,71165,36874,38487,60543,36456,7701,-15043,25741,40132,5670,6953,3495,93199,146129,Upgrade
13,Income Tax Expense,18390,17388,16943,5844,16806,17539,13751,8633,7847,11967,8048,1831,-626.2,6250,8844,724.89,2983,867.82,18632,29483,Upgrade
14,Earnings From Continuing Operations,72990,69071,67595,26694,78835,78195,57415,28241,30640,48575,28409,5870,-14416,19491,31288,4945,3970,2627,74567,116646,Upgrade
