,Fiscal Quarter,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021,Q4 2020,Q3 2020,Q2 2020,Q1 2020,Q4 2019,+19 Quarters
,Period Ending,"Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Dec '22 Dec 31, 2022","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Dec '21 Dec 31, 2021","Sep '21 Sep 30, 2021","Jun '21 Jun 30, 2021","Mar '21 Mar 31, 2021","Dec '20 Dec 31, 2020","Sep '20 Sep 30, 2020","Jun '20 Jun 30, 2020","Mar '20 Mar 31, 2020","Dec '19 Dec 31, 2019",+19 Quarters
0,Cash & Equivalents,294924,471643,346614,322313,215665,144794,97644,126945,226777,167272,143956,335747,256660,264488,240550,223318,144914,204508,227398,250778,Upgrade
1,Short-Term Investments,597000,414882,412000,412000,425000,487114,485000,380072,211027,310000,260000,70000,70000,70000,70000,70000,203470,163380,213380,213380,Upgrade
2,Cash & Short-Term Investments,891924,886525,758614,734313,640665,631908,582644,507017,437804,477272,403956,405747,326660,334488,310550,293318,348384,367888,440778,464158,Upgrade
3,Cash Growth,39.22%,40.29%,30.20%,44.83%,46.34%,32.40%,44.23%,24.96%,34.02%,42.69%,30.08%,38.33%,-6.24%,-9.08%,-29.55%,-36.81%,-27.35%,-16.80%,6.35%,8.75%,Upgrade
4,Accounts Receivable,274647,270001,304377,282429,402080,372287,306104,296688,355285,273803,248938,180453,274359,292081,299052,274475,251612,286141,320059,293931,Upgrade
5,Other Receivables,8364,3459,6725,6598,12968,7617,7523,8929,6805,5857,4553,3415,5449,4086,3633,5079,5227,6704,2319,4288,Upgrade
6,Receivables,283010,273459,311101,289027,415048,379904,313627,305617,362089,279660,253491,183868,279809,296167,302685,279554,256840,292845,322378,298218,Upgrade
7,Inventory,10165,9657,10519,10484,10269,9245,9211,8270,6720,6038,5841,5733,5321,5345,4959,5144,5017,5292,6390,6168,Upgrade
8,Prepaid Expenses,3632,4248,3614,7274,3553,3549,2364,2391,2578,3642,2692,2407,2724,3743,3122,2483,2132,1932,2264,2036,Upgrade
9,Other Current Assets,15064,14099,19925,16422,20430,12191,7395,14732,5667,8781,5902,6463,6538,6644,7619,7851,5590,9145,11888,10685,Upgrade
10,Total Current Assets,1203794,1187988,1103774,1057521,1089964,1036797,915242,838027,814857,775393,671881,604218,621051,646386,628935,588350,617963,677102,783698,781265,Upgrade
11,"Property, Plant & Equipment",204940,180126,195065,203994,198624,201484,222931,223232,240461,264362,291658,319716,349825,380629,411023,441247,473018,505025,499502,454649,Upgrade
12,Other Intangible Assets,12310,12310,12310,12310,12310,12310,12310,12310,12310,12310,12310,12310,12310,12310,12310,12310,12310,12310,12310,12310,Upgrade
