,Fiscal Quarter,Current,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021,Q4 2020,Q3 2020,Q2 2020,Q1 2020,Q4 2019,+19 Quarters
,Period Ending,"Mar '25 Mar 12, 2025","Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Dec '22 Dec 31, 2022","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Dec '21 Dec 31, 2021","Sep '21 Sep 30, 2021","Jun '21 Jun 30, 2021","Mar '21 Mar 31, 2021","Dec '20 Dec 31, 2020","Sep '20 Sep 30, 2020","Jun '20 Jun 30, 2020","Mar '20 Mar 31, 2020","Dec '19 Dec 31, 2019",+19 Quarters
0,Market Capitalization,3018023,2655860,2736341,2494899,2431185,2343998,2474779,2447952,2102556,2276931,2280284,2572026,2377532,2317171,2313818,2340645,2364118,2276931,2313818,2223277,2984490,Upgrade
1,Market Cap Growth,13.30%,13.30%,10.57%,1.92%,15.63%,2.95%,8.53%,-4.82%,-11.57%,-1.74%,-1.45%,9.89%,0.57%,1.77%,0%,5.28%,-20.79%,-22.06%,-21.15%,-28.80%,-0.37%,Upgrade
2,Enterprise Value,2215564,1854181,2057388,1834528,1844303,1759344,1935437,1983293,1707998,1842362,1919039,2210776,2098828,2034194,2057429,2103193,2080586,1967474,1957713,1839967,2578111,Upgrade
3,Last Close Price,90000.00,79200.00,79171.43,72185.71,70342.26,67819.64,69194.30,68444.23,58787.03,63662.51,61566.83,69443.77,64192.48,61687.76,60259.39,60958.05,61569.38,57625.99,56854.76,54630.01,73334.40,Upgrade
4,PE Ratio,14.84,13.00,13.14,11.12,11.37,10.47,13.62,15.75,16.21,20.07,31.45,56.84,48.67,-,49.78,92.47,-,13.33,9.40,6.89,9.13,Upgrade
5,Forward PE,-,11.40,11.40,11.40,11.40,11.40,11.40,11.40,11.40,11.40,11.40,11.40,11.40,11.40,11.40,11.40,11.40,11.40,11.40,11.40,11.40,Upgrade
6,PS Ratio,2.03,1.78,1.81,1.67,1.67,1.69,1.93,2.12,2.11,2.81,3.98,5.35,4.87,4.35,3.83,4.09,3.23,2.25,1.81,1.43,1.88,Upgrade
7,PB Ratio,2.96,2.39,2.64,2.31,2.40,2.38,2.73,2.67,2.44,2.73,2.82,3.03,2.90,2.85,2.79,2.55,2.67,2.57,2.66,2.16,3.08,Upgrade
8,P/TBV Ratio,2.63,2.63,2.91,2.53,2.63,2.55,2.92,2.84,2.66,2.93,3.03,3.24,3.11,3.07,3.02,2.75,2.89,2.81,2.90,2.39,3.41,Upgrade
9,P/FCF Ratio,9.31,8.19,8.77,11.21,8.68,9.05,12.00,9.68,11.84,8.48,10.45,-,12.66,-,21.72,246.40,-66.92,-,-,-,-,Upgrade
10,P/OCF Ratio,6.31,6.31,7.18,8.74,6.87,7.57,10.33,8.52,11.11,8.37,10.44,-,12.64,-,21.66,49.97,31.21,18.76,-,6.04,8.54,Upgrade
11,EV/Sales Ratio,1.48,1.24,1.36,1.23,1.27,1.27,1.51,1.71,1.72,2.27,3.35,4.60,4.30,3.82,3.41,3.68,2.85,1.94,1.53,1.18,1.63,Upgrade
12,EV/EBITDA Ratio,5.88,4.92,5.68,5.00,5.03,4.77,5.89,6.37,6.07,7.42,9.57,12.87,11.74,11.19,10.07,11.57,9.05,5.27,4.16,3.29,4.51,Upgrade
13,EV/EBIT Ratio,7.60,6.36,7.40,6.51,6.61,6.36,8.39,9.53,9.87,13.60,22.85,42.37,36.86,-,25.85,37.57,19.75,7.70,5.41,3.98,5.34,Upgrade
14,EV/FCF Ratio,6.83,5.72,6.60,8.24,6.58,6.79,9.38,7.85,9.62,6.86,8.79,-,11.18,-,19.32,221.41,-58.89,-,-,-,-,Upgrade
15,Asset Turnover,1.07,1.11,1.13,1.12,1.23,1.21,1.19,1.11,1.09,0.93,0.70,0.47,0.21,0.56,0.67,0.59,0.43,0.37,1.05,1.45,Upgrade,
16,Inventory Turnover,98.89,104.91,101.22,92.84,96.89,112.69,108.18,102.74,120.35,142.90,103.58,80.94,66.59,47.52,82.82,94.57,103.76,82.31,68.50,143.40,175.75,Upgrade
17,Quick Ratio,3.71,3.71,3.36,4.66,3.97,3.43,3.03,4.12,4.12,3.62,3.22,5.61,5.59,3.78,3.11,4.83,3.84,2.89,2.07,2.97,2.81,Upgrade
18,Current Ratio,3.80,3.80,3.44,4.81,4.10,3.54,3.10,4.21,4.25,3.69,3.30,5.74,5.72,3.88,3.19,4.95,3.95,2.95,2.13,3.05,2.88,Upgrade
19,Return on Equity (ROE),27.20%,26.10%,25.85%,10.69%,33.33%,34.28%,25.80%,13.32%,14.93%,23.46%,13.62%,2.87%,-7.02%,8.93%,13.88%,2.23%,1.81%,1.11%,29.88%,51.17%,Upgrade,
20,Return on Assets (ROA),16.43%,13.60%,13.50%,10.17%,15.56%,16.16%,15.31%,11.72%,7.98%,13.65%,8.64%,3.30%,-4.30%,5.66%,9.02%,3.28%,0.82%,0.03%,17.10%,33.83%,Upgrade,
21,Return on Capital (ROIC),21.82%,17.56%,16.90%,13.24%,21.15%,21.36%,19.17%,14.86%,10.36%,16.77%,9.93%,3.89%,-5.31%,6.80%,10.51%,3.98%,1.08%,0.04%,21.86%,45.07%,Upgrade,
22,Return on Capital Employed (ROCE),25.77%,25.77%,26.28%,25.58%,27.07%,27.54%,24.92%,22.26%,19.69%,15.89%,10.22%,6.05%,6.84%,-,9.48%,6.02%,11.75%,28.44%,41.02%,44.29%,49.20%,Upgrade
23,Earnings Yield,6.77%,8.20%,8.11%,9.36%,9.36%,9.90%,7.68%,6.69%,6.56%,5.19%,3.39%,1.94%,2.25%,2.20%,2.90%,2.19%,3.73%,8.34%,11.55%,15.22%,11.60%,Upgrade
24,FCF Yield,10.74%,12.21%,11.40%,8.92%,11.53%,11.05%,8.33%,10.33%,8.45%,11.80%,9.57%,6.57%,7.90%,4.92%,4.60%,0.41%,-1.49%,-6.19%,-3.51%,4.11%,3.57%,Upgrade
25,Dividend Yield,2.67%,-,-,-,3.55%,-,-,-,4.25%,-,-,-,3.89%,-,-,-,4.06%,9.54%,-,-,5.45%,Upgrade
26,Payout Ratio,38.43%,122.50%,-,-,-,115.94%,-,-,-,278.54%,-,-,898.54%,-,-,-,1869.56%,138.30%,-,-,-,Upgrade
27,Buyback Yield / Dilution,-0.90%,-,0.03%,-1.49%,-,-,12.89%,-12.77%,-,-,-13.95%,0.02%,-,-,-0.04%,-0.04%,0.04%,0.02%,2.20%,2.78%,0.02%,Upgrade
28,Total Shareholder Return,1.77%,-,0.03%,-1.49%,3.55%,-,12.89%,-12.77%,4.25%,-,-13.95%,0.02%,3.89%,-,-0.04%,-0.04%,4.10%,9.57%,2.20%,2.78%,5.47%,Upgrade
