,Fiscal Quarter,H1 2024,H2 2023,H1 2023,H2 2022,H1 2022,H2 2021,H1 2021,H2 2020,H1 2020,H2 2019
,Period Ending,"Jun '24 Jun 30, 2024","Dec '23 Dec 31, 2023","Jun '23 Jun 30, 2023","Dec '22 Dec 31, 2022","Jun '22 Jun 30, 2022","Dec '21 Dec 31, 2021","Jun '21 Jun 30, 2021","Dec '20 Dec 31, 2020","Jun '20 Jun 30, 2020","Dec '19 Dec 31, 2019"
0,Operating Revenue,3064,3106,2879,2107,1899,2158,2021,1765,949.51,1450
1,Other Revenue,0.71,-0.37,0.37,-0.49,0.49,-,-,-,-,-
2,Revenue,3065,3106,2880,2106,1900,2158,2021,1765,949.51,1450
3,Revenue Growth (YoY),6.43%,47.47%,51.61%,-2.41%,-6.03%,22.26%,112.90%,21.73%,-23.25%,42.40%
4,Cost of Revenue,2236,2188,1970,1537,1346,1489,1392,1226,765.72,1026
5,Gross Profit,828.91,918.4,909.68,569.24,553.48,669.65,629.05,538.95,183.79,423.85
6,"Selling, General & Admin",14.18,22.89,18.85,20.6,10.73,16.33,12.62,12.9,7.87,-1.23
7,Other Operating Expenses,205.9,190.39,153.83,151.98,99.52,114.44,80.16,54.5,75.92,89.03
8,Operating Expenses,647.03,597.71,509.2,480.44,395.67,400.35,324.89,255.32,249.51,250.38
9,Operating Income,181.88,320.69,400.47,88.8,157.81,269.3,304.16,283.62,-65.72,173.48
10,Interest Expense,-53.31,-50.21,-42.66,-41.89,-39.22,-38.77,-36.53,-33.54,-33.66,-35.47
11,Interest & Investment Income,29.86,36.33,28.05,20.99,6.07,6.37,7.79,15.46,53.68,2.36
12,Earnings From Equity Investments,-1.65,0.72,-2.91,-1.1,-2.16,-0.3,1.28,-0.64,-7.61,0.64
13,Currency Exchange Gain (Loss),-13.88,22.9,-45.8,-56.03,-22.84,17.19,0.71,0.36,-0.56,-0.93
14,Other Non Operating Income (Expenses),-10.13,-6.27,-9.09,1.09,0.74,-0.04,-1.42,5.75,-7.89,-7.77
15,EBT Excluding Unusual Items,132.77,324.16,328.07,11.86,100.41,253.74,275.99,271.01,-61.75,132.31
16,Gain (Loss) on Sale of Investments,-2.12,6.59,-1.95,-2.79,-4.9,-2.58,0.79,-0.07,-,-
17,Gain (Loss) on Sale of Assets,-3.37,3.14,-0.41,-2.72,-0.01,-1.38,-1.09,-13.03,-,-
18,Asset Writedown,-39.36,-21.49,-0.33,-7.17,-,-18.85,0.05,6.82,-28.5,1.43
19,Other Unusual Items,-,-1.39,-,-0.36,-,-1.77,1.02,40.74,-38.61,-13.13
20,Pretax Income,87.93,311.01,325.38,-1.17,95.5,229.17,276.76,305.47,-128.86,120.61
21,Income Tax Expense,19.96,69.41,86.98,5.72,33,62.17,71.6,78.76,-40.16,36.87
22,Earnings From Continuing Operations,67.97,241.6,238.4,-6.89,62.5,167,205.16,226.7,-88.7,83.73
23,Minority Interest in Earnings,4.32,-10.35,-16.19,-1.53,-4.8,-13.1,-19.12,-16.74,2.79,-11.88
24,Net Income,72.29,231.25,222.21,-8.42,57.7,153.9,186.04,209.97,-85.9,71.85
25,Net Income to Common,72.29,231.25,222.21,-8.42,57.7,153.9,186.04,209.97,-85.9,71.85
26,Net Income Growth,-67.47%,-,285.12%,-,-68.98%,-26.70%,-,192.22%,-,288.52%
27,Shares Outstanding (Basic),1435,1451,1454,1454,1453,1453,1453,1443,1344,1000
28,Shares Outstanding (Diluted),1435,1451,1454,1454,1453,1454,1454,1443,1344,1000
29,Shares Change (YoY),-1.34%,-0.22%,0.07%,0.00%,-0.04%,0.79%,8.18%,44.25%,34.41%,-
30,EPS (Basic),0.05,0.16,0.15,-0.01,0.04,0.11,0.13,0.15,-0.06,0.07
31,EPS (Diluted),0.05,0.16,0.15,-0.01,0.04,0.10,0.13,0.14,-0.06,0.07
32,EPS Growth,-66.67%,-,277.84%,-,-68.99%,-29.99%,-,111.80%,-,-
33,Free Cash Flow,124.29,175.13,261.08,86.27,227.92,302.92,216.99,187.66,102.84,163.06
34,Free Cash Flow Per Share,0.09,0.12,0.18,0.06,0.16,0.21,0.15,0.13,0.08,0.16
35,Operating Margin,5.93%,10.32%,13.91%,4.22%,8.31%,12.48%,15.05%,16.07%,-6.92%,11.96%
36,Profit Margin,2.36%,7.45%,7.72%,-0.40%,3.04%,7.13%,9.20%,11.89%,-9.05%,4.95%
37,Free Cash Flow Margin,4.06%,5.64%,9.07%,4.10%,12.00%,14.04%,10.73%,10.63%,10.83%,11.24%
38,EBITDA,322.15,439.1,509.61,180.95,251.31,355.57,374.91,341.13,-14.43,220.28
39,D&A For EBITDA,140.27,118.4,109.14,92.15,93.5,86.26,70.75,57.51,51.29,46.81
40,EBIT,181.88,320.69,400.47,88.8,157.81,269.3,304.16,283.62,-65.72,173.48
41,Advertising Expenses,47.07,-,32.11,-,23.27,-,16.77,-,-,-
