,Fiscal Quarter,Current,H1 2024,H2 2023,H1 2023,H2 2022,H1 2022,H2 2021,H1 2021,H2 2020,H1 2020,H2 2019
,Period Ending,"Mar '25 Mar 13, 2025","Jun '24 Jun 30, 2024","Dec '23 Dec 31, 2023","Jun '23 Jun 30, 2023","Dec '22 Dec 31, 2022","Jun '22 Jun 30, 2022","Dec '21 Dec 31, 2021","Jun '21 Jun 30, 2021","Dec '20 Dec 31, 2020","Jun '20 Jun 30, 2020","Dec '19 Dec 31, 2019"
0,Market Capitalization,4724,5731,8763,18676,30320,30313,19912,46146,34300,18510,-
1,Market Cap Growth,-69.31%,-69.31%,-71.10%,-38.39%,52.27%,-34.31%,-41.95%,149.30%,-,-,-
2,Enterprise Value,5902,6260,8717,18398,29698,29677,18882,44785,33191,19660,-
3,Last Close Price,3.38,4.05,5.91,12.44,20.19,20.19,13.23,30.65,22.75,12.90,-
4,PE Ratio,14.95,17.57,17.54,80.84,-,122.30,47.72,96.89,232.80,-,-
5,Forward PE,29.30,8.43,10.51,25.41,57.17,48.53,24.07,66.95,77.50,81.30,-
6,PS Ratio,0.74,0.86,1.33,3.47,6.70,6.38,3.88,10.13,10.64,7.03,-
7,PB Ratio,1.43,1.69,2.37,4.93,8.38,8.46,5.17,11.53,9.44,7.41,-
8,P/TBV Ratio,1.70,1.70,2.40,5.00,8.52,8.59,5.29,11.76,9.61,7.51,-
9,P/FCF Ratio,14.68,17.81,18.23,49.76,85.37,48.75,31.20,94.82,99.42,63.45,-
10,P/OCF Ratio,6.66,6.66,7.86,19.50,39.20,31.17,18.95,49.44,50.59,36.79,-
11,PEG Ratio,1.47,0.42,0.10,0.61,1.70,1.14,0.44,1.05,-,-,-
12,EV/Sales Ratio,0.89,0.94,1.32,3.41,6.56,6.24,3.68,9.83,10.29,7.47,-
13,EV/EBITDA Ratio,4.21,7.65,8.34,24.66,60.77,41.75,21.06,52.00,85.54,-,-
14,EV/EBIT Ratio,10.95,11.59,10.97,34.80,106.52,59.32,26.82,63.35,128.26,-,-
15,EV/FCF Ratio,18.35,19.46,18.14,49.02,83.61,47.73,29.59,92.03,96.21,67.39,-
16,Debt / Equity Ratio,0.78,0.78,0.69,0.57,0.53,0.49,0.48,0.43,0.43,0.46,6.55
17,Debt / FCF Ratio,8.30,8.30,5.34,5.75,5.35,2.85,2.89,3.51,4.57,3.93,2.84
18,Return on Capital Employed (ROCE),10.00%,10.00%,14.09%,9.73%,5.54%,10.25%,13.24%,13.14%,5.37%,-,40.69%
19,Earnings Yield,6.90%,5.69%,5.70%,1.24%,0.18%,0.82%,2.10%,1.03%,0.43%,-0.08%,-
20,FCF Yield,6.81%,5.61%,5.48%,2.01%,1.17%,2.05%,3.21%,1.05%,1.01%,1.58%,-
21,Buyback Yield / Dilution,0.78%,1.34%,0.22%,-0.07%,-0.00%,0.04%,-0.79%,-8.18%,-44.25%,-34.41%,-
22,Total Shareholder Return,5.22%,1.34%,0.22%,-0.07%,-0.00%,0.04%,-0.79%,-8.18%,-44.25%,-34.41%,-
