,Fiscal Quarter,Q4 2024,Q3 2024,Q4 2023,Q3 2023
,Period Ending,"Dec '24 Dec 31, 2024","Sep '24 Sep 30, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023"
0,Revenue,7862,40762,18432,47885
1,Cost of Revenue,5792,35816,14622,42579
2,Gross Profit,2070,4946,3810,5305
3,"Selling, General & Admin",2398,4023,4030,4364
4,Operating Expenses,2398,4023,4030,4364
5,Operating Income,-328.23,922.69,-219.9,941.79
6,Interest & Investment Income,149.92,213.15,209.85,175.91
7,Other Non Operating Income (Expenses),514.95,-17.22,731.25,-15.05
8,Pretax Income,336.64,1119,721.21,1103
9,Income Tax Expense,70.75,236.13,157.14,224.36
10,Net Income,265.89,882.48,564.07,878.3
11,Net Income to Common,265.89,882.48,564.07,878.3
12,Shares Outstanding (Basic),1,-,-,-
13,Shares Outstanding (Diluted),1,-,-,-
14,EPS (Basic),241.72,-,-,-
15,EPS (Diluted),241.72,-,-,-
16,Free Cash Flow,-919.38,-,4261,-
17,Free Cash Flow Per Share,-835.80,-,-,-
18,Gross Margin,26.33%,12.13%,20.67%,11.08%
19,Operating Margin,-4.17%,2.26%,-1.19%,1.97%
20,Profit Margin,3.38%,2.16%,3.06%,1.83%
21,Free Cash Flow Margin,-11.69%,-,23.12%,-
22,EBIT,-328.23,922.69,-219.9,941.79
23,EBIT Margin,-4.17%,2.26%,-1.19%,1.97%
24,Effective Tax Rate,21.02%,21.11%,21.79%,20.35%
25,Revenue as Reported,7862,40762,18432,47885
