,Fiscal Quarter,Q4 2024,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021,Q4 2020,Q3 2020,Q2 2020,Q1 2020,+20 Quarters
,Period Ending,"Dec '24 Dec 31, 2024","Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Dec '22 Dec 31, 2022","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Dec '21 Dec 31, 2021","Sep '21 Sep 30, 2021","Jun '21 Jun 30, 2021","Mar '21 Mar 31, 2021","Dec '20 Dec 31, 2020","Sep '20 Sep 30, 2020","Jun '20 Jun 30, 2020","Mar '20 Mar 31, 2020",+20 Quarters
0,Revenue,51384,16650,24348,24348,52302,17052,23150,45351,56408,22898,33755,36322,55166,15795,19553,36864,56628,13206,12547,19178,Upgrade
1,Revenue Growth (YoY),-1.75%,-2.36%,5.18%,-46.31%,-7.28%,-25.53%,-31.42%,24.86%,2.25%,44.97%,72.63%,-1.47%,-2.58%,19.60%,55.84%,92.22%,42.88%,5.16%,-32.50%,-30.50%,Upgrade
2,"Selling, General & Admin",6813,2866,3012,3012,8477,2840,3085,2698,10574,2660,3062,2217,6870,1963,2360,2155,5114,2034,2281,2175,Upgrade
3,Other Operating Expenses,23131,14092,13986,13986,26171,15695,14591,16367,29839,16026,15912,14829,24940,14220,13020,15099,19084,11183,9617,10403,Upgrade
4,Total Operating Expenses,29944,16958,16998,16998,34648,18535,17675,19065,40414,18685,18974,17045,31810,16184,15380,17254,24198,13216,11898,12578,Upgrade
5,Operating Income,21441,-308.42,7350,7350,17654,-1483,5474,26286,15994,4213,14781,19277,23357,-389.01,4172,19610,32431,-10.62,648.8,6600,Upgrade
6,Interest Expense,-686.49,-685.59,-597.75,-597.75,-1126,-1622,-1916,-2077,-2548,-2593,-2739,-2900,-3273,-3103,-3168,-3416,-3913,-4097,-4177,-4289,Upgrade
7,Interest Income,67,155.85,179.48,179.48,246.67,520.45,549.99,356.62,627.29,601.51,593.88,431.15,310.53,288.6,398.44,293.71,84.78,267.74,303.07,223.83,Upgrade
8,Net Interest Expense,-619.5,-529.73,-418.28,-418.28,-879.07,-1101,-1366,-1721,-1921,-1992,-2145,-2469,-2962,-2815,-2769,-3123,-3828,-3829,-3874,-4065,Upgrade
9,Other Non-Operating Income (Expenses),2382,-0.25,-1.15,-1.15,-0.19,-,-0.56,-0.01,-628.84,-,-135.73,10,0.98,-115.31,-26.48,11.85,-3205,-0.25,-4.87,-,Upgrade
10,EBT Excluding Unusual Items,23203,-838.4,6931,6931,16774,-2584,4108,24565,13445,2221,12500,16818,20395,-3319,1376,16499,25397,-3840,-3230,2535,Upgrade
11,Pretax Income,23203,-838.4,6931,6931,16774,-2584,4108,24565,13445,2221,12500,16818,20395,-3319,1376,16499,25397,-3840,-3230,2535,Upgrade
12,Income Tax Expense,2806,-42.62,713.09,713.09,1988,-610.3,143.78,3142,1081,-14.81,780.1,848.3,1049,-150.52,85.96,837.5,1294,-,-143.73,143.73,Upgrade
13,Net Income,20397,-795.79,6218,6218,14786,-1974,3964,21424,12363,2236,11720,15970,19347,-3169,1290,15662,24103,-3840,-3087,2391,Upgrade
14,Net Income to Common,20397,-795.79,6218,6218,14786,-1974,3964,21424,12363,2236,11720,15970,19347,-3169,1290,15662,24103,-3840,-3087,2391,Upgrade
15,Net Income Growth,37.95%,-,56.86%,-70.98%,19.60%,-,-66.18%,34.15%,-36.10%,-,808.15%,1.97%,-19.73%,-,-,555.03%,82.05%,-,-,-77.54%,Upgrade
16,Shares Outstanding (Basic),33,38,38,38,33,38,38,33,-,33,33,33,33,33,33,33,33,33,33,33,Upgrade
