,Fiscal Quarter,Q4 2024,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021,Q4 2020,Q3 2020,Q2 2020,Q1 2020,+20 Quarters
,Period Ending,"Dec '24 Dec 31, 2024","Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Dec '22 Dec 31, 2022","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Dec '21 Dec 31, 2021","Sep '21 Sep 30, 2021","Jun '21 Jun 30, 2021","Mar '21 Mar 31, 2021","Dec '20 Dec 31, 2020","Sep '20 Sep 30, 2020","Jun '20 Jun 30, 2020","Mar '20 Mar 31, 2020",+20 Quarters
0,Cash & Equivalents,15071,4828,15683,15683,21800,8827,15702,7256,39929,23471,41083,42223.0,33344.0,9333.0,24154,28705.0,14105.0,871.03,4754.0,10312.0,Upgrade
1,Short-Term Investments,20000,17000,12000,12000,15000,15000,16000,24500,19500,27263,26263,25867.0,15867.0,15449.0,15449,15000.0,15000.0,11207.0,17173.0,12052.0,Upgrade
2,Accounts Receivable,22997,12787,5736,5736,23724,9670,17215,26888,23971,9925,10067,9961.0,22725.0,14058.0,6045,9131.0,24457.0,6054.0,4989.0,5152.0,Upgrade
3,Other Receivables,1324,2295,1957,1957,1429,2791,1967,551.7,1454,2040,1605,1583.0,587.58,1440.0,1059,1148.0,739.49,2118.0,2175.0,2299.0,Upgrade
4,Inventory,424.55,278.83,123.09,123.09,131.14,508.85,697.79,158.9,364.38,673.3,486.39,489.96,532.25,418.58,530.95,427.34,433.35,971.1,733.74,913.3,Upgrade
5,Prepaid Expenses,325.87,296.32,392.02,392.02,330.52,375.85,530.79,388.5,331.34,401.77,409.98,554.73,302.94,68.55,169.55,148.89,83.63,162.23,254.21,110.47,Upgrade
6,Other Current Assets,18858,18862,16486,16486,5428,5201,5275,5935,7700,9501,9770,9944.0,9737.0,9016.0,8975,9049.0,8896.0,8716.0,8649.0,9254.0,Upgrade
7,Total Current Assets,79001,56346,52377,52377,67843,42374,57386,65679,93249,73276,89684,90622.0,83096.0,49783.0,56381,63610.0,63715.0,30099.0,38729.0,40093.0,Upgrade
8,"Property, Plant & Equipment",344548,347376,353553,353553,369701,377911,387288,396127,405177,416567,426111,433663.0,443175.0,448501.0,457559,465987.0,472854.0,483388.0,489413.0,492335.0,Upgrade
9,Other Intangible Assets,4966,4971,4977,4977,4987,4993,4998,5004,5009,5014,5020,5025.0,5031.0,5036.0,5041,5047.0,5054.0,5061.0,5068.0,5076.0,Upgrade
10,Other Long-Term Assets,4771,5424,6169,6169,5067,5238,5087,4458,4671,4167,4350,3922.0,4218.0,3422.0,3616,3716.0,4320.0,5128.0,5601.0,6200.0,Upgrade
11,Total Assets,433286,414117,417076,417076,447599,430516,454759,471268,508105,499024,525164,533232.0,535520.0,506742.0,522598,538360.0,545942.0,523676.0,538812.0,543704.0,Upgrade
12,Accounts Payable,1081,426.58,612.43,612.43,864.31,123.38,135.38,400.01,1956,265.55,205.45,132.91,233.18,97.39,108.66,154.45,90.29,408.32,583.93,366.73,Upgrade
13,Accrued Expenses,14669,5544,6624,6624,14091,4873,7944,2168,14216,2299,3702,1192.0,9006.0,2518.0,2763,1704.0,6589.0,3755.0,4037.0,3567.0,Upgrade
14,Short-Term Debt,-,-,-,-,-,-,-,-,-,-,-,4185.0,6247.0,2063.0,-,4185.0,17247.0,20897.0,12893.0,8708.0,Upgrade
15,Current Income Taxes Payable,5280,1943,773.76,773.76,3962,1677,969.78,4307,3232,2362,2357,3117.0,5459.0,2621.0,1531,3140.0,6284.0,1777.0,1178.0,1934.0,Upgrade
16,Other Current Liabilities,2793,17138,2535,2535,19175,2455,2343,2471,28792,2633,2998,3479.0,3527.0,3557.0,17078,3027.0,3393.0,4249.0,2666.0,2732.0,Upgrade
17,Total Current Liabilities,23823,25051,10545,10545,38092,9128,11393,9346,48196,7559,9263,12105.0,24473.0,10856.0,21481,12210.0,33603.0,31086.0,21358.0,17308.0,Upgrade
18,Long-Term Debt,40000,40000,40000,40000,50000,59997,70000,85967,105967,123214,123214,136276.0,140461.0,144646.0,146709,153524.0,157709.0,162063.0,166417.0,170602.0,Upgrade
19,Total Liabilities,63823,65051,50545,50545,88092,69125,81393,95313,154162,130773,132477,148382.0,164934.0,155502.0,168190,165734.0,191312.0,193149.0,187775.0,187910.0,Upgrade
20,Common Stock,333399,333399,333399,333399,333399,333399,333399,333399,333399,333399,333399,333399.0,333399.0,333399.0,333399,333399.0,333399.0,333399.0,333399.0,333399.0,Upgrade
21,Retained Earnings,36099,15702,33167,33167,26143,28027,40003,42591,20579,34888,59324,51486.0,37223.0,17876.0,21044,39262.0,21267.0,-2836.0,17673.0,22431.0,Upgrade
22,Comprehensive Income & Other,-35,-35,-35,-35,-35,-35,-35,-35,-35,-35,-35,-35.0,-35.0,-35.0,-35,-35.0,-35.0,-35.0,-35.0,-35.0,Upgrade
23,Total Common Equity,369463,349066,366531,366531,359507,361391,373367,375955,353943,368251,392688,384850.0,370586.0,351240.0,354408,372626.0,354631.0,330527.0,351037.0,355794.0,Upgrade
24,Shareholders' Equity,369463,349066,366531,366531,359507,361391,373367,375955,353943,368251,392688,384850.0,370586.0,351240.0,354408,372626.0,354631.0,330527.0,351037.0,355794.0,Upgrade
25,Total Liabilities & Equity,433286,414117,417076,417076,447599,430516,454759,471268,508105,499024,525164,533232.0,535520.0,506742.0,522598,538360.0,545942.0,523676.0,538812.0,543704.0,Upgrade
26,Total Debt,40000,40000,40000,40000,50000,59997,70000,85967,105967,123214,123214,140461.0,146709.0,146709.0,146709,157709.0,174956.0,182960.0,179310.0,179310.0,Upgrade
