,Fiscal Quarter,Current,Q4 2024,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021,Q4 2020,Q3 2020,Q2 2020,Q1 2020,+20 Quarters
,Period Ending,"Mar '25 Mar 13, 2025","Dec '24 Dec 31, 2024","Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Dec '22 Dec 31, 2022","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Dec '21 Dec 31, 2021","Sep '21 Sep 30, 2021","Jun '21 Jun 30, 2021","Mar '21 Mar 31, 2021","Dec '20 Dec 31, 2020","Sep '20 Sep 30, 2020","Jun '20 Jun 30, 2020","Mar '20 Mar 31, 2020",+20 Quarters
0,Market Capitalization,650128,656796,800157,833497,566778,493430,443421,500098,510100,500098,533438,420083,420083,400079,356737,360071,400079,300059,300059,290057,270053,Upgrade
1,Market Cap Growth,33.11%,33.11%,80.45%,66.67%,11.11%,-1.33%,-16.88%,19.05%,21.43%,25.00%,49.53%,16.67%,5.00%,33.33%,18.89%,24.14%,48.15%,-14.29%,-17.43%,-25.82%,-29.29%,Upgrade
2,Enterprise Value,655057,674968,812474,846698,579978,529601,481719,554309,556638,572578,589307,492454,517580,522005,463843,474074,545929,470940,457442,447003,440445,Upgrade
3,PE Ratio,22.78,20.50,-,33.01,24.65,12.92,-,12.51,10.68,11.83,10.83,9.58,12.56,12.08,-,9.68,12.18,15.33,-,-,26.75,Upgrade
4,PS Ratio,5.57,5.63,6.80,7.06,4.85,3.58,3.12,3.38,3.22,3.35,3.60,2.98,3.31,3.14,2.77,2.85,3.36,2.95,3.55,3.46,3.00,Upgrade
5,PB Ratio,1.76,1.78,2.29,2.27,1.55,1.37,1.23,1.34,1.36,1.41,1.45,1.07,1.09,1.08,1.02,1.02,1.07,0.85,0.91,0.83,0.76,Upgrade
6,P/FCF Ratio,16.02,16.19,-,16.29,9.76,7.27,9.86,11.46,11.56,-,7.13,6.60,7.41,6.30,-,5.30,6.83,7.49,10.95,-,15.06,Upgrade
7,P/OCF Ratio,10.08,10.08,14.31,12.58,8.52,7.10,9.81,11.41,11.20,-,6.47,5.89,6.64,5.73,-,5.42,6.83,7.37,9.41,11.18,10.05,Upgrade
8,EV/Sales Ratio,5.61,5.78,6.91,7.17,4.96,3.84,3.39,3.75,3.51,3.83,3.98,3.49,4.08,4.10,3.60,3.76,4.58,4.64,5.41,5.33,4.90,Upgrade
9,EV/EBITDA Ratio,8.97,9.24,11.69,12.34,8.70,6.12,5.69,6.10,5.54,6.15,5.83,5.15,6.10,6.14,5.08,5.34,6.66,7.23,9.31,9.22,8.39,Upgrade
