,Fiscal Quarter,H2 2024,H1 2024,H2 2023,H1 2023,H2 2022,H1 2022,H2 2021,H1 2021,H2 2020,H1 2020
,Period Ending,"Aug '24 Aug 31, 2024","Feb '24 Feb 29, 2024","Aug '23 Aug 31, 2023","Feb '23 Feb 28, 2023","Aug '22 Aug 31, 2022","Feb '22 Feb 28, 2022","Aug '21 Aug 31, 2021","Feb '21 Feb 28, 2021","Aug '20 Aug 31, 2020","Feb '20 Feb 29, 2020"
0,Cash & Equivalents,2645,2569,2887,2435,2774,913.99,4442,2503,2932,1097
1,Short-Term Investments,114.23,36.05,27.6,25.29,32.39,36.52,28.03,64.92,19.04,1033
2,Cash & Short-Term Investments,2760,2605,2915,2460,2807,950.51,4470,2568,2951,2130
3,Cash Growth,-5.31%,5.90%,3.84%,158.80%,-37.21%,-62.98%,51.47%,20.56%,8.66%,-18.81%
4,Accounts Receivable,83.68,89.67,104.59,576.02,688.77,837.92,182.74,136.06,68.64,52.67
5,Other Receivables,272.46,265.13,223.49,165.68,169.68,257.67,289.78,157.18,132.21,79.98
6,Receivables,578.92,658.34,643.22,1376,1757,1631,1049,867.01,923.77,675.65
7,Prepaid Expenses,-,102.51,-,76.59,43.58,74.28,30.98,25.31,14.27,69.97
8,Restricted Cash,48.28,87.88,92.49,45.42,10.98,11.33,140.21,3.7,53.7,60.08
9,Other Current Assets,632.25,547.79,491.3,315.04,281.66,44.61,29.45,192.68,15.53,76.45
10,Total Current Assets,4019,4002,4142,4273,4900,2712,5720,3657,3958,3012
11,"Property, Plant & Equipment",13530,13013,12959,13026,12539,11913,9831,7641,6239,5786
12,Long-Term Investments,-,-,553.67,543.35,529.82,515.81,882.17,748.08,196.1,194.65
13,Goodwill,2052,2032,2040,2039,2031,2041,1297,826.97,590.46,595.82
14,Other Intangible Assets,1932,1983,1992,1988,1831,1405,939.7,511.16,357.31,216.89
15,Long-Term Accounts Receivable,-,34.93,-,-,-,50,-,-,-,-
16,Long-Term Deferred Tax Assets,33.17,23.86,24.52,14.45,27.27,26.76,31.38,21.84,2.42,2.23
17,Long-Term Deferred Charges,54.07,9.58,3.02,5.51,7.53,6.61,1.01,3.14,-,-
18,Other Long-Term Assets,661.16,649.42,572.08,328.6,416.84,1060,1192,1628,783.71,446.01
19,Total Assets,22282,21747,22301,22232,22313,19760,19894,15144,12416,10534
20,Accounts Payable,124.46,133.11,131.23,145.44,200.94,290.73,76.94,56.11,59.27,60.33
21,Accrued Expenses,390.63,391.73,429.04,489.71,479.6,485.41,363.89,237.78,187.18,150.73
22,Short-Term Debt,690.82,795.11,710.01,1497,1362,740.65,173.05,384.29,659.9,749.9
23,Current Portion of Long-Term Debt,1564,5370,3218,1095,1367,777.36,2043,1190,859.27,307.15
24,Current Portion of Leases,37.27,33.15,33.09,28.9,27.2,26.6,30.93,31.9,28.97,32.76
25,Current Income Taxes Payable,204.41,208.58,167.54,173.24,172.65,161.2,128.88,167.45,87.76,62.83
26,Current Unearned Revenue,2347,1646,2202,1468,1754,1314,1530,815.41,441.3,670.5
27,Other Current Liabilities,2073,1971,2520,2607,2815,2743,2557,1411,1045,858.65
28,Total Current Liabilities,7431,10550,9411,7504,8178,6539,6905,4294,3368,2893
29,Long-Term Debt,3159,44.28,1835,3592,3435,2648,2863,2807,1670,1515
30,Long-Term Leases,96.55,102.59,116.74,123.67,116.31,126.23,140.47,153.97,120.13,127.36
31,Long-Term Unearned Revenue,1516,1522,1539,1530,1537,1538,1446,1402,1253,1076
32,Long-Term Deferred Tax Liabilities,114.65,104.85,114.65,113.06,114.6,110.55,114.17,126.59,5.69,5.79
33,Other Long-Term Liabilities,809.82,788.28,845.96,827.81,885.13,554.89,619.45,168.86,312.86,346.21
34,Total Liabilities,13127,13111,13862,13691,14265,11517,12087,8953,6730,5963
35,Common Stock,0.56,0.56,0.56,0.55,0.55,0.55,0.54,0.5,0.49,0.45
36,Additional Paid-In Capital,5132,5132,5132,5017,5017,5276,5219,3703,3622,2603
37,Retained Earnings,3219,2828,2604,2822,2394,2379,1949,1821,1343,1224
38,Comprehensive Income & Other,799.83,658.36,703.54,701.69,641.81,595.19,645.87,674.92,716.94,740.43
39,Total Common Equity,9152,8618,8439,8541,8053,8251,7814,6200,5683,4568
40,Minority Interest,2.96,17.41,0.27,-0.32,-5.16,-7.25,-7.48,-8.1,3.2,3.1
41,Shareholders' Equity,9154,8636,8440,8541,8048,8244,7807,6192,5686,4571
42,Total Liabilities & Equity,22282,21747,22301,22232,22313,19760,19894,15144,12416,10534
43,Total Debt,5548,6345,5913,6337,6307,4318,5251,4567,3338,2732
44,Net Cash (Debt),-2788,-3740,-2998,-3877,-3500,-3368,-780.68,-1999,-387.32,-601.98
45,Net Cash Per Share,-0.29,-0.45,-0.37,-0.47,-0.44,-0.39,-0.09,-0.27,-0.06,-0.09
46,Filing Date Shares Outstanding,8225,8225,8225,8028,8028,8028,7981,7294,7230,6672
47,Total Common Shares Outstanding,8225,8225,8225,8028,8028,8028,7981,7294,7230,6672
48,Working Capital,-3412,-6548,-5269,-3232,-3277,-3827,-1185,-637.6,590.03,119.3
49,Book Value Per Share,1.11,1.05,1.03,1.06,1.00,1.03,0.98,0.85,0.79,0.68
50,Tangible Book Value,5168,4604,4407,4514,4190,4805,5578,4862,4735,3755
51,Tangible Book Value Per Share,0.63,0.56,0.54,0.56,0.52,0.60,0.70,0.67,0.65,0.56
52,Land,171.73,-,165.53,-,158.35,-,90.8,-,-,-
53,Buildings,10656,-,9966,-,9279,-,7401,-,4556,-
54,Machinery,1783,-,1563,-,1376,-,1062,-,697.75,-
55,Construction In Progress,1390,-,1288,-,1355,-,1087,-,572.72,-
