,Fiscal Quarter,Current,H1 2024,H2 2023,H1 2023,H2 2022,H1 2022,H2 2021,H1 2021,H2 2020,H1 2020
,Period Ending,"Mar '25 Mar 13, 2025","Jun '24 Jun 30, 2024","Dec '23 Dec 31, 2023","Jun '23 Jun 30, 2023","Dec '22 Dec 31, 2022","Jun '22 Jun 30, 2022","Dec '21 Dec 31, 2021","Jun '21 Jun 30, 2021","Dec '20 Dec 31, 2020","Jun '20 Jun 30, 2020"
0,Market Capitalization,60,140,420,692,1040,1697,3767,-,-,-
1,Market Cap Growth,-79.73%,-79.73%,-59.57%,-59.23%,-72.40%,-,-,-,-,-
2,Enterprise Value,172,145,278,344,515,845,6284,-,-,-
3,Last Close Price,0.14,0.33,0.99,1.63,2.45,4.00,8.88,-,-,-
4,PS Ratio,0.53,1.25,3.71,7.33,11.64,26.98,98.48,-,-,-
5,PB Ratio,-0.47,-0.47,-9.59,5.19,2.98,2.86,4.43,-,-,-
6,P/TBV Ratio,-,-,-,15.98,3.54,3.17,4.78,-,-,-
7,EV/Sales Ratio,1.53,1.29,2.45,3.64,5.76,13.44,164.28,-,-,-
8,Debt / Equity Ratio,-0.55,-0.55,-3.57,1.23,0.50,0.31,0.08,-1.23,-1.27,-
9,Earnings Yield,-731.75%,-312.66%,-99.30%,-70.70%,-52.58%,-67.78%,-35.10%,-,-,-
10,FCF Yield,-391.75%,-167.38%,-74.27%,-49.05%,-32.21%,-26.49%,-19.30%,-,-,-
11,Buyback Yield / Dilution,-0.09%,-0.12%,-0.05%,-0.03%,-269.15%,-476.64%,-67.33%,-7.37%,-,-
12,Total Shareholder Return,-0.09%,-0.12%,-0.05%,-0.03%,-269.15%,-476.64%,-67.33%,-7.37%,-,-
