,Fiscal Quarter,H1 2024,H2 2023,H1 2023,H2 2022,H1 2022,H2 2021,H1 2021,H2 2020,H1 2020
,Period Ending,"Jun '24 Jun 30, 2024","Dec '23 Dec 31, 2023","Jun '23 Jun 30, 2023","Dec '22 Dec 31, 2022","Jun '22 Jun 30, 2022","Dec '21 Dec 31, 2021","Jun '21 Jun 30, 2021","Dec '20 Dec 31, 2020","Jun '20 Jun 30, 2020"
0,Cash & Equivalents,49.1,137.49,283.56,463.11,604.62,745.82,442.1,360.8,-
1,Cash & Short-Term Investments,49.1,137.49,283.56,463.11,604.62,745.82,442.1,360.8,-
2,Cash Growth,-82.69%,-70.31%,-53.10%,-37.91%,36.76%,106.71%,-,-,-
3,Accounts Receivable,28.46,31.23,26.39,19.05,14.55,9.14,7.13,7.04,-
4,Other Receivables,-,8.29,-,-,-,18.76,10.17,8.77,-
5,Receivables,28.46,39.52,26.39,19.05,14.55,27.9,17.29,25.01,-
6,Inventory,12.67,8.78,19.88,9.82,9.6,13.45,1.27,0.55,-
7,Other Current Assets,11.97,24.08,12.43,13.18,25.35,24.54,19.77,4.68,-
8,Total Current Assets,102.21,209.86,342.25,505.16,654.12,811.71,480.43,391.05,-
9,"Property, Plant & Equipment",75.12,109.01,141.68,144.72,131.34,29.54,16.09,15.57,-
10,Other Intangible Assets,71.62,76.49,83.39,49.01,50.19,51.27,54.85,179.74,-
11,Other Long-Term Assets,-,-,1.73,3.16,6.81,-,-,-,-
12,Total Assets,248.95,395.36,569.05,702.05,842.45,892.52,551.37,586.36,-
13,Accounts Payable,307.24,198.05,172.23,107.54,108.31,43.61,42.11,46.71,-
14,Accrued Expenses,-,63.46,-,114.98,-,93.82,17.85,23.91,-
15,Current Portion of Long-Term Debt,30.31,23.69,26.87,26.87,29.9,30.87,14.07,22.31,-
16,Current Portion of Leases,11.19,11.03,9.81,13.03,5.56,7.88,5.71,5.52,-
17,Other Current Liabilities,68.45,31.71,121.56,15.69,70.87,9.6,21.19,9.65,-
18,Total Current Liabilities,417.19,327.95,330.48,278.11,214.65,185.78,100.93,108.1,-
19,Long-Term Debt,15.5,6.63,7.88,10.78,18.88,-,2509,2179,-
20,Long-Term Leases,96.5,100.58,107.26,104.61,102.12,13.35,5.68,7.42,-
21,Other Long-Term Liabilities,-,-,-,-,-,-,0.1,37.93,-
22,Total Liabilities,529.19,435.15,445.61,393.49,335.65,199.13,2616,2332,-
23,Common Stock,0.03,0.03,0.03,0.03,0.03,0.03,0.01,0.01,-
24,Additional Paid-In Capital,3492,3473,3473,3471,3471,3471,9.58,26.36,-
25,Retained Earnings,-4037,-3789,-3629,-3411,-3176,-2927,-2194,-1850,-
26,Comprehensive Income & Other,264.82,276.55,278.96,247.88,212.31,149.89,119.94,77.9,-
27,Shareholders' Equity,-280.24,-39.79,123.44,308.56,506.81,693.39,-2065,-1746,-
28,Total Liabilities & Equity,248.95,395.36,569.05,702.05,842.45,892.52,551.37,586.36,-
29,Total Debt,153.5,141.93,151.82,155.28,156.47,52.1,2535,2214,-
30,Net Cash (Debt),-104.4,-4.44,131.74,307.83,448.15,693.71,-2093,-1853,-
31,Net Cash Growth,-,-,-70.60%,-55.63%,-,-,-,-,-
32,Net Cash Per Share,-0.25,-0.01,0.31,0.73,1.06,6.04,-28.45,-26.98,-
33,Filing Date Shares Outstanding,424.84,424.56,424.39,424.29,424.19,424.19,469.11,469.11,68.51
34,Total Common Shares Outstanding,424.84,424.56,424.39,424.29,424.19,424.19,73.56,73.56,68.51
35,Working Capital,-314.98,-118.08,11.78,227.06,439.47,625.93,379.51,282.94,-
36,Book Value Per Share,-0.66,-0.09,0.29,0.73,1.19,1.63,-28.07,-23.73,-
37,Tangible Book Value,-351.85,-116.28,40.06,259.54,456.62,642.12,-2120,-1926,-
38,Tangible Book Value Per Share,-0.83,-0.27,0.09,0.61,1.08,1.51,-28.81,-26.18,-
39,Machinery,-,16.58,-,13.54,-,4.79,4.77,3.75,-
40,Leasehold Improvements,-,3.94,-,10.86,-,11.32,6.86,5.11,-
