,Fiscal Quarter,H1 2024,H2 2023,H1 2023,H2 2022,H1 2022,H2 2021,H1 2021,H2 2020,H1 2020
,Period Ending,"Jun '24 Jun 30, 2024","Dec '23 Dec 31, 2023","Jun '23 Jun 30, 2023","Dec '22 Dec 31, 2022","Jun '22 Jun 30, 2022","Dec '21 Dec 31, 2021","Jun '21 Jun 30, 2021","Dec '20 Dec 31, 2020","Jun '20 Jun 30, 2020"
0,Revenue,44.79,59.82,43.05,44.24,34.73,18.97,12.19,10.09,1.94
1,Revenue Growth (YoY),4.05%,35.20%,23.97%,133.24%,184.84%,88.04%,527.16%,-,-
2,Cost of Revenue,15.36,22.33,16.37,17.52,12.56,7.03,5.35,4.1,1.05
3,Gross Profit,29.44,37.49,26.68,26.73,22.17,11.94,6.84,5.99,0.89
4,"Selling, General & Admin",75.44,86.98,86.52,97.44,98.25,148.57,97.7,82.99,45.74
5,Research & Development,173.26,114.24,142.98,152.91,158.26,152.82,274.84,73.76,35.88
6,Operating Expenses,248.7,201.22,229.5,250.35,256.51,301.39,372.53,156.74,81.62
7,Operating Income,-219.26,-163.73,-202.82,-223.63,-234.34,-289.45,-365.69,-150.76,-80.73
8,Interest Expense,-4.57,-4.49,-4.46,-4.38,-2.48,-1.52,-1.56,-1.71,-2.08
9,Interest & Investment Income,-,10.98,-,3.89,-,2.61,-,0.51,0.45
10,Currency Exchange Gain (Loss),-3.59,-,-16.77,-,-,0.63,-,0.45,-0.45
11,Other Non Operating Income (Expenses),6.42,-3.67,5.89,-10.79,-12.19,-4.48,35.17,-25.46,3.43
12,EBT Excluding Unusual Items,-221,-160.91,-218.16,-234.9,-249.01,-292.22,-332.08,-176.97,-79.38
13,Gain (Loss) on Sale of Assets,-,0.24,-,0.44,-,-,9.73,-,-
14,Asset Writedown,-26.27,-,-,-,-,-,-,-,-
15,Other Unusual Items,-,-,-,-,-,-440.59,-21.85,-512.34,-77.35
16,Pretax Income,-247.27,-160.68,-218.16,-234.46,-249.01,-732.8,-344.2,-689.31,-156.73
17,Net Income,-247.27,-160.68,-218.16,-234.46,-249.01,-732.8,-344.2,-689.31,-156.73
18,Net Income to Common,-247.27,-160.68,-218.16,-234.46,-249.01,-732.8,-344.2,-689.31,-156.73
19,Shares Outstanding (Basic),425,424,424,424,424,115,74,69,69
20,Shares Outstanding (Diluted),425,424,424,424,424,115,74,69,69
21,Shares Change (YoY),0.12%,0.05%,0.03%,269.15%,476.64%,67.33%,7.37%,-,-
22,EPS (Basic),-0.58,-0.38,-0.51,-0.55,-0.59,-6.38,-4.68,-10.04,-2.29
23,EPS (Diluted),-0.58,-0.38,-0.51,-0.55,-0.59,-6.38,-4.68,-10.04,-2.29
24,Free Cash Flow,-108.31,-110.08,-173.29,-140.69,-155.48,-228.23,-363.93,-83.77,-70.45
25,Free Cash Flow Per Share,-0.25,-0.26,-0.41,-0.33,-0.37,-1.99,-4.95,-1.22,-1.03
26,Operating Margin,-489.49%,-273.70%,-471.11%,-505.44%,-674.80%,-1525.93%,-2999.46%,-1494.42%,-4152.83%
27,Profit Margin,-552.01%,-268.60%,-506.75%,-529.93%,-717.04%,-3863.16%,-2823.19%,-6833.00%,-8062.24%
28,Free Cash Flow Margin,-241.80%,-184.02%,-402.53%,-317.99%,-447.72%,-1203.15%,-2985.01%,-830.36%,-3624.07%
29,EBITDA,-212.96,-157.14,-197.59,-218.92,-229.92,-285.14,-360.97,-139.44,-77.69
30,D&A For EBITDA,6.3,6.59,5.23,4.71,4.42,4.31,4.73,11.32,3.04
31,EBIT,-219.26,-163.73,-202.82,-223.63,-234.34,-289.45,-365.69,-150.76,-80.73
