,Fiscal Quarter,H1 2024,H2 2023,H1 2023,H2 2022,H1 2022,H2 2021,H1 2021,H2 2020,H1 2020,H2 2019
,Period Ending,"Jun '24 Jun 30, 2024","Dec '23 Dec 31, 2023","Jun '23 Jun 30, 2023","Dec '22 Dec 31, 2022","Jun '22 Jun 30, 2022","Dec '21 Dec 31, 2021","Jun '21 Jun 30, 2021","Dec '20 Dec 31, 2020","Jun '20 Jun 30, 2020","Dec '19 Dec 31, 2019"
0,Revenue,6299,6182,5891,5920,6529,-,3035,-,3337,3604
1,Revenue Growth (YoY),6.94%,4.42%,-9.77%,-,115.09%,-,-9.03%,-,-15.92%,-13.33%
2,Cost of Revenue,6229,5949,5675,5604,5704,-,2429,-,2871,3091
3,Gross Profit,70.07,232.28,216.19,315.66,825.16,-,606.54,-,465.83,512.17
4,"Selling, General & Admin",287.59,276.16,195.26,228.23,195.88,-,94.2,-,124.29,139.58
5,Operating Expenses,287.59,276.16,195.26,227.41,192.81,-,104.9,-,125.13,137.42
6,Operating Income,-217.53,-43.89,20.93,88.25,632.35,-,501.65,-,340.7,374.75
7,Interest Expense,-68.81,-66.18,-59.19,-55.74,-38.44,-,-23.87,-,-27.54,-23.87
8,Interest & Investment Income,25.93,22.66,25.56,18.82,25.89,-,17.19,-,15.84,30.66
9,Earnings From Equity Investments,2.53,3.19,4.12,16.48,13.98,-,0.99,-,-7.71,0.43
10,Currency Exchange Gain (Loss),4.85,-0.44,-0.31,-0.68,0.25,-,0.01,-,0.28,0.31
11,Other Non Operating Income (Expenses),-6.39,-14.54,-15.18,-13.45,-5.11,-,-9.38,-,-6.28,-27.78
12,EBT Excluding Unusual Items,-259.41,-99.19,-24.07,53.66,628.93,-,486.59,-,315.28,354.49
13,Merger & Restructuring Charges,-,-,-,-,-,-,-,-,-0.6,-0.23
14,Impairment of Goodwill,-,-,-,-,-,-,-,-,-,-2.17
15,Gain (Loss) on Sale of Investments,-,26.4,-,-,0.09,-,5.48,-,14.85,20.86
16,Gain (Loss) on Sale of Assets,-1.27,0.2,0.08,-0.55,0.12,-,-1.29,-,0.86,0.55
17,Asset Writedown,-,-,-,-,-,-,-27.38,-,-,-
18,Legal Settlements,-,16.38,28.3,-,-,-,-,-,-,-
19,Other Unusual Items,-,0.94,-,45,-,-,-,-,-,-
20,Pretax Income,-260.68,-55.27,4.31,98.12,629.14,-,463.4,-,330.4,373.49
21,Income Tax Expense,-51.36,-19.6,-25.3,11.43,145.05,-,121.17,-,87.5,96.29
22,Earnings From Continuing Operations,-209.32,-35.67,29.61,86.69,484.1,-,342.23,-,242.9,277.21
23,Earnings From Discontinued Operations,-,-,-,-,-,-,-3.34,-,-1.28,-
24,Net Income to Company,-209.32,-35.67,29.61,86.69,484.1,-,338.89,-,241.62,277.21
25,Minority Interest in Earnings,52.34,14.83,13.56,25.28,-174.11,-,-2.35,-,-16.06,-17.54
26,Net Income,-156.98,-20.84,43.17,111.97,309.98,-,336.54,-,225.56,259.67
27,Net Income to Common,-156.98,-20.84,43.17,111.97,309.98,-,336.54,-,225.56,259.67
28,Net Income Growth,-,-,-86.07%,-,-7.89%,-,49.20%,-,-31.13%,-44.68%
29,Shares Outstanding (Basic),535,535,535,535,535,-,535,-,535,535
30,Shares Outstanding (Diluted),535,535,535,535,535,-,535,-,535,535
31,EPS (Basic),-0.29,-0.04,0.08,0.21,0.58,-,0.63,-,0.42,0.48
32,EPS (Diluted),-0.29,-0.04,0.08,0.21,0.58,-,0.63,-,0.42,0.48
33,EPS Growth,-,-,-86.07%,-,-7.89%,-,49.20%,-,-31.13%,-44.68%
34,Free Cash Flow,297.44,-343.24,-589.45,-654.3,-73.51,-,-420.43,-,111.13,17.38
35,Free Cash Flow Per Share,0.56,-0.64,-1.10,-1.22,-0.14,-,-0.79,-,0.21,0.03
36,Dividend Per Share,-,-,0.050,0.050,0.050,-,0.100,-,0.100,0.200
37,Dividend Growth,-,-,0%,-,-50.00%,-,0%,-,0%,-42.86%
38,Operating Margin,-3.45%,-0.71%,0.36%,1.49%,9.69%,-,16.53%,-,10.21%,10.40%
39,Profit Margin,-2.49%,-0.34%,0.73%,1.89%,4.75%,-,11.09%,-,6.76%,7.21%
40,Free Cash Flow Margin,4.72%,-5.55%,-10.01%,-11.05%,-1.13%,-,-13.85%,-,3.33%,0.48%
41,EBITDA,-0.13,160.29,196.05,238.09,781.2,-,578.41,-,410.21,438.98
42,D&A For EBITDA,217.4,204.18,175.12,149.84,148.85,90.26,76.77,73.36,69.51,64.23
43,EBIT,-217.53,-43.89,20.93,88.25,632.35,-,501.65,-,340.7,374.75
