,Fiscal Quarter,Current,H1 2024,H2 2023,H1 2023,H2 2022,H1 2022,H2 2021,H1 2021,H2 2020,H1 2020,H2 2019
,Period Ending,"Mar '25 Mar 13, 2025","Jun '24 Jun 30, 2024","Dec '23 Dec 31, 2023","Jun '23 Jun 30, 2023","Dec '22 Dec 31, 2022","Jun '22 Jun 30, 2022","Dec '21 Dec 31, 2021","Jun '21 Jun 30, 2021","Dec '20 Dec 31, 2020","Jun '20 Jun 30, 2020","Dec '19 Dec 31, 2019"
0,Market Capitalization,284,428,739,1258,1606,1960,2243,1836,1499,1510,1815
1,Market Cap Growth,-65.96%,-65.96%,-54.00%,-35.79%,-28.40%,6.71%,49.64%,21.63%,-17.40%,-27.69%,-18.71%
2,Enterprise Value,4359,5304,5285,5262,5067,4770,3902,2474,2089,1640,820
3,Last Close Price,0.53,0.80,1.38,2.28,2.85,3.41,3.67,2.92,2.23,2.16,2.33
4,PE Ratio,-,-,-,7.51,3.37,5.40,-,4.54,-,2.84,2.76
5,PS Ratio,0.02,0.03,0.06,0.10,0.11,0.26,-,0.50,-,0.20,0.21
6,PB Ratio,0.08,0.09,0.14,0.25,0.30,0.36,0.42,0.36,0.32,0.38,0.48
7,P/TBV Ratio,0.14,0.14,0.22,0.38,0.47,0.57,0.60,0.50,0.45,0.53,0.64
8,P/FCF Ratio,-,-8.70,-,-,-,-,-,-,-,10.71,2.85
9,P/OCF Ratio,0.66,0.66,9.58,-,1.43,2.36,-,3.71,-,1.86,1.51
10,EV/Sales Ratio,0.33,0.40,0.40,0.41,0.36,0.62,-,0.68,-,0.22,0.10
11,EV/EBITDA Ratio,22.99,-,13.46,11.22,4.40,5.21,-,3.56,-,1.76,0.76
12,EV/EBIT Ratio,-,-,-,44.61,6.22,6.44,-,4.10,-,2.09,0.87
13,EV/FCF Ratio,-88.58,-107.78,-,-,-,-,-,-,-,11.63,1.29
14,Debt / Equity Ratio,0.77,0.77,0.82,0.82,0.69,0.55,0.42,0.24,0.26,0.30,0.31
15,Debt / FCF Ratio,-,-77.18,-,-,-,-,-,-,-,8.40,1.85
16,Return on Capital Employed (ROCE),-,-,-,1.67%,10.76%,10.47%,-,10.39%,-,17.53%,22.09%
17,Earnings Yield,-67.33%,-44.61%,3.33%,13.32%,29.70%,18.53%,-,22.04%,-,35.26%,36.19%
18,FCF Yield,-17.34%,-11.49%,-139.06%,-106.81%,-51.22%,-4.39%,-,-27.53%,-,9.34%,35.05%
19,Dividend Yield,0.00%,-,-,4.73%,3.97%,1.72%,-,4.12%,-,15.26%,14.39%
20,Total Shareholder Return,-,-,4.73%,3.97%,1.72%,-,4.12%,-,15.26%,14.39%,
