,Fiscal Quarter,H1 2025,H2 2024,H1 2024,H2 2023,H1 2023,H2 2022,H1 2022,H2 2021,H1 2021,H2 2020
,Period Ending,"Sep '24 Sep 30, 2024","Mar '24 Mar 31, 2024","Sep '23 Sep 30, 2023","Mar '23 Mar 31, 2023","Sep '22 Sep 30, 2022","Mar '22 Mar 31, 2022","Sep '21 Sep 30, 2021","Mar '21 Mar 31, 2021","Sep '20 Sep 30, 2020","Mar '20 Mar 31, 2020"
0,Revenue,580.3,665.98,494.39,417.63,451.4,614.33,538.36,459.4,643.76,576.29
1,Revenue Growth (YoY),17.38%,59.47%,9.52%,-32.02%,-16.15%,33.72%,-16.37%,-20.28%,2.56%,39.32%
2,Cost of Revenue,563.35,643.07,472.21,399.36,430.66,594.81,504.24,438.31,609.45,516
3,Gross Profit,16.95,22.92,22.18,18.28,20.75,19.53,34.12,21.09,34.31,60.29
4,"Selling, General & Admin",21.07,21.49,20.41,22.7,21.29,22.35,20.87,26.44,23.25,28.18
5,Operating Expenses,20.95,21.55,20.6,23.44,21.33,22.37,20.89,26.43,23.39,28.18
6,Operating Income,-4.01,1.37,1.58,-5.16,-0.58,-2.84,13.23,-5.34,10.92,32.11
7,Interest Expense,-0.27,-0.15,-0.12,-0.1,-0.08,-0.06,-0.07,-0.07,-0.13,-0.22
8,Interest & Investment Income,-,4.28,-,2.86,-,1.4,-,1.59,-,2.45
9,Currency Exchange Gain (Loss),-,-,-,-,-,-,-,0,-,-
10,Other Non Operating Income (Expenses),7.17,-1.36,3.87,2.71,3.55,0.05,4.67,0.45,2.57,0.71
11,EBT Excluding Unusual Items,2.9,4.14,5.32,0.31,2.88,-1.46,17.82,-3.36,13.37,35.05
12,Gain (Loss) on Sale of Investments,2.05,-0.28,-2.53,3.69,-2.85,2.42,-1.88,1,0.2,-
13,Gain (Loss) on Sale of Assets,-,0.21,-,-,-,-,-,-,-,-
14,Legal Settlements,-,-,-,-,-,-0.36,-,-,0.7,-
15,Other Unusual Items,0.66,-,0.02,0.37,2.29,-,-,2.58,6.33,-
16,Pretax Income,5.61,4.07,2.81,4.36,2.32,0.61,15.95,0.22,20.59,35.05
17,Income Tax Expense,0.56,0.26,0.62,0.98,-0.25,-0.03,2.37,-0.49,2.06,5.94
18,Net Income,5.05,3.81,2.19,3.38,2.57,0.63,13.58,0.71,18.53,29.11
19,Net Income to Common,5.05,3.81,2.19,3.38,2.57,0.63,13.58,0.71,18.53,29.11
20,Net Income Growth,130.20%,12.83%,-14.74%,433.33%,-81.06%,-11.22%,-26.73%,-97.55%,-13.36%,22.69%
21,Shares Outstanding (Basic),793,793,793,794,795,795,795,797,800,800
22,Shares Outstanding (Diluted),793,793,793,794,795,795,795,797,800,800
23,Shares Change (YoY),-,-0.16%,-0.19%,-0.03%,-,-0.33%,-0.66%,-0.34%,-,25.75%
24,EPS (Basic),0.01,0.00,0.00,0.00,0.00,0.00,0.02,0.00,0.02,0.04
25,EPS (Diluted),0.01,0.00,0.00,0.00,0.00,0.00,0.02,0.00,0.02,0.04
26,EPS Growth,130.22%,13.01%,-14.59%,433.79%,-81.06%,-10.96%,-26.24%,-97.54%,-13.36%,-2.43%
27,Free Cash Flow,86.75,26.33,-4.61,13.84,-15.56,29.69,-61.76,16.28,18.03,-26.84
28,Free Cash Flow Per Share,0.11,0.03,-0.01,0.02,-0.02,0.04,-0.08,0.02,0.02,-0.03
29,Operating Margin,-0.69%,0.21%,0.32%,-1.24%,-0.13%,-0.46%,2.46%,-1.16%,1.70%,5.57%
30,Profit Margin,0.87%,0.57%,0.44%,0.81%,0.57%,0.10%,2.52%,0.16%,2.88%,5.05%
31,Free Cash Flow Margin,14.95%,3.95%,-0.93%,3.31%,-3.45%,4.83%,-11.47%,3.54%,2.80%,-4.66%
32,EBITDA,-3.4,2.14,2.47,-4.18,0.47,-1.69,14.25,-4.02,12.24,34
33,D&A For EBITDA,0.6,0.77,0.89,0.98,1.05,1.16,1.02,1.32,1.32,1.89
34,EBIT,-4.01,1.37,1.58,-5.16,-0.58,-2.84,13.23,-5.34,10.92,32.11
