,Fiscal Quarter,Current,H1 2025,H2 2024,H1 2024,H2 2023,H1 2023,H2 2022,H1 2022,H2 2021,H1 2021,H2 2020
,Period Ending,"Mar '25 Mar 7, 2025","Sep '24 Sep 30, 2024","Mar '24 Mar 31, 2024","Sep '23 Sep 30, 2023","Mar '23 Mar 31, 2023","Sep '22 Sep 30, 2022","Mar '22 Mar 31, 2022","Sep '21 Sep 30, 2021","Mar '21 Mar 31, 2021","Sep '20 Sep 30, 2020","Mar '20 Mar 31, 2020"
0,Market Capitalization,129,120,130,148,136,144,146,178,187,130,116
1,Market Cap Growth,-18.92%,-18.92%,-4.71%,2.78%,-7.10%,-19.28%,-21.79%,36.81%,61.38%,-53.43%,-63.75%
2,Enterprise Value,-49,33,80,77,79,48,83,40,64,-3,-45
3,Last Close Price,0.16,0.15,0.15,0.17,0.15,0.15,0.15,0.18,0.18,0.12,0.10
4,PE Ratio,14.42,13.55,21.60,26.58,22.87,44.94,10.30,12.49,9.73,2.74,2.30
5,PS Ratio,0.10,0.10,0.11,0.16,0.16,0.14,0.13,0.18,0.17,0.11,0.10
6,PB Ratio,0.47,0.44,0.47,0.54,0.48,0.52,0.51,0.63,0.67,0.46,0.42
7,P/TBV Ratio,0.44,0.44,0.47,0.54,0.48,0.52,0.51,0.63,0.67,0.46,0.42
8,P/FCF Ratio,1.14,1.06,5.97,-,-78.89,-,-4.57,-,5.46,-14.81,-
9,P/OCF Ratio,1.06,1.06,5.94,-,-197.10,-,-5.07,-,4.86,-69.07,-
10,EV/Sales Ratio,0.03,0.03,0.07,0.08,0.09,0.04,0.07,0.04,0.06,-,-
11,EV/EBITDA Ratio,-,-,17.30,-44.94,-,-39.16,-,3.90,-,-,-
12,EV/EBIT Ratio,-,-,27.07,-21.42,-,-,-,5.05,-,-,-
13,EV/FCF Ratio,-0.43,0.29,3.67,-,-45.83,-,-2.58,-,1.85,-,-
14,Debt / Equity Ratio,0.03,0.03,0.03,0.03,0.02,0.02,0.03,0.01,0.02,0.02,0.03
15,Debt / FCF Ratio,0.07,0.07,0.43,-,-3.90,-,-0.25,-,0.14,-0.50,-
16,Return on Capital Employed (ROCE),-,-,1.04%,-1.29%,-,-,-,2.76%,-,15.17%,19.24%
17,Earnings Yield,6.88%,7.38%,4.63%,3.76%,4.37%,2.23%,9.71%,8.01%,10.28%,36.53%,43.53%
18,FCF Yield,87.70%,94.23%,16.76%,6.23%,-1.27%,9.81%,-21.90%,-25.49%,18.33%,-6.75%,-2.11%
19,Buyback Yield / Dilution,0.08%,-,0.16%,0.19%,0.03%,-,0.33%,0.66%,0.34%,-,-25.75%
20,Total Shareholder Return,7.53%,-,0.16%,0.19%,0.03%,-,0.33%,0.66%,0.34%,-,-25.75%
