,Fiscal Quarter,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021
,Period Ending,"Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Jan '23 Jan 1, 2023","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Jan '22 Jan 1, 2022","Sep '21 Sep 30, 2021","Jun '21 Jun 30, 2021","Mar '21 Mar 31, 2021"
0,Operating Revenue,229.45,228.69,182.49,206.43,196.96,205.76,176.82,205.18,217.25,197.08,165.06,181.33,195.94,166.08,166.08
1,Other Revenue,-0.06,0.06,-,0.17,-0.11,0.11,-,0.08,-0.03,0.03,-,0.04,-,-,-
2,Revenue,229.4,228.75,182.49,206.6,196.85,205.87,176.82,205.26,217.22,197.11,165.06,181.38,195.94,166.08,166.08
3,Revenue Growth (YoY),16.53%,11.11%,3.20%,0.65%,-9.38%,4.44%,7.12%,13.17%,10.86%,18.68%,-0.61%,-,-,-,-
4,Cost of Revenue,146.84,142.21,121.75,139.6,121.9,129.47,113.32,127.24,126.79,113.11,98.31,103,112.06,97.43,97.43
5,Gross Profit,82.56,86.54,60.74,67,74.95,76.39,63.5,78.02,90.43,84,66.76,78.38,83.88,68.65,68.65
6,"Selling, General & Admin",28.96,27.06,25.18,26.53,26.28,25.01,24.67,22.96,21.87,20.21,20.04,19.68,18.94,17.87,17.87
7,Research & Development,27.74,26.19,25.09,26.62,28.56,24.14,21.6,21.24,20.21,19.09,15.56,15.95,13.63,14.22,14.22
8,Other Operating Expenses,-2.24,0.9,-0.69,1.39,0.08,-0.02,0.13,5.42,0.38,-1.15,0.34,3.81,-0.26,0.3,0.3
9,Operating Expenses,54.52,54.47,49.64,55.05,55.12,50.11,45.92,49.72,42.7,39.03,37.03,38.78,33.18,33.35,33.35
10,Operating Income,28.04,32.07,11.09,11.94,19.83,26.29,17.58,28.31,47.73,44.97,29.72,39.6,50.7,35.3,35.3
11,Interest Expense,-0.19,-0.21,-0.23,-1.05,-0.26,-0.26,-0.24,-0.31,-0.71,-,-0.25,-0.25,-0.27,-0.31,-0.31
12,Interest & Investment Income,3.48,3.31,3.62,5.77,7.65,2.97,3.05,2.5,0.02,0.51,0.64,0.36,1.35,1.15,1.15
13,Currency Exchange Gain (Loss),1.68,-1.68,-,-0.1,-1.54,1.54,-,2.39,-1.05,1.05,-,-0.21,-,-,-
14,Other Non Operating Income (Expenses),-1.58,1.02,-1.16,0.54,-0.52,0.61,-0.79,-2.43,2.87,-0.18,-0.37,1.5,-1.32,-0.18,-0.18
15,EBT Excluding Unusual Items,31.43,34.5,13.32,17.1,25.16,31.15,19.6,30.45,48.87,46.35,29.74,40.99,50.46,35.97,35.97
16,Gain (Loss) on Sale of Investments,3.15,3.89,4.74,1.92,-0.06,3.07,5.36,4.72,0.44,0.15,0.11,0.66,0.14,0.63,0.63
17,Gain (Loss) on Sale of Assets,0.03,-0,-0,0,0.04,-0,-0.02,-0.01,-0,-0.01,0,0.01,-,-,-
18,Asset Writedown,-0.86,-,-,-,-1.09,-,-,-,-,0.38,-0.38,0.37,-0.07,-0.15,-0.15
19,Other Unusual Items,-2.82,2.82,-0,6.56,0.04,-0.04,-,9.11,-,-,-,1.82,-,-,-
20,Pretax Income,30.93,41.21,18.05,25.59,24.09,34.18,24.95,44.27,49.31,46.87,29.48,43.84,50.53,36.45,36.45
