,Fiscal Quarter,Current,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021
,Period Ending,"Mar '25 Mar 11, 2025","Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Jan '23 Jan 1, 2023","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Jan '22 Jan 1, 2022","Sep '21 Sep 30, 2021","Jun '21 Jun 30, 2021","Mar '21 Mar 31, 2021"
0,Market Capitalization,9098,5481,5088,4296,5006,5138,6518,4918,3908,4217,-,-,-,-,-,-
1,Market Cap Growth,6.69%,6.69%,-21.94%,-12.65%,28.07%,21.84%,-,-,-,-,-,-,-,-,-,-
2,Enterprise Value,8207,4489,4039,3147,3857,3916,5196,3550,2540,4125,-,-,-,-,-,-
3,Last Close Price,61.02,36.76,34.04,28.30,32.98,33.85,42.94,32.31,25.68,27.44,-,-,-,-,-,-
4,PE Ratio,84.57,50.78,50.68,46.25,50.64,45.06,47.49,33.17,25.67,27.86,-,-,-,-,-,-
5,PS Ratio,10.78,6.47,6.24,5.43,6.37,6.55,8.09,6.18,4.98,5.54,-,-,-,-,-,-
6,PB Ratio,4.18,2.44,2.28,1.90,2.25,2.33,2.99,2.33,1.87,2.02,-,-,-,-,-,-
7,P/TBV Ratio,2.64,2.64,2.47,2.06,2.39,2.48,3.18,2.40,1.88,2.04,-,-,-,-,-,-
8,P/FCF Ratio,-,-,-,-,-41.20,-,-,-,-1231.65,-47.03,-,-,-,-,-,-
9,P/OCF Ratio,39.29,39.29,36.78,29.13,30.98,27.30,36.04,29.60,28.37,33.58,-,-,-,-,-,-
10,EV/Sales Ratio,9.69,5.30,4.96,3.97,4.91,4.99,6.45,4.46,3.24,5.42,-,-,-,-,-,-
11,EV/EBITDA Ratio,68.49,40.33,39.73,33.05,38.46,34.00,36.77,22.54,15.13,23.25,-,-,-,-,-,-
12,EV/EBIT Ratio,104.99,54.00,53.90,45.52,50.99,42.56,43.34,25.62,16.85,25.46,-,-,-,-,-,-
13,EV/FCF Ratio,-49.88,-,-,-,-31.75,-,-,-,-800.58,-46.01,-,-,-,-,-,-
14,Debt / Equity Ratio,0.06,0.06,0.01,0.04,0.08,0.01,0.01,0.01,0.01,0.01,0.03,0.03,0.03,-,0.04,0.04
15,Debt / EBITDA Ratio,1.10,0.94,0.12,1.23,1.62,0.25,0.19,0.26,0.15,0.10,0.10,0.18,0.11,-,0.19,0.19
16,Debt / FCF Ratio,-,-,-,-,-1.54,-,-,-,-8.09,-0.23,-0.14,-,-,-,-,-
17,Asset Turnover,0.35,0.35,0.27,0.32,0.32,0.34,0.30,0.35,0.52,-,-,-,-,0.77,-,
18,Inventory Turnover,2.30,2.41,2.31,2.00,2.34,2.08,2.23,1.98,2.24,2.17,-,-,-,-,2.51,-
19,Quick Ratio,3.85,3.85,4.01,3.99,3.35,5.40,6.19,6.29,6.58,7.54,1.30,-,1.38,-,2.14,2.14
20,Current Ratio,4.71,4.71,4.87,4.77,3.91,6.35,7.20,7.40,7.67,8.81,2.63,-,2.45,-,3.04,3.04
21,Return on Equity (ROE),4.92%,6.72%,2.89%,4.34%,3.85%,5.75%,4.27%,7.56%,12.25%,21.49%,14.19%,-,-,19.93%,-,
22,Return on Assets (ROA),2.66%,3.10%,1.04%,1.15%,2.01%,2.72%,1.86%,3.03%,7.10%,-,-,-,-,10.17%,-,
23,Return on Capital (ROIC),3.03%,3.49%,1.17%,1.29%,2.24%,3.03%,2.07%,3.35%,8.10%,14.00%,9.68%,-,-,12.90%,-,
24,Return on Capital Employed (ROCE),3.30%,3.51%,3.34%,3.05%,3.38%,4.13%,5.43%,6.49%,7.13%,7.68%,19.68%,-,20.95%,-,10.42%,5.21%
25,Earnings Yield,1.19%,1.97%,1.97%,2.16%,1.97%,2.22%,2.11%,3.02%,3.90%,3.59%,-,-,-,-,-,-
26,FCF Yield,-1.81%,-3.00%,-3.05%,-4.34%,-2.43%,-1.68%,0.17%,1.29%,-0.08%,-2.13%,-,-,-,-,-,-
27,Dividend Yield,0.66%,-,-,-,1.21%,-,-,-,1.51%,0.95%,-,-,-,-,-,-
28,Payout Ratio,55.32%,12.26%,146.65%,-,-,5.50%,58.55%,10.69%,93.15%,-,-,-,-,-,-,-
29,Buyback Yield / Dilution,0.26%,0.55%,0.36%,0.17%,-0.02%,-33.33%,-33.32%,-33.37%,-33.26%,0.53%,-0.30%,-0.27%,-,-,-,-
30,Total Shareholder Return,0.92%,0.55%,0.36%,0.17%,1.19%,-33.33%,-33.32%,-33.37%,-31.74%,1.48%,-0.30%,-0.27%,-,-,-,-
