,Fiscal Quarter,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021
,Period Ending,"Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Jan '23 Jan 1, 2023","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Jan '22 Jan 1, 2022","Sep '21 Sep 30, 2021","Jun '21 Jun 30, 2021","Mar '21 Mar 31, 2021"
0,Cash & Equivalents,204.19,183.97,173.01,889.33,949.52,234.14,223.93,190.67,1334,59.62,-,72.48,-,82.75,82.75
1,Trading Asset Securities,889.89,900.13,1037,507.99,273.88,1064,1121,1179,54.29,53.85,-,110.8,-,193.79,193.79
2,Cash & Short-Term Investments,1094,1084,1210,1397,1223,1298,1345,1369,1389,113.47,183.28,183.28,-,276.54,276.54
3,Cash Growth,-10.57%,-16.49%,-10.04%,2.04%,-11.90%,1044.08%,633.67%,647.15%,-,-58.97%,-33.72%,-,-,-,-
4,Accounts Receivable,186.92,181.68,176.09,177.43,192.96,184.48,162.44,172.43,164.05,156.11,-,125.84,-,128.32,128.32
5,Other Receivables,0.65,0.72,0.76,0.66,1.06,1.03,1.07,1.13,0.96,1.28,-,1.23,-,1.42,1.42
6,Receivables,187.57,182.4,176.84,178.08,194.02,185.51,163.51,173.56,165.01,157.39,-,127.07,-,129.74,129.74
7,Inventory,243.06,245.06,246.82,240.43,236.12,232.15,233.18,224.59,230,237.28,-,212.52,-,155.3,155.3
8,Other Current Assets,43.49,29.75,22.65,20.75,13.04,10.14,33.89,32.16,32.04,37.79,-,26.56,-,15.89,15.89
9,Total Current Assets,1568,1541,1656,1837,1667,1726,1775,1800,1816,545.93,-,549.43,-,577.47,577.47
10,"Property, Plant & Equipment",916.61,825.85,770.43,765.3,671.66,601.11,498.89,495.23,445.7,445.76,-,376.52,-,207.16,207.16
11,Long-Term Investments,17.43,17.43,17.43,17.43,17.43,17.43,26.53,26.53,22.6,22.6,-,22.6,-,22.6,22.6
12,Goodwill,1.37,1.37,1.37,1.37,1.37,1.37,-,-,-,-,-,-,-,-,-
13,Other Intangible Assets,96.38,97.17,97.95,77.12,77.96,79.02,64.16,15.5,16.14,16.77,-,18.05,-,15.9,15.9
