,Fiscal Quarter,H1 2024,H2 2023,H1 2023,H2 2022,H1 2022,H2 2021,H1 2021,H2 2020,H1 2020
,Period Ending,"Jun '24 Jun 30, 2024","Dec '23 Dec 31, 2023","Jun '23 Jun 30, 2023","Dec '22 Dec 31, 2022","Jun '22 Jun 30, 2022","Dec '21 Dec 31, 2021","Jun '21 Jun 30, 2021","Dec '20 Dec 31, 2020","Jun '20 Jun 30, 2020"
0,Cash & Equivalents,35.61,51.72,116.13,141.68,183.55,75.99,38.29,64.77,-
1,Short-Term Investments,47.13,45.87,7.23,6.33,6.41,7.3,-,3.38,-
2,Cash & Short-Term Investments,82.74,97.59,123.36,148.01,189.96,83.29,38.29,68.15,-
3,Cash Growth,-32.93%,-34.06%,-35.06%,77.71%,396.07%,22.21%,-,-,-
4,Accounts Receivable,64.23,70.24,71.48,87.78,75.05,80.74,50.1,59.57,-
5,Other Receivables,19.91,27.9,52.63,35.55,5.1,6.15,19.98,17.75,-
6,Receivables,84.13,98.15,124.11,123.33,80.16,86.88,70.07,77.32,-
7,Inventory,17.19,22.43,35.22,41.54,44.11,49.48,33.76,21.6,-
8,Prepaid Expenses,12.88,7.91,4.12,4.9,2.54,2.53,-,1.15,-
9,Other Current Assets,0.16,0.42,0.32,0.13,0.27,4.09,10.5,1.93,-
10,Total Current Assets,197.09,226.5,287.13,317.91,317.02,226.27,152.62,170.14,-
11,"Property, Plant & Equipment",32.56,36.88,18.17,21.45,23.13,27.51,10.19,10.34,-
12,Long-Term Investments,10.07,11.02,9.77,1.28,1.24,1.24,-,1.22,-
13,Other Intangible Assets,2.73,2.88,2.19,2.51,2.25,2.22,2.14,2.14,-
14,Long-Term Deferred Tax Assets,9.65,8.04,8.4,6.48,5.69,4.33,3.71,3.72,-
15,Long-Term Deferred Charges,-,-,-,-,-,0.04,-,0.26,-
16,Other Long-Term Assets,62.71,62.95,49.24,63.32,10.05,4.15,4.24,1.08,-
17,Total Assets,314.8,348.27,374.88,412.95,359.38,265.76,172.9,188.9,-
18,Accounts Payable,1.54,5.65,5.28,6.47,2.52,4.25,4.99,3.82,-
19,Accrued Expenses,9.96,11.73,14.26,13.46,9.66,15.79,10.51,10.39,-
20,Short-Term Debt,42.07,43.57,45.04,-,-,38.73,42.63,46.8,-
21,Current Portion of Leases,6.25,7.78,6.96,7.27,5.93,5.64,3.55,4.57,-
22,Current Income Taxes Payable,0.76,-,1.73,6.39,4.7,12.73,7.39,9.83,-
23,Current Unearned Revenue,10.64,9.59,14.25,13.32,13.63,13.01,15.91,18.18,-
24,Other Current Liabilities,2.09,2.49,9.29,5.35,5.24,9.46,6,6.65,-
25,Total Current Liabilities,73.3,80.81,96.8,52.27,41.67,99.61,90.97,100.24,-
26,Long-Term Leases,13.61,18.32,5.44,9.12,11.59,15.44,1.79,-,-
27,Long-Term Deferred Tax Liabilities,-,0.16,0.36,0.25,0.44,0.43,0.57,0.52,-
28,Total Liabilities,86.91,99.29,102.6,61.64,53.71,115.48,93.33,100.75,-
29,Common Stock,0.19,0.19,0.19,0.2,0.2,0.08,0.08,0.48,-
30,Additional Paid-In Capital,240.51,245.25,245.25,294.44,294.44,115.74,64.81,-,-
31,Retained Earnings,69.25,94.07,116.64,140.28,38.34,64.72,46.24,56.23,-
32,Comprehensive Income & Other,-83.66,-92.11,-89.81,-83.6,-27.3,-30.27,-31.55,31.43,-
33,Total Common Equity,226.3,247.41,272.27,351.31,305.67,150.28,79.57,88.15,-
34,Minority Interest,1.59,1.57,0.01,-,-,-,-,-,-
35,Shareholders' Equity,227.88,248.98,272.28,351.31,305.67,150.28,79.57,88.15,-
36,Total Liabilities & Equity,314.8,348.27,374.88,412.95,359.38,265.76,172.9,188.9,-
37,Total Debt,61.93,69.67,57.44,16.39,17.52,59.81,47.97,51.38,-
38,Net Cash (Debt),20.81,27.92,65.92,131.62,172.44,23.47,-9.67,16.78,-
39,Net Cash Growth,-68.43%,-78.78%,-61.77%,460.73%,-,39.93%,-,-,-
40,Net Cash Per Share,0.02,0.03,0.07,0.13,0.17,0.03,-0.01,0.02,-
41,Filing Date Shares Outstanding,980.99,980.99,980.99,1000,1000,1000,880,0.08,849.2
42,Total Common Shares Outstanding,980.99,980.99,980.99,1000,1000,880,849.2,0.08,849.2
43,Working Capital,123.79,145.69,190.33,265.64,275.35,126.66,61.65,69.9,-
44,Book Value Per Share,0.23,0.25,0.28,0.35,0.31,0.17,0.09,1037.98,-
45,Tangible Book Value,223.57,244.53,270.09,348.8,303.43,148.05,77.43,86,-
46,Tangible Book Value Per Share,0.23,0.25,0.28,0.35,0.30,0.17,0.09,1012.76,-
47,Machinery,-,26.73,-,20.73,-,16.96,14.77,13.84,-
48,Leasehold Improvements,-,9.64,-,4.48,-,4.48,2.05,2.04,-
49,Order Backlog,48.07,-,-,-,-,-,-,-,-
