,Fiscal Quarter,H1 2024,H2 2023,H1 2023,H2 2022,H1 2022,H2 2021,H1 2021,H2 2020,H1 2020
,Period Ending,"Jun '24 Jun 30, 2024","Dec '23 Dec 31, 2023","Jun '23 Jun 30, 2023","Dec '22 Dec 31, 2022","Jun '22 Jun 30, 2022","Dec '21 Dec 31, 2021","Jun '21 Jun 30, 2021","Dec '20 Dec 31, 2020","Jun '20 Jun 30, 2020"
0,Operating Revenue,59.92,72.45,57.09,100.87,91.74,166.25,123.77,140.64,92.88
1,Other Revenue,1.9,4.67,1.1,88.98,2.4,3.06,3.75,2.54,1.46
2,Revenue,61.82,77.12,58.19,189.85,94.14,169.31,127.52,143.18,94.33
3,Revenue Growth (YoY),6.22%,-59.38%,-38.19%,12.13%,-26.18%,18.25%,35.18%,-,-
4,Cost of Revenue,47,61.32,42.94,51.78,58.42,60.9,57.57,52.44,45.1
5,Gross Profit,14.82,15.8,15.26,138.07,35.73,108.41,69.96,90.74,49.24
6,"Selling, General & Admin",10.78,14.3,9.65,13.01,14.74,21.05,15.73,17.24,13.89
7,Other Operating Expenses,17.27,22.87,18.83,26.93,18.24,21.4,14.38,11.08,10.8
8,Operating Expenses,34.98,44.88,37.74,45.11,39.12,48.67,34.81,33.38,29.69
9,Operating Income,-20.16,-29.08,-22.49,92.96,-3.4,59.74,35.15,57.36,19.54
10,Interest Expense,-1.39,-3.51,-0.86,-0.37,-0.75,-0.94,-0.74,-0.95,-1.11
11,Interest & Investment Income,2.49,0.92,1.02,0.12,0.27,0.05,0.01,0.02,0.02
12,Currency Exchange Gain (Loss),-2.49,-0.68,-0.2,1.81,-3.14,0.88,0.34,4.08,-0.68
13,Other Non Operating Income (Expenses),0.9,2.67,-0.06,-0.03,1.63,2.54,-0.03,0.35,-0.01
14,EBT Excluding Unusual Items,-20.65,-29.68,-22.58,94.5,-5.38,62.27,34.73,60.87,17.76
15,Gain (Loss) on Sale of Investments,-0.89,0.03,0.93,0.05,-,-,0.02,-0.26,-
16,Gain (Loss) on Sale of Assets,0.09,-0.01,0.01,-,-,-,-,-,-
17,Legal Settlements,1.36,-,5.04,-,-,-,-,-2.19,-
18,Other Unusual Items,0.2,0.1,-,1.48,-11.57,-6.17,-8.15,-4.62,0.37
19,Pretax Income,-19.89,-29.56,-16.6,96.02,-16.95,56.1,26.61,53.8,18.13
20,Income Tax Expense,-1.07,1.3,-0.77,1.94,1.57,10.62,9.15,13.48,3.9
21,Earnings From Continuing Operations,-18.82,-30.86,-15.83,94.08,-18.52,45.48,17.46,40.32,14.23
22,Minority Interest in Earnings,1.86,0.43,0.05,-,-,-,-,-,-
23,Net Income,-16.96,-30.42,-15.78,94.08,-18.52,45.48,17.46,40.32,14.23
24,Net Income to Common,-16.96,-30.42,-15.78,94.08,-18.52,45.48,17.46,40.32,14.23
25,Net Income Growth,-,-,-,106.85%,-,12.79%,22.75%,-,-
26,Shares Outstanding (Basic),948,980,963,986,989,879,849,849,849
27,Shares Outstanding (Diluted),948,980,963,986,989,879,849,849,849
28,Shares Change (YoY),-1.54%,-0.59%,-2.71%,12.15%,16.51%,3.50%,0.00%,-,-
29,EPS (Basic),-0.02,-0.03,-0.02,0.10,-0.02,0.05,0.02,0.05,0.02
30,EPS (Diluted),-0.02,-0.03,-0.02,0.10,-0.02,0.05,0.02,0.05,0.02
31,EPS Growth,-,-,-,84.53%,-,9.45%,22.74%,-,-
32,Free Cash Flow,-4.71,-12.64,-4.52,14.87,-30.69,7.53,14.07,41.87,9.22
33,Free Cash Flow Per Share,-0.00,-0.01,-0.00,0.02,-0.03,0.01,0.02,0.05,0.01
34,Operating Margin,-32.61%,-37.70%,-38.64%,48.97%,-3.61%,35.29%,27.56%,40.06%,20.72%
35,Profit Margin,-27.44%,-39.45%,-27.12%,49.55%,-19.68%,26.86%,13.69%,28.16%,15.08%
36,Free Cash Flow Margin,-7.61%,-16.39%,-7.77%,7.83%,-32.59%,4.45%,11.03%,29.24%,9.78%
37,EBITDA,-12.13,-29.76,-16.14,91.38,2.75,58.93,39.85,59.24,21.48
38,D&A For EBITDA,8.03,-0.68,6.34,-1.58,6.15,-0.82,4.7,1.88,1.94
39,EBIT,-20.16,-29.08,-22.49,92.96,-3.4,59.74,35.15,57.36,19.54
40,Advertising Expenses,7.7,-,6.91,-,8.09,-,8.14,-,6.87
