,Fiscal Quarter,Current,H1 2024,H2 2023,H1 2023,H2 2022,H1 2022,H2 2021,H1 2021,H2 2020,H1 2020
,Period Ending,"Mar '25 Mar 13, 2025","Jun '24 Jun 30, 2024","Dec '23 Dec 31, 2023","Jun '23 Jun 30, 2023","Dec '22 Dec 31, 2022","Jun '22 Jun 30, 2022","Dec '21 Dec 31, 2021","Jun '21 Jun 30, 2021","Dec '20 Dec 31, 2020","Jun '20 Jun 30, 2020"
0,Market Capitalization,1030,1050,1285,1256,1780,1830,-,-,-,-
1,Market Cap Growth,-16.41%,-16.41%,-27.80%,-31.38%,-,-,-,-,-,-
2,Enterprise Value,1011,1023,1219,1124,1608,1807,-,-,-,-
3,Last Close Price,1.05,1.07,1.30,1.27,1.75,1.80,-,-,-,-
4,PE Ratio,-,-,-,-,23.56,-,-,-,-,-
5,Forward PE,-,26.90,26.90,22.07,32.78,17.63,-,-,-,-
6,PS Ratio,7.28,7.55,9.50,5.06,6.27,6.95,-,-,-,-
7,PB Ratio,4.55,4.61,5.16,4.61,5.07,5.99,-,-,-,-
8,P/TBV Ratio,4.69,4.69,5.26,4.65,5.10,6.03,-,-,-,-
9,P/FCF Ratio,-,-,-,-,-112.54,-,-,-,-,-
10,P/OCF Ratio,-,-,-,-,-147.74,-,-,-,-,-
11,PEG Ratio,1.03,1.03,1.03,1.03,1.03,0.52,-,-,-,-
12,EV/Sales Ratio,7.28,7.37,9.01,4.53,5.66,6.86,-,-,-,-
13,EV/EBITDA Ratio,-,-,-,-,17.08,29.29,-,-,-,-
14,EV/EBIT Ratio,-,-,-,-,17.95,-,-,-,-,-
15,EV/FCF Ratio,-58.27,-,-,-,-101.63,-,-,-,-,-
16,Debt / Equity Ratio,0.27,0.27,0.28,0.21,0.05,0.06,0.40,0.60,0.58,-
17,Debt / FCF Ratio,-,-,-,-,-1.04,-,2.77,0.86,1.01,-
18,Return on Capital Employed (ROCE),-,-,-,-,24.83%,-,57.11%,112.91%,86.74%,-
19,Earnings Yield,-4.60%,-4.51%,-3.60%,6.24%,4.24%,1.47%,-,-,-,-
20,FCF Yield,-1.68%,-1.65%,-1.34%,0.82%,-0.89%,-1.27%,-,-,-,-
21,Buyback Yield / Dilution,1.06%,1.54%,0.59%,2.71%,-12.15%,-16.51%,-3.50%,-0.00%,-,-
22,Total Shareholder Return,1.53%,1.54%,0.59%,2.71%,-12.15%,-16.51%,-3.50%,-0.00%,-,-
