,Fiscal Quarter,Q2 2017,Q1 2017,Q4 2016,Q3 2016,Q2 2016,Q1 2016
,Period Ending,"Jun '17 Jun 30, 2017","Mar '17 Mar 31, 2017","Dec '16 Dec 31, 2016","Sep '16 Sep 30, 2016","Jun '16 Jun 30, 2016","Mar '16 Mar 31, 2016"
0,Revenue,4055388,4055388,4996630,4996630,2775843,2775843
1,Revenue Growth (YoY),46.10%,46.10%,-,-,-,-
2,Cost of Revenue,3205618,3205618,3706998,3706998,2379372,2379372
3,Gross Profit,849770,849770,1289632,1289632,396470,396470
4,"Selling, General & Admin",443349,443349,434740,434740,340837,340837
5,Operating Expenses,443349,443349,434740,434740,340837,340837
6,Operating Income,406421,406421,854892,854892,55633,55633
7,Interest Expense,-144853,-144853,-137315,-137315,-95355,-95355
8,Interest & Investment Income,79985,79985,116439,116439,73486,73486
9,Earnings From Equity Investments,72583,72583,184911,184911,4281,4281
10,Currency Exchange Gain (Loss),-8877,-8877,13907,13907,-3262,-3262
11,Other Non Operating Income (Expenses),72091,72091,514967,514967,46619,46619
12,EBT Excluding Unusual Items,477349,477349,1547803,1547803,81404,81404
13,Gain (Loss) on Sale of Investments,-21045,-21045,-22472,-22472,28649,28649
14,Gain (Loss) on Sale of Assets,453920,453920,-246495,-246495,246495,246495
15,Pretax Income,910224,910224,1278836,1278836,356547,356547
16,Income Tax Expense,146778,146778,164240,164240,72842,72842
17,Earnings From Continuing Operations,763446,763446,1114596,1114596,283705,283705
18,Minority Interest in Earnings,-127269,-127269,-104186,-104186,-49784,-49784
19,Net Income,636177,636177,1010410,1010410,233921,233921
20,Net Income to Common,636177,636177,1010410,1010410,233921,233921
21,Net Income Growth,171.96%,171.96%,-,-,-,-
22,Shares Outstanding (Basic),2667,2667,2404,2404,-,-
23,Shares Outstanding (Diluted),2667,2667,2404,2404,-,-
24,EPS (Basic),238.56,238.56,420.34,420.34,-,-
25,EPS (Diluted),238.56,238.56,420.34,420.34,-,-
26,Free Cash Flow,-596154,-596154,612507,612507,-448088,-448088
27,Free Cash Flow Per Share,-223.55,-223.55,254.81,254.81,-,-
28,Gross Margin,20.95%,20.95%,25.81%,25.81%,14.28%,14.28%
29,Operating Margin,10.02%,10.02%,17.11%,17.11%,2.00%,2.00%
30,Profit Margin,15.69%,15.69%,20.22%,20.22%,8.43%,8.43%
31,Free Cash Flow Margin,-14.70%,-14.70%,12.26%,12.26%,-16.14%,-16.14%
32,EBITDA,783483,783483,1196676,1196676,334395,334395
33,EBITDA Margin,19.32%,19.32%,23.95%,23.95%,12.05%,12.05%
34,D&A For EBITDA,377062,377062,341783,341783,278762,278762
35,EBIT,406421,406421,854892,854892,55633,55633
36,EBIT Margin,10.02%,10.02%,17.11%,17.11%,2.00%,2.00%
37,Effective Tax Rate,16.13%,16.13%,12.84%,12.84%,20.43%,20.43%
38,Revenue as Reported,4055388,4055388,4996630,4996630,2775843,2775843
