,Fiscal Quarter,H1 2024,H2 2023,H1 2023,H2 2022,H1 2022,H1 2017,H2 2016,H1 2016,H2 2015,H1 2015
,Period Ending,"Jun '24 Jun 30, 2024","Dec '23 Dec 31, 2023","Jun '23 Jun 30, 2023","Dec '22 Dec 31, 2022","Jun '22 Jun 30, 2022","Jun '17 Jun 30, 2017","Dec '16 Dec 31, 2016","Jun '16 Jun 30, 2016","Dec '15 Dec 31, 2015","Jun '15 Jun 30, 2015"
0,Cash & Equivalents,346.02,713.18,206.15,378.07,-,98.65,366.28,86.25,176.48,-
1,Short-Term Investments,-,8.37,-,8.8,-,-,-,-,-,-
2,Accounts Receivable,573.61,472.69,513.79,477.99,-,30.69,32.57,4.2,8.54,-
3,Other Receivables,-,32.11,-,66.81,-,204.46,239.92,129.51,129.84,-
4,Inventory,31.76,36.87,29.84,48.93,-,31.8,34.81,25.25,25.02,-
5,Prepaid Expenses,-,-,-,-,-,8.38,6.93,13.18,10.03,-
6,Restricted Cash,115.91,86.47,85.83,100.37,-,-,-,-,-,-
7,Other Current Assets,74.55,62.2,151.59,77.52,-,191.23,196.31,215.48,194.93,-
8,Total Current Assets,1142,1412,987.19,1158,-,565.21,876.82,473.86,544.84,-
9,"Property, Plant & Equipment",215.47,222.56,204.7,184.31,-,2453,2493,2075,2109,-
10,Goodwill,9.05,9.05,9.05,9.05,-,9.05,9.05,9.05,9.05,-
11,Other Intangible Assets,3512,3512,3263,3332,-,38.41,38.68,38.64,38.99,-
12,Long-Term Investments,114.71,110.13,97.88,94.97,-,21.83,20.82,20.97,19.74,-
13,Long-Term Deferred Tax Assets,75.09,67.6,59.87,53.67,-,4.33,4.05,0,0,-
14,Long-Term Deferred Charges,-,-,-,-,-,2.47,13.68,8,18.16,-
15,Long-Term Accounts Receivable,87.93,111.02,80.28,128.39,-,-,-,-,-,-
16,Other Long-Term Assets,407.73,352.92,336.66,283.44,-,17.67,3.04,53.07,50.55,-
17,Total Assets,5564,5797,5039,5244,-,3112,3459,2679,2790,-
18,Accounts Payable,647.48,561.74,542.48,443,-,363.89,382.98,367.95,254.71,-
19,Accrued Expenses,41.55,66.83,51.5,65.87,-,13.18,18.68,12.75,5.75,-
20,Short-Term Debt,22.98,22.52,22.96,22.5,-,150,-,315,15,-
21,Current Portion of Long-Term Debt,238.69,131.38,266.99,246.75,-,214.78,394.78,384.44,229.24,-
22,Current Unearned Revenue,156.35,539.48,145.17,440.55,-,-,-,-,-,-
23,Current Portion of Leases,1.69,0.16,1.75,1.01,-,-,-,-,-,-
24,Current Income Taxes Payable,50.54,52.11,47.13,45.73,-,39.4,48.77,5.25,14.46,-
25,Other Current Liabilities,370.1,392.32,356.47,444.91,-,384.76,623.6,265.93,625.28,-
26,Total Current Liabilities,1529,1767,1434,1710,-,1166,1469,1351,1144,-
27,Long-Term Debt,489.9,588.43,615.89,634.46,-,872.78,851.06,393.84,658.15,-
28,Long-Term Leases,15.91,17.45,17.61,18.68,-,-,-,-,-,-
29,Long-Term Unearned Revenue,2071,2005,1906,1905,-,56.53,60.58,65.2,65.31,-
30,Long-Term Deferred Tax Liabilities,30.56,26.41,23.29,20.33,-,-,-,-,-,-
31,Other Long-Term Liabilities,81.12,94.28,35.3,32.98,-,926.2,926.19,650.48,685.93,-
32,Total Liabilities,4218,4498,4033,4322,-,3022,3307,2461,2554,-
33,Common Stock,301.6,301.6,226,226,-,226,226,226,226,-
34,Additional Paid-In Capital,-,-,-,-,-,5.73,5.73,5.73,5.73,-
35,Retained Earnings,466.46,626.47,380.28,477.49,-,-132.14,-93.57,-48.71,-28.69,-
36,Comprehensive Income & Other,354.8,127.73,200.09,23.62,-,-,-,-,-,-
37,Total Common Equity,1123,1056,806.36,727.12,-,99.58,138.15,183.02,203.04,-
38,Minority Interest,223.23,243.2,199.51,195.45,-,-9.54,13.93,35.14,33.49,-
39,Shareholders' Equity,1346,1299,1006,922.56,-,90.05,152.09,218.15,236.53,-
40,Total Liabilities & Equity,5564,5797,5039,5244,-,3112,3459,2679,2790,-
41,Total Debt,769.16,759.94,925.2,923.39,-,1238,1246,1093,902.39,-
42,Net Cash (Debt),-423.15,-38.39,-719.06,-536.53,-,-1139,-879.56,-1007,-725.91,-
43,Net Cash Per Share,-1.40,-0.13,-3.18,-2.37,-,-5.02,-3.91,-4.53,-9.20,-
44,Filing Date Shares Outstanding,301.6,301.6,301.6,226,226,226.88,225.01,222.48,78.9,49.71
45,Total Common Shares Outstanding,301.6,301.6,301.6,226,226,226.88,225.01,222.48,78.9,49.71
46,Working Capital,-387.54,-354.65,-447.26,-551.82,-,-600.79,-592,-877.46,-599.6,-
47,Book Value Per Share,3.72,3.50,2.67,3.22,-,0.44,0.61,0.82,2.57,-
48,Tangible Book Value,-2399,-2465,-2466,-2614,-,52.12,90.43,135.33,155.01,-
49,Tangible Book Value Per Share,-7.95,-8.17,-8.18,-11.57,-,0.23,0.40,0.61,1.96,-
50,Buildings,153.91,151.18,129.81,112.95,-,-,-,-,-,-
51,Machinery,140.21,139.5,134.11,123.79,-,-,-,-,-,-
52,Construction In Progress,-,-,2.89,-,-,-,-,-,-,-
