,Fiscal Quarter,Current,H1 2024,H2 2023,H1 2023,H2 2022,H1 2022,H1 2017,H2 2016,H1 2016,H2 2015,H1 2015
,Period Ending,"Mar '25 Mar 13, 2025","Jun '24 Jun 30, 2024","Dec '23 Dec 31, 2023","Jun '23 Jun 30, 2023","Dec '22 Dec 31, 2022","Jun '22 Jun 30, 2022","Jun '17 Jun 30, 2017","Dec '16 Dec 31, 2016","Jun '16 Jun 30, 2016","Dec '15 Dec 31, 2015","Jun '15 Jun 30, 2015"
0,Market Capitalization,854,657,769,-,-,-,-,-,-,-,-
1,Enterprise Value,1548,968,1762,-,-,-,-,-,-,-,-
2,PE Ratio,4.34,3.36,4.69,-,-,-,-,-,-,-,-
3,PS Ratio,0.48,0.37,0.46,-,-,-,-,-,-,-,-
4,PB Ratio,0.71,0.45,0.54,-,-,-,-,-,-,-,-
5,P/FCF Ratio,1.63,-,1.07,-,-,-,-,-,-,-,-
6,P/OCF Ratio,1.24,-,1.03,-,-,-,-,-,-,-,-
7,EV/Sales Ratio,0.87,0.54,1.04,-,-,-,-,-,-,-,-
8,EV/EBITDA Ratio,2.46,1.59,3.05,-,-,-,-,-,-,-,-
9,EV/EBIT Ratio,3.97,2.61,5.20,-,-,-,-,-,-,-,-
10,EV/FCF Ratio,2.96,-,2.45,-,-,-,-,-,-,-,-
11,Debt / Equity Ratio,0.57,0.57,0.59,0.92,1.00,-,13.74,8.19,5.01,3.82,-
12,Debt / FCF Ratio,1.58,-,1.16,1.78,1.53,-,-,-12.59,-,-,-
13,Return on Capital Employed (ROCE),8.56%,8.56%,7.63%,8.45%,6.65%,-,-4.56%,-,-,-,-
14,Earnings Yield,22.91%,29.74%,21.34%,-,-,-,-,-,-,-,-
15,Earnings Yield,22.91%,29.74%,21.34%,-,-,-,-,-,-,-,-
16,FCF Yield,61.23%,79.49%,93.63%,-,-,-,-,-,-,-,-
17,Buyback Yield / Dilution,-32.67%,-33.45%,-31.89%,-,0.39%,-0.44%,-1.98%,-185.19%,-347.56%,-,-
18,Total Shareholder Return,-26.98%,-33.45%,-31.89%,-,0.39%,-0.44%,-1.98%,-185.19%,-347.56%,-,-
