,Fiscal Quarter,H1 2024,H2 2023,H1 2023,H2 2022,H1 2022,H2 2021,H1 2021,H2 2020,H1 2020,H2 2019,+2 Quarters
,Period Ending,"Jun '24 Jun 30, 2024","Dec '23 Dec 31, 2023","Jun '23 Jun 30, 2023","Dec '22 Dec 31, 2022","Jun '22 Jun 30, 2022","Dec '21 Dec 31, 2021","Jun '21 Jun 30, 2021","Dec '20 Dec 31, 2020","Jun '20 Jun 30, 2020","Dec '19 Dec 31, 2019",+2 Quarters
0,Operating Revenue,3069,2455,3074,2977,1217,525.27,540.4,650.87,621.48,564.18,Upgrade
1,Revenue,3069,2455,3074,2977,1217,525.27,540.4,650.87,621.48,564.18,Upgrade
2,Revenue Growth (YoY),-0.16%,-17.53%,152.65%,466.69%,125.16%,-19.30%,-13.05%,15.37%,88.34%,100.13%,Upgrade
3,Cost of Revenue,1478,1888,1281,1020,979.18,388.28,298.64,1245,337.15,172.74,Upgrade
4,Gross Profit,1591,566.63,1793,1957,237.59,136.99,241.76,-594.27,284.33,391.44,Upgrade
5,"Selling, General & Admin",463.83,291.04,504.56,454.32,223.42,152.13,225.1,229.85,195.54,170.66,Upgrade
6,Operating Expenses,404.4,349.64,364.42,470.12,-27.85,181.26,224.64,301.4,195.54,170.66,Upgrade
7,Operating Income,1187,216.98,1429,1487,265.44,-44.27,17.12,-895.67,88.78,220.78,Upgrade
8,Interest Expense,-1120,-1077,-991.23,-1244,-386.27,-141.43,-128.19,-244.98,-1.13,-206.29,Upgrade
9,Interest & Investment Income,-,99.64,-,73.29,-,15.36,-,30.35,-,128.22,Upgrade
10,Earnings From Equity Investments,-26.66,-43.97,-97.58,2.68,22.1,-43.85,55.14,19.56,45.28,-3.27,Upgrade
11,Currency Exchange Gain (Loss),50.33,-61.14,-38.79,-41.39,-28.63,-4.26,2.95,70.44,-23.72,-1.56,Upgrade
12,Other Non Operating Income (Expenses),86.21,24.63,12.43,24.01,18.06,-3.85,13.54,-189.56,199.79,-34.34,Upgrade
13,EBT Excluding Unusual Items,176.21,-840.69,313.74,300.82,-109.31,-222.29,-39.44,-1210,309.02,103.54,Upgrade
14,Merger & Restructuring Charges,-,-,-,-3.67,-,-,-,-,-,-,Upgrade
15,Impairment of Goodwill,-,-,-,0,-13.23,21.48,-21.48,-65.52,-8.97,-8.77,Upgrade
16,Gain (Loss) on Sale of Investments,-13.3,-578.37,-203.12,-353.37,-850.61,-163.67,151.98,1026,-221.26,-414.23,Upgrade
17,Gain (Loss) on Sale of Assets,-8.75,-12.75,-,4.03,-,-,171.14,-,-,-,Upgrade
18,Asset Writedown,-0.91,-37.1,10,-86.9,-400.28,-30.24,-,-22.63,-,-,Upgrade
19,Other Unusual Items,47.32,1901,55.89,-93.92,1605,131.38,-,191.18,-0.74,-,Upgrade
20,Pretax Income,200.57,432,176.51,-233.01,231.45,-263.35,262.2,-81.31,78.05,-319.46,Upgrade
21,Income Tax Expense,115.54,-25.65,86.46,-102.38,-69.47,-15.91,3.71,-3.9,18.94,32.72,Upgrade
22,Earnings From Continuing Operations,85.03,457.65,90.05,-130.63,300.92,-247.44,258.49,-77.42,59.11,-352.17,Upgrade
23,Net Income to Company,85.03,457.65,90.05,-130.63,300.92,-247.44,258.49,-77.42,59.11,-352.17,Upgrade
24,Minority Interest in Earnings,-269.97,-23.94,-199.2,-307.95,-31.4,4.31,15.04,11.48,-18.82,-2.61,Upgrade
25,Net Income,-184.94,433.71,-109.15,-438.58,269.52,-243.13,273.54,-65.94,40.29,-354.78,Upgrade
26,Preferred Dividends & Other Adjustments,208.59,124.19,185.28,95.35,193.65,186.92,158.15,153.12,105.93,123.02,Upgrade
27,Net Income to Common,-393.53,309.52,-294.43,-533.93,75.86,-430.05,115.39,-219.05,-65.65,-477.81,Upgrade
28,Net Income Growth,-,-,-,-,-1.47%,-,579.00%,-,-,-,Upgrade
29,Shares Outstanding (Basic),6019,6019,6019,6021,6022,6022,6022,6038,6113,6113,Upgrade
30,Shares Outstanding (Diluted),6019,6019,6019,6021,6043,6022,6029,6038,6113,6113,Upgrade
31,Shares Change (YoY),-,-0.02%,-0.39%,-0.03%,0.24%,-0.26%,-1.38%,-1.23%,-,13.58%,Upgrade
32,EPS (Basic),-0.07,0.05,-0.05,-0.09,0.01,-0.07,0.02,-0.04,-0.01,-0.08,Upgrade
33,EPS (Diluted),-0.07,0.05,-0.05,-0.09,0.01,-0.07,0.02,-0.04,-0.01,-0.08,Upgrade
34,EPS Growth,-,-,-,-,-34.05%,-,-,-,-,-,Upgrade
35,Free Cash Flow,515.2,2163,-272.38,3132,2210,-644.38,113.58,1720,-4845,-2141,Upgrade
36,Free Cash Flow Per Share,0.09,0.36,-0.05,0.52,0.37,-0.11,0.02,0.28,-0.79,-0.35,Upgrade
37,Operating Margin,38.66%,8.84%,46.48%,49.94%,21.81%,-8.43%,3.17%,-137.61%,14.29%,39.13%,Upgrade
38,Profit Margin,-12.82%,12.61%,-9.58%,-17.94%,6.23%,-81.87%,21.35%,-33.66%,-10.56%,-84.69%,Upgrade
39,Free Cash Flow Margin,16.79%,88.12%,-8.86%,105.21%,181.65%,-122.68%,21.02%,264.24%,-779.65%,-379.48%,Upgrade
40,EBITDA,1984,1262,2065,2230,388.11,-42.5,21.61,-897.15,94.39,220.17,Upgrade
41,D&A For EBITDA,797.65,1045,635.83,743.47,122.67,1.77,4.49,-1.48,5.61,-0.62,Upgrade
42,EBIT,1187,216.98,1429,1487,265.44,-44.27,17.12,-895.67,88.78,220.78,Upgrade
