,Fiscal Quarter,Q4 2024,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021,Q4 2020,Q3 2020,Q2 2020,Q1 2020,+20 Quarters
,Period Ending,"Dec '24 Dec 31, 2024","Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Jan '23 Jan 1, 2023","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Dec '21 Dec 31, 2021","Sep '21 Sep 30, 2021","Jun '21 Jun 30, 2021","Mar '21 Mar 31, 2021","Jan '21 Jan 1, 2021","Sep '20 Sep 30, 2020","Jun '20 Jun 30, 2020","Mar '20 Mar 31, 2020",+20 Quarters
0,Revenue,173970,178567,190487,151317,144150,143521,132864,128677,139427,146130,156765,142602,153358,156636,166337,132246,139441,141683,130693,106368,Upgrade
1,Revenue Growth (YoY),20.69%,24.42%,43.37%,17.59%,3.39%,-1.79%,-15.25%,-9.77%,-9.08%,-6.71%,-5.75%,7.83%,9.98%,10.55%,27.27%,24.33%,2.83%,4.59%,-17.24%,-18.74%,Upgrade
2,Cost of Revenue,98134,102186,99545,67564,103765,86169,69891,128631,80692,71576,57827,64323,88879,80067,61245,59016,97794,68764,55910,46302,Upgrade
3,Gross Profit,75836,76381,90942,83754,40385,57352,62972,46.11,58735,74554,98938,78279,64479,76569,105091,73230,41648,72920,74783,60066,Upgrade
4,"Selling, General & Admin",25470,20021,19144,13053,23313,14789,16059,15652,21402,16548,11141,13520,17414,15711,14740,12789,13539,16425,11387,9357,Upgrade
5,Operating Expenses,25470,20021,19144,13053,23313,14789,16059,15652,21402,16548,11141,13520,17414,15711,14740,12789,13539,16425,11387,9357,Upgrade
6,Operating Income,50366,56360,71798,70701,17072,42563,46913,-15606,37333,58006,87797,64759,47065,60858,90351,60441,28108,56495,63396,50709,Upgrade
7,Interest Expense,-,-,-,-,-,-,-,-,-,-16.87,-,-,-,-,-,-,-,-,-,-,Upgrade
8,Interest & Investment Income,26077,82501,13902,5139,35298,21240,79674,17275,29644,49885,13306,2396,25781,38229,10820,3684,29293,7622,48210,4038,Upgrade
9,Currency Exchange Gain (Loss),-,-21.62,-9.86,355.15,2299,379.8,-623.21,1500,645.62,-,1260,821.94,2726,-,489.63,500.47,392.81,-,188.67,312.59,Upgrade
10,Other Non Operating Income (Expenses),1041,4265,20578,-17.67,83937,8.1,5135,128923,165.86,-969.42,9.17,12.72,-2086,239.55,11.23,189.43,-1539,1264,157.02,151.71,Upgrade
11,EBT Excluding Unusual Items,77484,143105,106268,76177,138606,64191,131099,132093,67789,106904,102372,67990,73486,99327,101672,64815,56255,65381,111951,55212,Upgrade
12,Gain (Loss) on Sale of Investments,-,-,-,-,-5445,-,-,-,-,-,-,-,-,-,-,-,1547,-,-,-,Upgrade
13,Other Unusual Items,-,-,-,-,-62088,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Upgrade
14,Pretax Income,77484,143105,106268,76177,71074,64191,131099,132093,67789,106904,102372,67990,73486,99327,101672,64815,57802,65381,111951,55212,Upgrade
15,Income Tax Expense,15648,14615,21303,15243,14318,13009,13992,26459,13992,13430,20655,13598,14864,13795,20395,13119,11458,13475,16516,11216,Upgrade
16,Net Income,61836,128490,84965,60934,56756,51182,117107,105633,53796,93475,81717,54392,58622,85532,81277,51696,46344,51906,95435,43996,Upgrade
