,Fiscal Quarter,Q4 2024,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021,Q4 2020,Q3 2020,Q2 2020,Q1 2020,+20 Quarters
,Period Ending,"Dec '24 Dec 31, 2024","Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Dec '22 Dec 31, 2022","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Dec '21 Dec 31, 2021","Sep '21 Sep 30, 2021","Jun '21 Jun 30, 2021","Mar '21 Mar 31, 2021","Dec '20 Dec 31, 2020","Sep '20 Sep 30, 2020","Jun '20 Jun 30, 2020","Mar '20 Mar 31, 2020",+20 Quarters
0,Cash & Equivalents,88848900,68987867,78253597,8487570,59095832,10291802,48429972,41532469,34181832,27812803,28374425,22474707,17956387,18472486,22851911,16893567,26813979,28111850,35295060,19027610,Upgrade
1,Investment Securities,85730381,82953686,86200325,75780865,74718487,72629297,72635653,66714901,68889499,74062556,71062234,73409732,69755897,72645471,73255288,72483408,75280720,81747797,80230880,77544320,Upgrade
2,Trading Asset Securities,-,35667,138180,-,-,3000000,120875,76990,109858,67684,-,-,-,49379,4442,22350,19677,11753,34401,363600,Upgrade
3,Total Investments,85730381,82989353,86338505,75780865,74718487,75629297,72756528,66791891,68999357,74130240,71062234,73409732,69755897,72694850,73259730,72505758,75300397,81759550,80265281,77907920,Upgrade
4,Gross Loans,546921587,525691929,516818266,500627800,482979410,472372228,460795068,448890677,439100624,421576723,415575906,413935123,388955032,357596600,362102244,358121530,341335674,321162763,311535912,307022151,Upgrade
5,Allowance for Loan Losses,-8866655,-9754734,-8751700,-8267883,-7562014,-6670222,-6342139,-5555551,-5652252,-5922221,-7407663,-7206201,-7014476,-6358804,-5876700,-5658568,-5415951,-5067453,-4638863,-4125640,Upgrade
6,Net Loans,538054932,515937195,508066566,492359917,475417396,465702006,454452929,443335126,433448372,415654502,408168243,406728922,381940556,351237796,356225544,352462962,335919723,316095310,306897049,302896511,Upgrade
7,"Property, Plant & Equipment",4375198,4360032,4295099,4352829,5234281,4200104,4137555,4265650,5144567,4574837,4987693,4454824,5005955,4569415,4666798,4695443,5139481,4628717,5196646,4623957,Upgrade
8,Other Intangible Assets,2979930,3024559,2978303,3023221,2986668,3021506,2987784,3060907,3057882,3391696,3346288,3641506,3676602,3624429,3808964,3777964,3828940,3749438,3624669,3591679,Upgrade
9,Accrued Interest Receivable,5239563,5680059,5517865,5503622,4912437,5627893,5413037,5196611,4775486,4240890,3664887,7945324,9490987,13225746,14051495,16182597,17043268,18376574,17807221,18825596,Upgrade
10,Other Receivables,3190535,4841499,15260148,29795987,35319485,25997605,18947377,18387775,25393565,20240907,17249426,20023097,15903804,16266816,16818830,17426609,12951407,18997318,12779198,19180772,Upgrade
11,Restricted Cash,17644155,15450839,14973908,15798185,11411884,13211925,13551669,12581859,10922463,12568881,11166589,12383902,10114238,12854927,11367139,11896701,8560941,12059124,13115638,11426800,Upgrade
12,Other Current Assets,-,-,-,56766261,2199846,46045325,-,-,3067167,-,660836,-,2747289,-,-,-,2148544,-,533289,-,Upgrade
13,Long-Term Deferred Tax Assets,542460,387135,387441,398337,397824,257247,256660,242809,242847,408578,406447,405002,405006,449262,450213,450423,450454,159845,159932,161141,Upgrade
14,Other Real Estate Owned & Foreclosed,-,-,-,-,1516872,-,-,-,1562790,-,1401351,-,2996238,-,-,-,3061553,-,4694619,-,Upgrade
15,Other Long-Term Assets,1488492,1327058,1241339,1267759,93409,1303589,1244151,1298897,75225,1169517,41682,1071995,257217,899255,1033093,1135655,275489,1274880,241241,1434461,Upgrade
16,Total Assets,748094546,702985596,717312771,693534553,674389660,651288299,622177662,596693994,591907695,564192851,551422119,552539011,521117123,494294982,504533717,497427679,492516029,485212606,481897995,459076447,Upgrade
17,Accounts Payable,-,-,-,-,66762,-,16681105,698119,57894,14622316,326385,12918824,86040,9259603,1110668,6758117,57238,6547392,-,-,Upgrade
18,Accrued Expenses,2123386,2125099,-,-,3600726,2097995,2072383,1552261,3269136,1553792,2668860,1161701,2542886,1162397,1168288,759271,2001458,761913,1199907,363497,Upgrade
19,Interest Bearing Deposits,650337343,584892948,588136385,560599501,563720006,528403203,509534133,494670793,491140079,467998006,487199451,467646062,455771455,421251953,436233934,433998354,442011741,429001889,426984089,406072679,Upgrade
20,Non-Interest Bearing Deposits,9621304,9504953,9766109,9655140,8665738,6186538,6678814,4148450,4572634,493522,497540,391945,2045127,630846,425981,444524,1092626,484309,408349,341758,Upgrade
21,Total Deposits,659958647,594397901,597902494,570254641,572385744,534589741,516212947,498819243,495712713,468491528,487696991,468038007,457816582,421882799,436659915,434442878,443104367,429486198,427392438,406414437,Upgrade
22,Short-Term Borrowings,54007,-,-,183448,91459,213189,-,-,-,-,26316,90861,108003,-,-,-,-,-,-,82380,Upgrade
23,Current Portion of Long-Term Debt,10998,605869,625827,30688920,10081,424976,405485,373850,-,229108,34730,1755502,-,213781,482685,495012,-,158550,238799,162132,Upgrade
24,Current Income Taxes Payable,-,-,-,-,1061338,-,-,-,311593,-,367310,-,334773,-,-,-,540819,-,402725,-,Upgrade
25,Accrued Interest Payable,8510442,8249638,8470791,10177517,12069907,13486688,11362040,9624131,7874317,6634903,6514607,5815715,6466151,5982241,6751157,6757599,7374043,7669803,8229237,7087740,Upgrade
26,Other Current Liabilities,7586868,-,-,-,7794175,-,-,-,4790576,-,2317534,-,2031829,-,-,-,1449794,-,1105016,-,Upgrade
27,Long-Term Debt,14824248,39047967,43011549,5278121,5896477,29929324,32412553,30307201,24141817,33814176,6283225,26566224,6839637,20839639,19711029,17899293,4264602,12358686,12223610,12835947,Upgrade
28,Long-Term Unearned Revenue,-,-,-,-,331713,-,-,-,314756,-,315594,-,591600,-,-,-,124696,-,413267,-,Upgrade
29,Long-Term Deferred Tax Liabilities,29811,29660,29660,29660,29660,28767,28767,29456,29460,28447,28429,28418,28418,25533,25541,25543,25543,25462,25463,25474,Upgrade
30,Other Long-Term Liabilities,24069,7248962,18194501,29013247,25317754,26807632,1209368,14731940,16778437,1878333,9044013,682666,10009868,1545844,8240643,556096,4617227,-,3219831,4558295,Upgrade
31,Total Liabilities,693122476,651705096,668234822,645625554,628655796,607578312,580384648,556136201,553280699,527252603,515623994,517057918,486855787,460911837,474149926,467693809,463559787,457008004,454450293,431529902,Upgrade
32,Common Stock,18852157,18852157,18852157,18852157,18852157,18852157,18852157,18852157,18852157,18852157,18852157,18852157,18852157,18852157,18852157,18852157,18852157,18852157,18852157,18852157,Upgrade
33,Additional Paid-In Capital,1747651,1747651,1747651,1747651,1747651,1747651,1747651,1747651,1747651,1747651,1747651,1747651,1747651,1747651,63612,63612,63612,63612,63612,63612,Upgrade
34,Retained Earnings,32384980,30910635,28709462,27467191,25357771,23098836,21498045,20113534,18194906,16480940,15269333,14870367,13622391,12764524,12124796,11442359,10640127,9793956,9082788,9143979,Upgrade
35,Treasury Stock,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-750911,-750911,-750911,-750911,-750911,-750911,Upgrade
36,Comprehensive Income & Other,1987282,-229943,-231321,-158000,-223715,11343,-304839,-155549,-167718,-140500,-71016,10918,39137,18813,94137,126653,151257,245788,200056,237708,Upgrade
37,Total Common Equity,54972070,51280500,49077949,47908999,45733864,43709987,41793014,40557793,38626996,36940248,35798125,35481093,34261336,33383145,30383791,29733870,28956242,28204602,27447702,27546545,Upgrade
38,Shareholders' Equity,54972070,51280500,49077949,47908999,45733864,43709987,41793014,40557793,38626996,36940248,35798125,35481093,34261336,33383145,30383791,29733870,28956242,28204602,27447702,27546545,Upgrade
39,Total Liabilities & Equity,748094546,702985596,717312771,693534553,674389660,651288299,622177662,596693994,591907695,564192851,551422119,552539011,521117123,494294982,504533717,497427679,492516029,485212606,481897995,459076447,Upgrade
40,Total Debt,14889253,39653836,43637376,36150489,5998017,30567489,32818038,30681051,24141817,34043284,6344271,28412587,6947640,21053420,20193714,18394305,4264602,12517236,12462409,13080459,Upgrade
41,Net Cash (Debt),73959647,29369698,34754401,-27662919,53097815,-17275687,15732809,10928408,10149873,-6162797,22030154,-5937880,11008747,-2531555,2662639,-1478388,22569054,15606367,24512439,6310751,Upgrade
42,Net Cash Growth,39.29%,-,120.90%,-,423.14%,-,-28.59%,-,-7.80%,-,727.38%,-,-51.22%,-,-89.14%,-,21.00%,-4.45%,72.07%,-25.83%,Upgrade
43,Net Cash Per Share,39231.40,15578.96,18435.24,-14673.61,28165.38,-9163.77,8345.36,5796.90,5383.93,-3269.01,11669.41,-3154.12,5976.10,-1389.76,1447.49,-819.66,12512.97,8652.64,13590.44,3498.87,Upgrade
44,Filing Date Shares Outstanding,1885,1885,1885,1885,1885,1885,1885,1885,1885,1885,1885,1885,1885,1885,1804,1804,1804,1804,1804,1804,Upgrade
45,Total Common Shares Outstanding,1885,1885,1885,1885,1885,1885,1885,1885,1885,1885,1885,1885,1885,1885,1804,1804,1804,1804,1804,1804,Upgrade
46,Book Value Per Share,29159.56,27201.40,26033.07,25413.01,24259.22,23185.67,22168.82,21513.61,20489.43,19594.71,18988.87,18820.71,18173.70,17707.86,16845.69,16485.36,16054.22,15637.48,15217.84,15272.64,Upgrade
47,Tangible Book Value,51992140,48255941,46099646,44885778,42747196,40688481,38805230,37496886,35569114,33548552,32451837,31839587,30584734,29758716,26574827,25955906,25127302,24455164,23823033,23954866,Upgrade
48,Tangible Book Value Per Share,27578.88,25597.04,24453.25,23809.36,22674.96,21582.93,20583.97,19889.97,18867.40,17795.60,17213.86,16889.09,16223.47,15785.31,14733.89,14390.74,13931.34,13558.68,13208.21,13281.30,Upgrade
