,Fiscal Quarter,Current,Q4 2024,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021,Q4 2020,Q3 2020,Q2 2020,Q1 2020,+20 Quarters
,Period Ending,"Mar '25 Mar 12, 2025","Dec '24 Dec 31, 2024","Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Dec '22 Dec 31, 2022","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Dec '21 Dec 31, 2021","Sep '21 Sep 30, 2021","Jun '21 Jun 30, 2021","Mar '21 Mar 31, 2021","Dec '20 Dec 31, 2020","Sep '20 Sep 30, 2020","Jun '20 Jun 30, 2020","Mar '20 Mar 31, 2020",+20 Quarters
0,Market Capitalization,73523413,69564460,62871944,54294213,59572817,52691779,57781862,56179428,49392652,42417354,38835444,40532138,59761338,59384295,48450044,55191795,38688366,30481743,24890417,19389274,13166670,Upgrade
1,Market Cap Growth,32.02%,32.02%,8.81%,-3.36%,20.61%,24.22%,48.79%,38.60%,-17.35%,-28.57%,-19.84%,-26.56%,54.47%,94.82%,94.65%,184.65%,193.84%,68.16%,30.81%,-5.29%,-40.16%,Upgrade
2,Last Close Price,39000.00,36900.00,33350.00,28800.00,31600.00,27950.00,30650.00,29800.00,26200.00,22500.00,20600.00,21500.00,31700.00,31500.00,25700.00,30600.00,21450.00,16900.00,13800.00,10750.00,7300.00,Upgrade
3,PE Ratio,7.29,6.07,7.05,6.50,6.99,6.83,8.26,8.55,7.71,9.45,10.32,12.70,19.66,-,14.84,16.52,15.38,-,15.26,-,6.00,Upgrade
4,PS Ratio,2.75,2.61,2.51,2.25,2.60,2.34,2.78,2.76,2.65,2.46,2.39,2.73,3.98,4.17,3.09,3.46,2.67,2.13,1.96,1.54,1.03,Upgrade
5,PB Ratio,1.34,1.27,1.23,1.11,1.24,1.15,1.32,1.34,1.22,1.10,1.05,1.13,1.68,1.73,1.45,1.82,1.30,1.05,0.88,0.71,0.48,Upgrade
6,P/FCF Ratio,-,-3.70,-,-,-,-,-,-,-,-,-,-1.46,-,-,-10.29,-2.10,-,-,-,-,-,Upgrade
7,P/OCF Ratio,-,-3.91,-,-,-,-,-,-,-,-,-,-1.49,-,-,-12.25,-2.18,-,-,-,-,-,Upgrade
8,Debt / Equity Ratio,0.27,0.27,0.77,0.89,0.75,0.13,0.70,0.79,0.76,0.62,0.92,0.18,0.80,0.20,0.63,0.66,0.62,0.15,0.44,0.45,0.47,Upgrade
9,Debt / FCF Ratio,-,-0.79,-,-,-,-,-,-,-,-,-,-0.23,-,-,-4.47,-0.77,-,-,-,-,-,Upgrade
10,Return on Equity (ROE),27.09%,17.55%,17.96%,18.04%,20.20%,15.29%,18.70%,19.19%,18.54%,13.33%,9.02%,14.61%,10.15%,8.03%,14.81%,10.92%,11.71%,10.30%,4.99%,11.58%,Upgrade,
11,Return on Assets (ROA),1.98%,1.24%,1.23%,1.23%,1.36%,1.03%,1.26%,1.28%,1.21%,0.87%,0.58%,0.95%,0.68%,0.51%,0.89%,0.65%,0.68%,0.59%,0.29%,0.69%,Upgrade,
12,Earnings Yield,13.72%,14.50%,13.91%,15.07%,13.31%,14.65%,12.48%,12.08%,11.47%,11.88%,10.68%,8.82%,6.50%,5.74%,7.00%,6.28%,6.97%,8.80%,9.55%,12.55%,18.20%,Upgrade
13,FCF Yield,-25.55%,-27.01%,-74.58%,-84.60%,-70.58%,-78.58%,-57.87%,-54.24%,-27.31%,-59.94%,-112.31%,-68.52%,-55.00%,-31.74%,-9.72%,-47.62%,-82.89%,-96.62%,-109.85%,-108.10%,-200.00%,Upgrade
14,Payout Ratio,0.00%,-,-,-,-,-,0.00%,-,0.00%,0.01%,0.00%,-,0.00%,0.00%,0.00%,0.00%,0.01%,0.00%,0.00%,0.09%,0.00%,Upgrade
15,Buyback Yield / Dilution,-,-,-,-,-,-,0.14%,-0.14%,-2.34%,-3.49%,-2.63%,-4.38%,-2.13%,-0.99%,-1.99%,-,-,-,-,-,Upgrade,
16,Total Shareholder Return,-,-,-,-,-,-,0.14%,-0.14%,-2.34%,-3.49%,-2.63%,-4.38%,-2.13%,-0.99%,-1.99%,-,-,-,-,-,Upgrade,
