,Fiscal Quarter,Q4 2024,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021,Q4 2020,Q3 2020,Q2 2020,Q1 2020,+20 Quarters
,Period Ending,"Dec '24 Dec 31, 2024","Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Dec '22 Dec 31, 2022","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Dec '21 Dec 31, 2021","Sep '21 Sep 30, 2021","Jun '21 Jun 30, 2021","Mar '21 Mar 31, 2021","Dec '20 Dec 31, 2020","Sep '20 Sep 30, 2020","Jun '20 Jun 30, 2020","Mar '20 Mar 31, 2020",+20 Quarters
0,Interest Income on Loans,12600526,12521371,12381798,12485026,13694367,13651131,14673962,13907869,12036905,10633692,7225005,7495246,6597908,7740806,7697174,7654848,8120099,8611597,8369258,8486713,Upgrade
1,Total Interest Income,12600526,12521371,12381798,12485026,13694367,13651131,14673962,13907869,12036905,10633692,7225005,7495246,6597908,7740806,7697174,7654848,8120099,8611597,8369258,8486713,Upgrade
2,Interest Paid on Deposits,6501342,6156263,6265232,6534186,8061279,8800023,8922528,8071166,5993507,4871714,4622706,4755787,4103022,4427778,4548965,4646484,5106479,5575739,5732059,5646836,Upgrade
3,Net Interest Income,6099184,6365108,6116566,5950840,5633088,4851108,5751434,5836703,6043398,5761978,2602299,2739459,2494886,3313028,3148209,3008364,3013620,3035858,2637199,2839877,Upgrade
4,Net Interest Income Growth (YoY),8.27%,31.21%,6.35%,1.96%,-6.79%,-15.81%,121.01%,113.06%,142.23%,73.92%,-17.34%,-8.94%,-17.21%,9.13%,19.38%,5.93%,70.18%,3.74%,30.19%,15.54%,Upgrade
5,Income From Trading Activities,-,6232,17409,21770,-9579,16071,21196,6129,-19574,-2221,4304,-2492,43521,68621,17168,34354,120579,5986,-32522,-,Upgrade
6,Gain (Loss) on Sale of Assets,-,-,-,-,2966,-,-,-,1984218,-,-,-,176907,-,-,-,-,-,-,-,Upgrade
7,Gain (Loss) on Sale of Investments,10136,-,-,-,-21,-,-,-,-39,-,-117,-,-204,-,103279,-,18469,-,-7794,18004,Upgrade
8,Gain (Loss) on Sale of Equity Investments,893,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Upgrade
9,Other Non-Interest Income,1299830,866557,1020409,902184,1081920,1059670,964776,957529,-175408,1294448,3522587,2388294,1899091,816811,1580736,1102621,1915516,1768203,974589,1025231,Upgrade
10,Total Non-Interest Income,1310859,872789,1037818,923954,1075286,1075741,985972,963658,1789197,1292227,3526774,2385802,2119315,885432,1701183,1136975,2054564,1774189,934273,1043235,Upgrade
11,Non-Interest Income Growth (YoY),21.91%,-18.87%,5.26%,-4.12%,-39.90%,-16.75%,-72.04%,-59.61%,-15.58%,45.94%,107.31%,109.84%,3.15%,-50.09%,82.09%,8.99%,3.30%,62.44%,-26.74%,-3.51%,Upgrade
12,Revenues Before Loan Losses,7410043,7237897,7154384,6874794,6708374,5926849,6737406,6800361,7832595,7054205,6129073,5125261,4614201,4198460,4849392,4145339,5068184,4810047,3571472,3883112,Upgrade
13,Provision for Loan Losses,-367259,1198661,465307,677655,544058,826697,1315655,1001695,3331464,2425071,2420457,704509,1142966,949878,985809,475722,184194,1287560,1147557,417663,Upgrade
14,Revenue,7777302,6039236,6689077,6197139,6164316,5100152,5421751,5798666,4501131,4629134,3708616,4420752,3471235,3248582,3863583,3669617,4883990,3522487,2423915,3465449,Upgrade
15,Revenue Growth (YoY),26.17%,18.41%,23.37%,6.87%,36.95%,10.18%,46.19%,31.17%,29.67%,42.50%,-4.01%,20.47%,-28.93%,-7.78%,59.39%,5.89%,48.43%,4.18%,-9.71%,11.46%,Upgrade
16,Salaries and Employee Benefits,-,-,1967267,3922865,1660696,-,1603120,3606014,1366472,-,1974103,3542348,1309303,-,1496863,3219366,1723265,-,1615133,2429252,Upgrade
17,Occupancy Expenses,-,-,675014,1315247,-901525,-,652415,1397700,-804577,-,511978,958488,-750736,-,453740,936444,-709661,-,460897,831711,Upgrade
18,Federal Deposit Insurance,-,-,284,489851,-444702,-,155987,288715,-411577,-,141190,270387,-496764,-,226392,270372,-394824,-,133056,261768,Upgrade
19,"Selling, General & Administrative",-,-,502547,961390,-1273013,-,452191,820820,-1076546,-,388791,687755,-809333,-,216352,592981,-838322,-,283158,555164,Upgrade
20,Other Non-Interest Expense,3150938,3287498,855925,-3146437,4368219,3014859,185500,-2697111,3528321,3097107,-626507,-2627172,3068002,2423811,45988,-2349790,4089945,2625228,-508880,-1600329,Upgrade
21,Total Non-Interest Expense,3150938,3287498,4001037,3542916,3409675,3014859,3049213,3416138,2602093,3097107,2389555,2831806,2320472,2423811,2439335,2669373,3870403,2625228,1983364,2477566,Upgrade
22,EBT Excluding Unusual Items,4626364,2751738,2688040,2654223,2754641,2085293,2372538,2382528,1899038,1532027,1319061,1588946,1150763,824771,1424248,1000244,1013587,897259,440551,987883,Upgrade
23,Pretax Income,4626364,2751738,2688040,2654223,2754641,2085293,2372538,2382528,1899038,1532027,1319061,1588946,1150763,824771,1424248,1000244,1013587,897259,440551,987883,Upgrade
24,Income Tax Expense,1028286,550565,511201,542818,495699,450701,447413,482571,147915,320420,515172,314870,292896,185043,311409,199182,176977,180999,97181,202142,Upgrade
25,Earnings From Continuing Operations,3598078,2201173,2176839,2111405,2258942,1634592,1925125,1899957,1751123,1211607,803889,1274076,857867,639728,1112839,801062,836610,716260,343370,785741,Upgrade
26,Net Income,3598078,2201173,2176839,2111405,2258942,1634592,1925125,1899957,1751123,1211607,803889,1274076,857867,639728,1112839,801062,836610,716260,343370,785741,Upgrade
27,Preferred Dividends & Other Adjustments,-,-,1634591,-3003487,1196835,-,1211607,-2408442,1412155,-,254972,-1112839,1241341,-,716259,-1552870,962285,-,771869,-1303437,Upgrade
28,Net Income to Common,3598078,2201173,542248,5114892,1062107,1634592,713518,4308399,338968,1211607,548917,2386915,-383474,639728,396580,2353932,-125675,716260,-428499,2089178,Upgrade
29,Net Income Growth,59.28%,34.66%,13.08%,11.13%,29.00%,34.91%,139.48%,49.12%,104.13%,89.39%,-27.76%,59.05%,2.54%,-10.68%,224.09%,1.95%,57.39%,-7.20%,11.78%,-6.93%,Upgrade
30,Basic Shares Outstanding,1885,1885,1885,1885,1885,1885,1885,1885,1885,1885,1888,1883,1842,1822,1839,1804,1804,1804,1804,1804,Upgrade
31,Diluted Shares Outstanding,1885,1885,1885,1885,1885,1885,1885,1885,1885,1885,1888,1883,1842,1822,1839,1804,1804,1804,1804,1804,Upgrade
32,Shares Change (YoY),-,-,-,-,-,-,-0.14%,0.14%,2.34%,3.49%,2.63%,4.38%,2.13%,0.99%,1.99%,-,-,-,-,-,Upgrade
33,EPS (Basic),1908.58,1167.60,287.63,2713.16,563.39,867.06,378.48,2285.36,179.80,642.69,290.76,1267.90,-208.17,351.20,215.59,1305.09,-69.68,397.12,-237.57,1158.30,Upgrade
34,EPS (Diluted),1908.58,1167.60,287.63,2713.16,563.39,867.06,378.48,2285.36,179.80,642.69,290.76,1267.90,-208.17,351.20,215.59,1305.09,-69.68,397.12,-237.57,1158.30,Upgrade
35,EPS Growth,238.77%,34.66%,-24.00%,18.72%,213.34%,34.91%,30.17%,80.25%,-,83.00%,34.87%,-2.85%,-,-11.56%,-,12.67%,-,-7.20%,-,8.22%,Upgrade
36,Effective Tax Rate,22.23%,20.01%,19.02%,20.45%,18.00%,21.61%,18.86%,20.25%,7.79%,20.91%,39.06%,19.82%,25.45%,22.44%,21.86%,19.91%,17.46%,20.17%,22.06%,20.46%,Upgrade
