,Fiscal Quarter,Current,H1 2024,H2 2023,H1 2023,H2 2022,H1 2022,H2 2021,H1 2021,H2 2020,H1 2020,H2 2019,+2 Quarters
,Period Ending,"Mar '25 Mar 13, 2025","Jun '24 Jun 30, 2024","Dec '23 Dec 31, 2023","Jun '23 Jun 30, 2023","Dec '22 Dec 31, 2022","Jun '22 Jun 30, 2022","Dec '21 Dec 31, 2021","Jun '21 Jun 30, 2021","Dec '20 Dec 31, 2020","Jun '20 Jun 30, 2020","Dec '19 Dec 31, 2019",+2 Quarters
0,Market Capitalization,349,684,684,825,834,869,869,903,1042,598,664,Upgrade
1,Market Cap Growth,-17.03%,-17.03%,-17.91%,-5.02%,-4.00%,-3.85%,-16.67%,51.16%,57.07%,-2.27%,9.77%,Upgrade
2,Enterprise Value,672,986,995,1107,1116,1156,1109,1065,1248,781,792,Upgrade
3,Last Close Price,0.97,1.90,1.90,2.29,2.40,2.50,2.50,2.60,3.00,1.72,1.91,Upgrade
4,PE Ratio,28.50,-,36.27,-773.19,-,-,-,-,785.46,-,-,Upgrade
5,PS Ratio,2.85,5.59,4.15,5.14,6.07,6.76,5.82,5.49,8.50,4.82,4.69,Upgrade
6,PB Ratio,2.26,4.43,4.08,5.60,7.73,8.44,7.70,6.48,6.86,4.46,4.73,Upgrade
7,P/TBV Ratio,9.48,9.48,8.51,21.57,7.73,8.44,7.70,6.48,6.86,4.46,4.73,Upgrade
8,P/FCF Ratio,-,-,-53.26,-,-,-218.18,-,-184.43,-,-,-,Upgrade
9,P/OCF Ratio,-,-,-71.70,-,-,276.97,-,4704.88,-,-,-,Upgrade
10,EV/Sales Ratio,5.48,8.05,6.03,6.90,8.12,8.99,7.43,6.48,10.18,6.30,5.60,Upgrade
11,EV/EBITDA Ratio,-,-,-,108.49,214.28,-56.22,-,142.30,-,-,-,Upgrade
12,EV/EBIT Ratio,-,-,-,-,-600.31,-,-,-415.09,-,-,-,Upgrade
13,EV/FCF Ratio,-,-,-77.45,-,-,-290.31,-,-217.46,-,-,-,Upgrade
14,Debt / Equity Ratio,2.16,2.16,2.04,2.15,2.69,2.84,2.63,1.92,1.83,1.68,1.46,Upgrade
15,Debt / FCF Ratio,-,-,-26.63,-,-,-73.55,-,-54.52,-,-,-,Upgrade
16,Return on Capital Employed (ROCE),-,-,-,-,-1.44%,-,-,-1.49%,-,-,-,Upgrade
17,Earnings Yield,3.51%,1.79%,2.76%,-0.13%,-1.45%,-4.24%,-3.66%,0.74%,0.13%,-10.33%,-11.91%,Upgrade
18,FCF Yield,-,-1.88%,-3.51%,-0.50%,-0.46%,-0.46%,-0.54%,-2.67%,-5.12%,0.54%,Upgrade,
19,Buyback Yield / Dilution,-3.01%,-2.33%,-3.69%,-1.33%,-,-,-,-,-,-,-,Upgrade
20,Total Shareholder Return,-3.01%,-2.33%,-3.69%,-1.33%,-,-,-,-,-,-,-,Upgrade
