,Fiscal Quarter,H1 2024,H2 2023,H1 2023,H2 2022,H1 2022,H2 2021,H1 2021,H2 2020,H1 2020,H2 2019,+2 Quarters
,Period Ending,"Jun '24 Jun 30, 2024","Dec '23 Dec 31, 2023","Jun '23 Jun 30, 2023","Dec '22 Dec 31, 2022","Jun '22 Jun 30, 2022","Dec '21 Dec 31, 2021","Jun '21 Jun 30, 2021","Dec '20 Dec 31, 2020","Jun '20 Jun 30, 2020","Dec '19 Dec 31, 2019",+2 Quarters
0,Revenue,40.07,82.45,82.54,77.98,59.39,69.14,80.11,84.36,38.24,85.78,Upgrade
1,Revenue Growth (YoY),-51.46%,5.74%,38.98%,12.78%,-25.87%,-18.04%,109.52%,-1.66%,-31.40%,-1.99%,Upgrade
2,Cost of Revenue,20.62,39.5,38.43,41.91,20.31,34.1,24.32,32.24,17.37,54.62,Upgrade
3,Gross Profit,19.45,42.95,44.11,36.07,39.08,35.04,55.8,52.12,20.86,31.16,Upgrade
4,"Selling, General & Admin",41.36,61.75,44.88,34.73,42.28,57.29,54.44,56.05,28.88,52.1,Upgrade
5,Operating Expenses,41.36,61.75,44.88,34.73,42.28,57.29,54.44,56.05,28.88,52.1,Upgrade
6,Operating Income,-21.91,-18.79,-0.78,1.34,-3.2,-22.25,1.36,-3.93,-8.01,-20.94,Upgrade
7,Interest Expense,-4.84,-4.86,-4.44,-4.84,-6.45,-6.74,-6.79,-6.08,-5.62,-5.86,Upgrade
8,Interest & Investment Income,-,0.16,-,0,0,0.02,0.03,0.02,0.02,0.03,Upgrade
9,Currency Exchange Gain (Loss),-,-0.57,-,-1.04,-0.63,0.27,1.24,5.34,-2.14,-4.31,Upgrade
10,Other Non Operating Income (Expenses),20.04,-10.79,6.23,-0.03,0.38,0.35,-0.45,8.41,0.73,-1.27,Upgrade
11,EBT Excluding Unusual Items,-6.71,-34.86,1.01,-4.56,-9.89,-28.35,-4.61,3.77,-15.02,-32.36,Upgrade
12,Impairment of Goodwill,-,-13.39,-,-,-,-,-,-,-,-,Upgrade
13,Gain (Loss) on Sale of Investments,-,65.19,-,-,-,-,-,-,-,-,Upgrade
14,Gain (Loss) on Sale of Assets,-,0.49,-,0.27,-,0,-0,-,-,0,Upgrade
15,Asset Writedown,-,-1.09,-,-,-,-,-,2.82,-,-19.05,Upgrade
16,Other Unusual Items,-,0.13,-,2.06,-,0.18,-,3.21,-,-,Upgrade
17,Pretax Income,-6.71,16.47,1.01,-2.24,-9.89,-28.16,-4.61,9.79,-15.02,-51.4,Upgrade
18,Income Tax Expense,-1.37,-1.13,-0.26,0.1,-0.16,-1.1,0.15,-1.65,-4.9,0.19,Upgrade
19,Net Income,-5.34,17.6,1.27,-2.34,-9.73,-27.06,-4.76,11.44,-10.12,-51.59,Upgrade
20,Net Income to Common,-5.34,17.6,1.27,-2.34,-9.73,-27.06,-4.76,11.44,-10.12,-51.59,Upgrade
21,Shares Outstanding (Basic),360,360,352,347,347,347,347,347,347,347,Upgrade
22,Shares Outstanding (Diluted),360,360,352,347,347,347,347,347,347,347,Upgrade
23,Shares Change (YoY),2.33%,3.69%,1.33%,-,-,-,-,-,-,-,Upgrade
24,EPS (Basic),-0.01,0.05,0.00,-0.01,-0.03,-0.08,-0.01,0.03,-0.03,-0.15,Upgrade
25,EPS (Diluted),-0.01,0.05,0.00,-0.01,-0.03,-0.08,-0.01,0.03,-0.03,-0.15,Upgrade
26,Free Cash Flow,-,10.1,-22.95,-6.02,1.87,-5.85,1.84,-6.74,-21.06,-9.54,Upgrade
27,Free Cash Flow Per Share,-,0.03,-0.07,-0.02,0.01,-0.02,0.01,-0.02,-0.06,-0.03,Upgrade
28,Operating Margin,-54.69%,-22.79%,-0.94%,1.71%,-5.38%,-32.18%,1.70%,-4.66%,-20.96%,-24.41%,Upgrade
29,Profit Margin,-13.32%,21.35%,1.54%,-3.00%,-16.38%,-39.14%,-5.94%,13.56%,-26.45%,-60.14%,Upgrade
30,Free Cash Flow Margin,-,12.25%,-27.81%,-7.71%,3.15%,-8.46%,2.30%,-7.99%,-55.08%,-11.12%,Upgrade
31,EBITDA,-13.31,-8.03,5.67,4.53,0.68,-21.24,8.66,-1.17,-4.76,-20.72,Upgrade
32,D&A For EBITDA,8.61,10.76,6.45,3.2,3.87,1.01,7.29,2.76,3.25,0.22,Upgrade
33,EBIT,-21.91,-18.79,-0.78,1.34,-3.2,-22.25,1.36,-3.93,-8.01,-20.94,Upgrade
