,Fiscal Quarter,Q4 2024,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021,Q4 2020,Q3 2020,Q2 2020,Q1 2020,+20 Quarters
,Period Ending,"Dec '24 Dec 31, 2024","Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Dec '22 Dec 31, 2022","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Dec '21 Dec 31, 2021","Sep '21 Sep 30, 2021","Jun '21 Jun 30, 2021","Mar '21 Mar 31, 2021","Dec '20 Dec 31, 2020","Sep '20 Sep 30, 2020","Jun '20 Jun 30, 2020","Mar '20 Mar 31, 2020",+20 Quarters
0,Revenue,119036,89467,150298,42474,138288,117347,159450,113539,157385,155958,283942,261820,235454,80364,320915,247540,426149,202482,397596,296229,Upgrade
1,Revenue Growth (YoY),-13.92%,-23.76%,-5.74%,-62.59%,-12.13%,-24.76%,-43.84%,-56.63%,-33.16%,94.07%,-11.52%,5.77%,-44.75%,-60.31%,-19.29%,-16.44%,-9.71%,-20.09%,36.15%,-0.12%,Upgrade
2,Cost of Revenue,70520,65713,51904,34941,-970.8,52693,56739,100320,-31504,105184,98801,225342,125579,50976,165030,130472,241960,123940,183583,169860,Upgrade
3,Gross Profit,48516,23754,98394,7533,139259,64654,102711,13219,188889,50774,185142,36478,109876,29388,155885,117069,184189,78542,214014,126369,Upgrade
4,"Selling, General & Admin",18083,16196,23521,13157,20885,11012,13254,18259,17722,19499,28010,28022,23165,20487,37361,35756,39719,24817,57170,40244,Upgrade
5,Operating Expenses,18083,16196,23521,13157,20885,11012,13254,18259,17722,19499,28010,28022,23165,20487,37361,35756,39719,24817,57170,40244,Upgrade
6,Operating Income,30433,7558,74873,-5624,118373,53642,89457,-5041,171167,31275,157131,8456,86711,8901,118524,81312,144470,53724,156844,86125,Upgrade
7,Interest Expense,-38348,-20382,-57778,-25075,-59731,-25121,-45426,-30315,-37253,-35843,-36162,-25852,-22973,-22459,-28163,-20986,-29751,-20832,-23802,-24654,Upgrade
8,Interest & Investment Income,32035,21424,33964,34923,33108,15674,15194,15690,21659,49064,17826,5353,20719,71708,6296,4025,16651,32171,4021,4079,Upgrade
9,Earnings From Equity Investments,13935,11167,5693,3439,7841,1781,9.61,190.75,-475.08,-1116,438.54,-1059,-1411,-1388,-1166,-1290,-1212,-1187,-926.04,-1015,Upgrade
10,Other Non Operating Income (Expenses),-8294,-4620,-23347,-1880,-16952,-3985,20064,384.95,-1731,-474.25,-279.85,-523.72,-927.82,338.16,681.88,1816,3414,-1693,-498.26,-60.79,Upgrade
11,EBT Excluding Unusual Items,29760,15147,33404,5783,82640,41991,79299,-19090,153368,42906,138954,-13625,82118,57100,96173,64877,133572,62183,135638,64474,Upgrade
12,Gain (Loss) on Sale of Assets,-,-,-,-,1185,-,-,-,6777,-,-,-,1038,-,-,-,6086,-,-,-,Upgrade
13,Other Unusual Items,-521.06,-,-4468,4468,-80746,-18164,-22938,41102,-144287,-,-66906,66906,-,-,-,-,-,-,-,-,Upgrade
14,Pretax Income,29239,15147,28935,10251,3079,23827,56360,22012,15857,42906,72048,53281,83155,57100,96173,64877,139658,62183,135638,64474,Upgrade
15,Income Tax Expense,9935,2970,16915,999.79,9163,3936,9877,8538,3668,2233,14791,11317,6122,8854,19694,13823,20508,12331,27802,13550,Upgrade
16,Earnings From Continuing Operations,19304,12177,12020,9251,-6084,19891,46484,13474,12189,40673,57257,41964,77034,48246,76479,51054,119150,49852,107836,50924,Upgrade
17,Minority Interest in Earnings,66.57,45.03,4.91,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Upgrade
18,Net Income,19370,12222,12025,9251,-6084,19891,46484,13474,12189,40673,57257,41964,77034,48246,76479,51054,119150,49852,107836,50924,Upgrade
19,Preferred Dividends & Other Adjustments,2703,1730,221.43,-1952,10290,2784,3730,-6514,21292,5007,2938,-7946,35394,7746,1626,-9373,45890,13418,-18748,5330,Upgrade
20,Net Income to Common,16668,10492,11804,11203,-16374,17107,42754,19988,-9102,35665,54319,49910,41640,40499,74853,60427,73260,36434,126584,45593,Upgrade
21,Net Income Growth,-,-38.56%,-74.13%,-31.34%,-,-51.09%,-18.82%,-67.89%,-84.18%,-15.70%,-25.13%,-17.80%,-35.35%,-3.22%,-29.08%,0.26%,-15.41%,36.79%,11.73%,-9.57%,Upgrade
22,Shares Outstanding (Basic),114,114,134,108,76,114,134,108,92,76,91,97,73,73,86,104,73,73,104,73,Upgrade
23,Shares Outstanding (Diluted),114,114,134,108,76,114,134,108,92,76,91,97,73,73,86,104,73,73,104,73,Upgrade
24,Shares Change (YoY),50.00%,-,0.48%,-0.69%,-16.67%,50.00%,46.61%,11.75%,24.91%,4.09%,5.77%,-6.66%,-0.00%,-,-17.52%,41.84%,3.70%,3.70%,39.23%,-23.52%,Upgrade
25,EPS (Basic),145.64,91.68,87.94,104.02,-214.61,149.48,320.07,184.31,-99.42,467.46,596.17,514.32,568.11,552.54,868.91,581.23,999.50,497.08,1211.97,622.04,Upgrade
26,EPS (Diluted),145.64,91.68,87.94,104.02,-214.68,149.48,320.07,184.31,-99.42,467.46,596.17,514.32,567.79,552.54,868.91,581.23,999.50,497.08,1211.97,622.04,Upgrade
27,EPS Growth,-,-38.67%,-72.52%,-43.56%,-,-68.02%,-46.31%,-64.16%,-,-15.40%,-31.39%,-11.51%,-43.19%,11.16%,-28.31%,-6.56%,-25.35%,41.17%,-5.80%,-12.16%,Upgrade
28,Free Cash Flow,83113,-285259,328153,-125000,-37448,2362,-82372,-71457,74432,-100510,-165145,-187927,-36817,-26548,-7450,-57929,195292,-249398,440777,-34946,Upgrade
29,Free Cash Flow Per Share,726.23,-2492.57,2444.85,-1160.66,-490.82,20.64,-616.66,-658.91,812.97,-1317.38,-1812.53,-1936.57,-502.31,-362.20,-86.48,-557.21,2664.42,-3402.62,4220.17,-476.77,Upgrade
