,Fiscal Quarter,Current,H1 2024,H2 2023,H1 2023,H2 2022,H1 2022,H2 2021,H1 2021,H2 2020,H1 2020,H2 2019,+2 Quarters
,Period Ending,"Mar '25 Mar 13, 2025","Jun '24 Jun 30, 2024","Dec '23 Dec 31, 2023","Jun '23 Jun 30, 2023","Dec '22 Dec 31, 2022","Jun '22 Jun 30, 2022","Dec '21 Dec 31, 2021","Jun '21 Jun 30, 2021","Dec '20 Dec 31, 2020","Jun '20 Jun 30, 2020","Dec '19 Dec 31, 2019",+2 Quarters
0,Market Capitalization,8356,6318,7421,9110,9279,9561,9291,15293,21059,14865,6681,Upgrade
1,Market Cap Growth,-30.66%,-30.66%,-20.02%,-4.71%,-0.12%,-37.48%,-55.88%,2.88%,215.18%,109.74%,-9.19%,Upgrade
2,Enterprise Value,14810,7883,8555,8880,7225,3936,4134,9687,16238,10771,3949,Upgrade
3,Last Close Price,7.42,5.61,6.09,7.47,7.26,7.48,6.88,11.32,15.13,10.68,4.59,Upgrade
4,PE Ratio,4.31,3.21,3.70,4.31,4.57,5.83,5.82,5.53,7.16,7.05,3.55,Upgrade
5,Forward PE,4.01,2.72,2.33,3.57,3.72,4.22,2.91,4.59,8.22,7.52,4.24,Upgrade
6,PS Ratio,0.08,0.06,0.08,0.10,0.11,0.10,0.09,0.19,0.33,0.31,0.15,Upgrade
7,PB Ratio,0.49,0.31,0.37,0.48,0.48,0.51,0.49,0.87,1.87,1.72,0.82,Upgrade
8,P/TBV Ratio,0.37,0.37,0.42,0.56,0.57,0.61,0.58,1.03,2.03,1.90,0.90,Upgrade
9,P/FCF Ratio,-,-,-,-,-6.16,-,99.45,-,-,9.32,10.29,Upgrade
10,P/OCF Ratio,9.23,-,2.89,2.35,5.16,-,3.60,-,8.44,4.75,3.44,Upgrade
11,PEG Ratio,0.32,0.32,0.32,0.32,0.32,0.32,0.32,0.32,0.32,0.32,0.32,Upgrade
12,EV/Sales Ratio,0.15,0.08,0.09,0.10,0.09,0.04,0.04,0.12,0.26,0.23,0.09,Upgrade
13,EV/EBITDA Ratio,8.25,4.50,3.82,2.73,2.31,1.87,2.12,3.06,4.57,3.66,1.46,Upgrade
14,EV/EBIT Ratio,19.85,10.55,6.42,3.73,3.13,2.85,3.32,3.86,5.51,4.50,1.80,Upgrade
15,EV/FCF Ratio,-5.76,-,-,-,-4.79,-,44.25,-,-,6.76,6.08,Upgrade
16,Debt / Equity Ratio,0.76,0.76,0.49,0.64,0.36,0.48,0.28,0.42,0.18,0.38,0.27,Upgrade
17,Debt / FCF Ratio,-,-,-,-,-4.66,-,56.58,-,-,2.08,3.33,Upgrade
18,Return on Capital Employed (ROCE),2.68%,2.68%,5.16%,11.00%,10.33%,6.52%,5.81%,12.62%,23.06%,23.51%,24.33%,Upgrade
19,Earnings Yield,23.56%,31.16%,27.05%,23.19%,21.89%,17.14%,17.18%,18.10%,13.97%,14.19%,28.16%,Upgrade
20,FCF Yield,-30.76%,-40.69%,-18.49%,1.44%,-16.24%,15.20%,1.01%,-25.09%,5.41%,10.73%,9.71%,Upgrade
21,Buyback Yield / Dilution,0.37%,0.62%,0.11%,-0.22%,0.38%,0.64%,0.59%,-0.50%,-1.11%,0.06%,0.47%,Upgrade
22,Total Shareholder Return,6.01%,0.62%,0.11%,-0.22%,0.38%,0.64%,0.59%,-0.50%,-1.11%,0.06%,0.47%,Upgrade
