,Fiscal Quarter,H1 2024,H2 2023,H1 2023,H2 2022,H1 2022,H2 2021,H1 2021,H2 2020,H1 2020,H2 2019,+2 Quarters
,Period Ending,"Jun '24 Jun 30, 2024","Dec '23 Dec 31, 2023","Jun '23 Jun 30, 2023","Dec '22 Dec 31, 2022","Jun '22 Jun 30, 2022","Dec '21 Dec 31, 2021","Jun '21 Jun 30, 2021","Dec '20 Dec 31, 2020","Jun '20 Jun 30, 2020","Dec '19 Dec 31, 2019",+2 Quarters
0,Revenue,49915,42420,41471,43572,31026,49340,36276,30890,22635,20804,Upgrade
1,Revenue Growth (YoY),20.36%,-2.65%,33.66%,-11.69%,-14.47%,59.73%,60.27%,48.48%,14.26%,2.76%,Upgrade
2,Cost of Revenue,47402,39503,38439,39576,28649,46653,34343,27515,20519,17968,Upgrade
3,Gross Profit,2513,2917,3032,3996,2377,2686,1933,3375,2116,2836,Upgrade
4,"Selling, General & Admin",1294,1411,1370,1563,1030,1176,850.81,997.61,731.2,855.65,Upgrade
5,Research & Development,942.16,1098,829.34,913.44,708.94,867.38,615.79,737.89,532.61,647.45,Upgrade
6,Other Operating Expenses,-,-,-,-,-,-,-,-,-,-8.96,Upgrade
7,Operating Expenses,2248,2486,2252,2572,1759,2126,1479,1744,1264,1508,Upgrade
8,Operating Income,264.39,430.92,779.6,1425,617.55,560.69,453.89,1631,851.95,1328,Upgrade
9,Interest Expense,-282.16,-245.1,-237.68,-187.38,-153.36,-136.18,-117.71,-97.63,-106.32,-116.66,Upgrade
10,Interest & Investment Income,296.84,300.59,275.4,202.68,121.95,146.73,82.35,94.62,53.32,60.73,Upgrade
11,Earnings From Equity Investments,-0.62,-0.31,-0.52,-1.41,0.51,-2.17,-0.57,-0.44,-0.34,-0.25,Upgrade
12,Currency Exchange Gain (Loss),-37.73,27.08,-45.85,-71.62,-39.52,-26.4,38.24,32.13,-5.07,-6.71,Upgrade
13,Other Non Operating Income (Expenses),1141,817.37,518.17,226.78,559.33,327.74,497.11,149.76,310.92,125.95,Upgrade
14,EBT Excluding Unusual Items,1382,1331,1289,1594,1106,870.41,953.32,1810,1104,1391,Upgrade
15,Gain (Loss) on Sale of Investments,0.44,0.67,-1.69,20.35,31.59,43.41,15.79,52.43,34.45,35.57,Upgrade
16,Gain (Loss) on Sale of Assets,-15.67,-50,-5.17,10.45,-23.58,-35.15,-10.84,8.67,-8.67,44.63,Upgrade
17,Asset Writedown,-,-,-,-,-,-,-,-32.22,-19.02,-89.05,Upgrade
18,Pretax Income,1367,1281,1282,1624,1114,878.67,958.27,1839,1111,1382,Upgrade
19,Income Tax Expense,301.31,453.49,274.29,445.84,213.32,70.78,214.95,194.07,251.09,246.76,Upgrade
20,Earnings From Continuing Operations,1066,827.73,1008,1179,901.15,807.89,743.32,1644,860.14,1135,Upgrade
21,Minority Interest in Earnings,-137.39,75.9,-89.77,-141.9,-141.39,-168.8,-82.46,-4.27,-23.38,-49.13,Upgrade
22,Net Income,928.22,903.63,918.21,1037,759.75,639.09,660.86,1640,836.76,1086,Upgrade
23,Net Income to Common,928.22,903.63,918.21,1037,759.75,639.09,660.86,1640,836.76,1086,Upgrade
24,Net Income Growth,1.09%,-12.83%,20.86%,62.20%,14.96%,-61.04%,-21.02%,51.03%,40.42%,60.85%,Upgrade
25,Shares Outstanding (Basic),1126,1126,1126,1126,1126,1126,1126,1126,1127,1127,Upgrade
26,Shares Outstanding (Diluted),1143,1146,1150,1148,1147,1152,1155,1159,1149,1146,Upgrade
27,Shares Change (YoY),-0.62%,-0.11%,0.22%,-0.38%,-0.64%,-0.59%,0.50%,1.11%,-0.06%,-0.47%,Upgrade
28,EPS (Basic),0.82,0.80,0.82,0.92,0.67,0.57,0.59,1.46,0.74,0.96,Upgrade
29,EPS (Diluted),0.81,0.79,0.80,0.91,0.66,0.56,0.57,1.42,0.73,0.95,Upgrade
30,EPS Growth,1.73%,-12.81%,20.58%,62.78%,15.71%,-60.70%,-21.42%,48.98%,40.51%,62.44%,Upgrade
31,Free Cash Flow,-1565,-827.18,-418.17,539.39,-1873,3113,-3037,-153.84,1113,340.32,Upgrade
32,Free Cash Flow Per Share,-1.37,-0.72,-0.36,0.47,-1.63,2.70,-2.63,-0.13,0.97,0.30,Upgrade
33,Operating Margin,0.53%,1.02%,1.88%,3.27%,1.99%,1.14%,1.25%,5.28%,3.76%,6.38%,Upgrade
34,Profit Margin,1.86%,2.13%,2.21%,2.38%,2.45%,1.30%,1.82%,5.31%,3.70%,5.22%,Upgrade
35,Free Cash Flow Margin,-3.14%,-1.95%,-1.01%,1.24%,-6.04%,6.31%,-8.37%,-0.50%,4.92%,1.64%,Upgrade
36,EBITDA,786.31,843.41,1189,1820,948.81,850.17,737.04,1893,1100,1579,Upgrade
37,D&A For EBITDA,521.93,412.48,409.19,395.58,331.26,289.48,283.15,261.85,248.38,251.82,Upgrade
38,EBIT,264.39,430.92,779.6,1425,617.55,560.69,453.89,1631,851.95,1328,Upgrade
