,Fiscal Quarter,Q4 2024,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021,Q4 2020,Q3 2020,Q2 2020,Q1 2020,+20 Quarters
,Period Ending,"Dec '24 Dec 31, 2024","Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Dec '22 Dec 31, 2022","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Dec '21 Dec 31, 2021","Sep '21 Sep 30, 2021","Jun '21 Jun 30, 2021","Mar '21 Mar 31, 2021","Dec '20 Dec 31, 2020","Sep '20 Sep 30, 2020","Jun '20 Jun 30, 2020","Mar '20 Mar 31, 2020",+20 Quarters
0,Revenue,186789,178316,188880,162021,149997,105997,108518,90187,116171,85174,118707,124327,106621,102492,92725,81745,82270,81789,58780,88441,Upgrade
1,Revenue Growth (YoY),24.53%,68.23%,74.05%,79.65%,29.12%,24.45%,-8.58%,-27.46%,8.96%,-16.90%,28.02%,52.09%,29.60%,25.31%,57.75%,-7.57%,-9.94%,17.05%,-18.31%,3.18%,Upgrade
2,Cost of Revenue,134837,133704,136008,118657,110329,84840,85998,73592,88976,66383,87057,86861,75413,80059,77793,65729,65744,64561,44826,69578,Upgrade
3,Gross Profit,51951,44611,52872,43365,39668,21157,22520,16596,27195,18791,31650,37467,31209,22433,14932,16016,16526,17228,13953,18863,Upgrade
4,"Selling, General & Admin",36740,25558,12133,11565,11198,9898,10191,10585,10036,9785,12041,12525,10581,13720,10751,9264,7422,7187,6043,7646,Upgrade
5,Operating Expenses,36740,25558,12133,11565,11198,9898,10191,10585,10036,9785,12041,12525,10581,13720,10751,9264,7422,7187,6043,7646,Upgrade
6,Operating Income,15211,19054,40740,31800,28470,11259,12329,6010,17159,9006,19609,24942,20628,8713,4180,6751,9104,10042,7911,11218,Upgrade
7,Interest Expense,-46.5,-23.25,-104.32,-122.48,-,-,-157.91,-240.14,-260.25,-105.49,-199.64,-175.11,-118.1,-239.41,-518.98,-411.66,-112.16,-47.48,-82.74,-168.41,Upgrade
8,Interest & Investment Income,4487,2548,2720,1896,1058,1602,637.55,581.69,-,849.44,1271,870.15,678.65,569.36,205.5,339.09,83.39,125.07,92.72,259.77,Upgrade
9,Other Non Operating Income (Expenses),409.61,-396.57,-280.34,224.43,227.5,-96.83,73.6,-309.68,-969.17,-57.42,-269.23,-471.51,-44.24,-278.57,22.68,-91.7,217.89,26.16,-36.76,83.34,Upgrade
10,EBT Excluding Unusual Items,20061,21182,43075,33798,29756,12764,12882,6042,15930,9693,20411,25166,21144,8764,3890,6587,9293,10145,7884,11392,Upgrade
11,Pretax Income,20061,21182,43075,33798,29756,12764,12882,6042,15930,9693,20411,25166,21144,8764,3890,6587,9293,10145,7884,11392,Upgrade
12,Income Tax Expense,2630,2515,7854,6049,4830,2235,2223,1078,589.25,1992,3922,5290,4281,1795,840.98,1344,1901,2025,1618,2299,Upgrade
13,Net Income,17431,18667,35222,27749,24927,10529,10660,4965,15340,7701,16489,19876,16863,6970,3049,5243,7392,8120,6266,9094,Upgrade
14,Net Income to Common,17431,18667,35222,27749,24927,10529,10660,4965,15340,7701,16489,19876,16863,6970,3049,5243,7392,8120,6266,9094,Upgrade
15,Net Income Growth,-30.07%,77.29%,230.42%,458.93%,62.49%,36.73%,-35.35%,-75.02%,-9.03%,10.49%,440.87%,279.06%,128.13%,-14.17%,-51.35%,-42.34%,-35.10%,54.36%,-2.58%,-6.42%,Upgrade
16,Shares Outstanding (Basic),7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,Upgrade
17,Shares Outstanding (Diluted),7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,Upgrade
18,Shares Change (YoY),-0.02%,-0.00%,-0.03%,0.07%,0.00%,-0.03%,0.03%,-0.05%,-0.00%,0.02%,0.11%,0.05%,-0.01%,0.01%,-0.08%,-0.08%,0.04%,0.01%,-0.03%,-0.02%,Upgrade
19,EPS (Basic),2439.00,2611.53,4928.00,3882.00,3487.00,1473.00,1491.00,695.00,2146.00,1077.00,2307.00,2781.00,2359.00,975.00,427.00,734.00,1034.00,1136.00,877.00,1272.00,Upgrade
20,EPS (Diluted),2439.00,2611.53,4928.00,3882.00,3487.00,1473.00,1491.00,695.00,2146.00,1077.00,2307.00,2781.00,2359.00,975.00,427.00,734.00,1034.00,1136.00,877.00,1272.00,Upgrade
21,EPS Growth,-30.05%,77.29%,230.52%,458.56%,62.49%,36.77%,-35.37%,-75.01%,-9.03%,10.46%,440.28%,278.88%,128.14%,-14.17%,-51.31%,-42.30%,-35.13%,54.35%,-2.56%,-6.40%,Upgrade
22,Free Cash Flow,20957,20957,43341,-14965,-2306,-1688,41316,-15895,-,12652,18892,-5064,2384,6011,-,-11235,18840,-29412,12156,10873,Upgrade
23,Free Cash Flow Per Share,2932.36,2931.87,6063.98,-2093.61,-322.52,-236.17,5779.03,-2225.20,-,1769.42,2643.24,-708.53,333.55,840.95,-,-1572.74,2635.40,-4114.73,1701.28,1520.88,Upgrade
24,Dividend Per Share,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1000.000,-,-,-,-,-,Upgrade
25,Gross Margin,27.81%,25.02%,27.99%,26.76%,26.45%,19.96%,20.75%,18.40%,23.41%,22.06%,26.66%,30.14%,29.27%,21.89%,16.10%,19.59%,20.09%,21.06%,23.74%,21.33%,Upgrade
26,Operating Margin,8.14%,10.69%,21.57%,19.63%,18.98%,10.62%,11.36%,6.66%,14.77%,10.57%,16.52%,20.06%,19.35%,8.50%,4.51%,8.26%,11.07%,12.28%,13.46%,12.68%,Upgrade
27,Profit Margin,9.33%,10.47%,18.65%,17.13%,16.62%,9.93%,9.82%,5.50%,13.20%,9.04%,13.89%,15.99%,15.82%,6.80%,3.29%,6.41%,8.98%,9.93%,10.66%,10.28%,Upgrade
28,Free Cash Flow Margin,11.22%,11.75%,22.95%,-9.24%,-1.54%,-1.59%,38.07%,-17.62%,-,14.85%,15.92%,-4.07%,2.24%,5.87%,-,-13.74%,22.90%,-35.96%,20.68%,12.29%,Upgrade
29,EBITDA,20485,24328,45658,36274,32582,15470,16615,10325,21251,13099,24230,28650,24486,12466,7383,9957,-,-,-,-,Upgrade
30,EBITDA Margin,10.97%,13.64%,24.17%,22.39%,21.72%,14.59%,15.31%,11.45%,18.29%,15.38%,20.41%,23.04%,22.96%,12.16%,7.96%,12.18%,-,-,-,-,Upgrade
31,D&A For EBITDA,5274,5274,4919,4474,4111,4211,4286,4315,4092,4092,4621,3708,3858,3753,3202,3206,-,-,-,-,Upgrade
32,EBIT,15211,19054,40740,31800,28470,11259,12329,6010,17159,9006,19609,24942,20628,8713,4180,6751,9104,10042,7911,11218,Upgrade
33,EBIT Margin,8.14%,10.69%,21.57%,19.63%,18.98%,10.62%,11.36%,6.66%,14.77%,10.57%,16.52%,20.06%,19.35%,8.50%,4.51%,8.26%,11.07%,12.28%,13.46%,12.68%,Upgrade
34,Effective Tax Rate,13.11%,11.87%,18.23%,17.90%,16.23%,17.51%,17.25%,17.84%,3.70%,20.55%,19.22%,21.02%,20.25%,20.48%,21.62%,20.40%,20.46%,19.96%,20.52%,20.18%,Upgrade
35,Revenue as Reported,186789,178316,188880,162021,149997,105997,108518,90187,116171,85174,118707,124327,106621,102492,92725,81745,82270,81789,58780,88441,Upgrade
