,Fiscal Quarter,H1 2024,H2 2023,H1 2023,H2 2022,H1 2022,H2 2021,H1 2021,H2 2020,H1 2020,H2 2019
,Period Ending,"Jun '24 Jun 30, 2024","Dec '23 Dec 31, 2023","Jun '23 Jun 30, 2023","Dec '22 Dec 31, 2022","Jun '22 Jun 30, 2022","Dec '21 Dec 31, 2021","Jun '21 Jun 30, 2021","Dec '20 Dec 31, 2020","Jun '20 Jun 30, 2020","Dec '19 Dec 31, 2019"
0,Revenue,355.72,291.59,351.08,292,333.47,275.37,290.01,234.03,244.82,210.14
1,Revenue Growth (YoY),1.32%,-0.14%,5.28%,6.04%,14.99%,17.67%,18.46%,11.37%,7.57%,13.16%
2,Cost of Revenue,119.8,148.45,116.25,145.15,111.62,111.35,83.91,96.91,70.88,95.17
3,Gross Profit,235.92,143.13,234.82,146.85,221.86,164.03,206.11,137.12,173.94,114.96
4,"Selling, General & Admin",37.74,14.78,69.34,87.83,78.44,39.65,38.77,12.62,64.96,66.85
5,Other Operating Expenses,-16.99,-1.38,-19.88,-2.86,-34.25,-27.9,-42.59,-43.54,-35.2,-62.04
6,Operating Expenses,20.75,13.39,49.46,84.97,44.19,11.75,-3.83,-30.92,29.76,4.81
7,Operating Income,215.17,129.74,185.36,61.88,177.67,152.28,209.93,168.04,144.18,110.15
8,Interest Expense,-6.38,-7.78,-6.51,-7.81,-7.99,-9.71,-7.7,-8.69,-4.39,-0.85
9,Interest & Investment Income,7.07,7.51,4.84,12.09,3.57,6.9,5.92,15.06,12.97,11.73
10,EBT Excluding Unusual Items,215.86,129.47,183.69,66.16,173.25,149.46,208.15,174.42,152.76,121.04
11,Gain (Loss) on Sale of Investments,-,-,-,-,-,-0.27,-,0.27,-,-
12,Pretax Income,215.86,129.47,183.69,66.16,173.25,149.19,208.15,174.69,152.76,121.04
13,Income Tax Expense,2.75,3.83,2.24,3.14,0.75,2.4,0.46,2.12,0.03,2.73
14,Net Income,213.12,125.65,181.45,63.02,172.5,146.79,207.69,172.57,152.73,118.32
15,Net Income to Common,213.12,125.65,181.45,63.02,172.5,146.79,207.69,172.57,152.73,118.32
16,Net Income Growth,17.45%,99.39%,5.19%,-57.07%,-16.95%,-14.94%,35.99%,45.85%,0.24%,-0.20%
17,Shares Outstanding (Basic),1609,1609,1609,1609,1609,1609,1609,1609,1609,1609
18,Shares Outstanding (Diluted),1609,1609,1610,1609,1609,1609,1609,1609,1609,1609
19,Shares Change (YoY),-0.06%,-,0.06%,-,-,-,-,-,-,-0.04%
20,EPS (Basic),0.13,0.08,0.11,0.04,0.11,0.09,0.13,0.11,0.09,0.07
21,EPS (Diluted),0.13,0.08,0.11,0.04,0.11,0.09,0.13,0.11,0.09,0.07
22,EPS Growth,17.02%,98.71%,5.42%,-57.07%,-17.13%,-14.94%,35.99%,45.85%,0.24%,-0.15%
23,Free Cash Flow,-76.62,452.67,-84.46,460.4,-76.06,463.54,-46.47,474.8,-167.98,163.56
24,Free Cash Flow Per Share,-0.05,0.28,-0.05,0.29,-0.05,0.29,-0.03,0.30,-0.10,0.10
25,Operating Margin,60.49%,44.50%,52.80%,21.19%,53.28%,55.30%,72.39%,71.80%,58.89%,52.42%
26,Profit Margin,59.91%,43.09%,51.69%,21.58%,51.73%,53.31%,71.61%,73.74%,62.38%,56.30%
27,Free Cash Flow Margin,-21.54%,155.25%,-24.06%,157.67%,-22.81%,168.33%,-16.02%,202.88%,-68.61%,77.83%
28,EBITDA,240.58,157.09,218.08,91.32,210.31,180.57,239.91,192.43,174.3,137.04
29,D&A For EBITDA,25.41,27.35,32.72,29.44,32.65,28.29,29.98,24.39,30.13,26.88
30,EBIT,215.17,129.74,185.36,61.88,177.67,152.28,209.93,168.04,144.18,110.15
