,Fiscal Quarter,Q4 2024,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q3 2022
,Period Ending,"Dec '24 Dec 31, 2024","Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 30, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Sep '22 Sep 30, 2022"
0,Cash & Equivalents,78072,54163,80125,-,117352,30058,-,-,-
1,Short-Term Investments,-,-,-,-,-,235173,-,-,-
2,Cash & Short-Term Investments,78072,54163,80125,-,117352,265231,-,-,-
3,Cash Growth,-33.47%,-79.58%,-,-,-,-,-,-,-
4,Accounts Receivable,2846453,1868375,1556880,-,1474207,1427325,-,-,-
5,Other Receivables,422788,423482,404643,-,980210,962912,-,-,-
6,Receivables,3269241,2291857,1961524,-,2454418,2390237,-,-,-
7,Inventory,704079,244296,209381,-,316254,285906,-,-,-
8,Prepaid Expenses,155.48,-,1.75,-,5.24,6.98,-,-,-
9,Other Current Assets,3763642,2398911,2489886,-,2316659,2321837,-,-,-
10,Total Current Assets,7815190,4989227,4740917,-,5204688,5263218,-,-,-
11,"Property, Plant & Equipment",6378,6813,7280,-,7954,8431,-,-,-
12,Other Intangible Assets,242.4,323.6,404.8,-,567.2,648.4,-,-,-
13,Long-Term Deferred Tax Assets,172.88,172.88,172.88,-,172.88,172.88,-,-,-
14,Other Long-Term Assets,5436,1509291,1511507,-,1517875,1519792,-,-,-
15,Total Assets,8479719,7158127,6620336,-,6799012,6865017,-,-,-
16,Accounts Payable,1054836,791069,717757,-,675955,712497,-,-,-
17,Accrued Expenses,1482609,933888,956782,-,1132702,1023276,-,-,-
18,Short-Term Debt,3834943,1926245,1873667,-,2022289,195048,-,-,-
19,Current Income Taxes Payable,20483,17179,16734,-,38079,64418,-,-,-
20,Other Current Liabilities,767483,717194,289015,-,287027,390299,-,-,-
21,Total Current Liabilities,7160353,4385574,3853955,-,4156052,2385537,-,-,-
22,Long-Term Debt,-,1482308,1482118,-,1481741,3325430,-,-,-
23,Total Liabilities,7160353,5867882,5336072,-,5637793,5710967,-,-,-
24,Common Stock,850000,850000,850000,-,850000,850000,-,-,-
25,Retained Earnings,456247,427725,421783,-,298648,291911,-,-,-
26,Comprehensive Income & Other,-149.6,-149.6,-149.6,-,-149.6,-149.6,-,-,-
27,Total Common Equity,1306098,1277575,1271633,-,1148498,1141762,-,-,-
28,Minority Interest,13269,12670,12631,-,12721,12289,-,-,-
29,Shareholders' Equity,1319367,1290245,1284264,-,1161219,1154051,-,-,-
30,Total Liabilities & Equity,8479719,7158127,6620336,-,6799012,6865017,-,-,-
31,Total Debt,3834943,3408553,3355785,-,3504030,3520478,-,-,-
32,Net Cash (Debt),-3756870,-3354390,-3275660,-,-3386678,-3255246,-,-,-
33,Net Cash Per Share,-44185.02,-39436.59,-38524.84,-,-39691.97,-38192.56,-,-,-
34,Filing Date Shares Outstanding,85,85.06,85.03,84.98,85.32,85.23,83.9,83.9,86.43
35,Total Common Shares Outstanding,85,85.06,85.03,84.98,85.32,85.23,83.9,83.9,86.43
36,Working Capital,654837,603653,886962,-,1048636,2877681,-,-,-
37,Book Value Per Share,15365.86,15020.08,14955.60,-,13460.44,13395.85,-,-,-
38,Tangible Book Value,1305855,1277252,1271229,-,1147931,1141113,-,-,-
39,Tangible Book Value Per Share,15363.00,15016.28,14950.84,-,13453.79,13388.25,-,-,-
40,Buildings,416,-,-,-,416,-,-,-,-
41,Machinery,14060,-,-,-,13802,-,-,-,-
42,Construction In Progress,780.59,780.59,780.59,-,780.59,780.59,-,-,-
