,Fiscal Quarter,Q4 2024,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q3 2022
,Period Ending,"Dec '24 Dec 31, 2024","Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 30, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Sep '22 Sep 30, 2022"
0,Revenue,1308983,677353,552871,359364,206965,276960,178906,154836,354136
1,Revenue Growth (YoY),532.47%,144.57%,209.03%,132.09%,-41.56%,-,-,-,-
2,Cost of Revenue,1246137,616736,439310,297225,191347,263079,165827,143105,331206
3,Gross Profit,62846,60617,113561,62139,15618,13881,13079,11731,22930
4,"Selling, General & Admin",28015,18075,17813,15820,21343,14102,18665,15703,22571
5,Operating Expenses,28015,18075,17813,15820,21343,14102,18665,15703,22571
6,Operating Income,34831,42542,95748,46319,-5725,-220.34,-5586,-3972,358.8
7,Interest Expense,-83420,-80779,-76525,-83205,-99108,-105580,-116290,-112862,-47694
8,Interest & Investment Income,84420,84335,106621,105843,114815,120642,121651,121001,57242
9,Other Non Operating Income (Expenses),-1191,-2894,-270.19,-633.29,-2843,-1088,-299.17,-2280,-4662
10,Pretax Income,34640,43204,125573,68324,7139,13754,-524.43,1887,5245
11,Income Tax Expense,5518,6080,10519,6801,-29.57,474.81,471.11,1554,3066
12,Earnings From Continuing Operations,29122,37124,115054,61523,7168,13279,-995.54,332.99,2179
13,Minority Interest in Earnings,-638.22,-38.83,-97.1,44.84,-431.59,-238.79,324.33,-43.95,-105.1
14,Net Income,28484,37085,114957,61568,6737,13041,-671.21,289.04,2074
15,Net Income to Common,28484,37085,114957,61568,6737,13041,-671.21,289.04,2074
16,Net Income Growth,322.82%,184.38%,-,21200.59%,224.75%,-,-,-,-
17,Shares Outstanding (Basic),85,85,85,85,85,85,84,84,86
18,Shares Outstanding (Diluted),85,85,85,85,85,85,84,84,86
19,Shares Change (YoY),-0.35%,-0.20%,1.34%,1.28%,-1.28%,-,-,-,-
20,EPS (Basic),335.00,436.00,1352.00,724.50,78.95,153.00,-8.00,3.45,24.00
21,EPS (Diluted),335.00,436.00,1352.00,724.50,78.95,153.00,-8.00,3.45,24.00
22,EPS Growth,324.30%,184.97%,-,20930.46%,228.97%,-,-,-,-
23,Free Cash Flow,-488503,161745,-167741,-167741,-235000,-,-45478,-45478,-
24,Free Cash Flow Per Share,-5745.34,1901.59,-1972.79,-1973.91,-2754.21,-,-542.04,-542.04,-
25,Gross Margin,4.80%,8.95%,20.54%,17.29%,7.55%,5.01%,7.31%,7.58%,6.47%
26,Operating Margin,2.66%,6.28%,17.32%,12.89%,-2.77%,-0.08%,-3.12%,-2.57%,0.10%
27,Profit Margin,2.18%,5.48%,20.79%,17.13%,3.25%,4.71%,-0.38%,0.19%,0.59%
28,Free Cash Flow Margin,-37.32%,23.88%,-30.34%,-46.68%,-113.55%,-,-25.42%,-29.37%,-
29,EBITDA,35347,43090,96295,46866,-5167,376.11,-4973,-3359,-
30,EBITDA Margin,2.70%,6.36%,17.42%,13.04%,-2.50%,0.14%,-2.78%,-2.17%,-
31,D&A For EBITDA,515.95,547.96,547.3,547.3,558.41,596.45,613.57,613.57,-
32,EBIT,34831,42542,95748,46319,-5725,-220.34,-5586,-3972,358.8
33,EBIT Margin,2.66%,6.28%,17.32%,12.89%,-2.77%,-0.08%,-3.12%,-2.57%,0.10%
34,Effective Tax Rate,15.93%,14.07%,8.38%,9.95%,-,3.45%,-,82.35%,58.45%
35,Revenue as Reported,1308983,677353,552871,359364,206965,276960,178906,154836,354136
