,Fiscal Quarter,Current,Q4 2024,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q3 2022
,Period Ending,"Mar '25 Mar 13, 2025","Dec '24 Dec 31, 2024","Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 30, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Sep '22 Sep 30, 2022"
0,Last Close Price,67200.00,65300.00,65400.00,65100.00,66200.00,66800.00,66200.00,64800.00,69600.00,67900.00
1,Debt / Equity Ratio,2.91,2.91,2.64,2.61,-,3.02,3.05,-,-,-
2,Debt / EBITDA Ratio,28.21,27.12,19.78,8.71,-,-,2340.08,-,-,-
3,Debt / FCF Ratio,-,-,-8.34,-,-,-,-,-,-,-
4,Asset Turnover,0.67,0.39,-,-,0.12,-,-,-,-,
5,Inventory Turnover,4.89,10.51,10.88,-,-,2.54,-,-,-,-
6,Quick Ratio,0.47,0.47,0.53,0.53,-,0.62,1.11,-,-,-
7,Current Ratio,1.09,1.09,1.14,1.23,-,1.25,2.21,-,-,-
8,Return on Equity (ROE),8.93%,11.54%,-,-,2.48%,-,-,-,-,
9,Return on Assets (ROA),1.11%,1.54%,-,-,-0.21%,-,-,-,-,
10,Return on Capital (ROIC),1.77%,2.28%,-,-,-0.31%,-,-,-,-,
11,Return on Capital Employed (ROCE),10.14%,16.63%,6.45%,4.92%,-,-,-,-,-,-
12,Buyback Yield / Dilution,0.19%,0.35%,0.20%,-1.34%,-1.28%,1.28%,-,-,-,-
13,Total Shareholder Return,0.19%,0.35%,0.20%,-1.34%,-1.28%,1.28%,-,-,-,-
