,Fiscal Quarter,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021
,Period Ending,"Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Jan '23 Jan 1, 2023","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Dec '21 Dec 31, 2021","Sep '21 Sep 30, 2021","Jun '21 Jun 30, 2021","Mar '21 Mar 31, 2021"
0,Operating Revenue,1107,628.17,619.36,827.29,1431,986.77,1419,1360,1344,1344,1130,1130,766.96,766.96
1,Other Revenue,-142.2,142.2,-,-,-157.75,157.75,-,-,-,-,107.21,107.21,71.69,71.69
2,Revenue,964.42,770.37,619.36,827.29,1273,1145,1419,1360,1344,1344,1237,1237,838.65,838.65
3,Revenue Growth (YoY),-24.23%,-32.69%,-56.34%,-39.19%,-5.30%,-14.84%,14.69%,9.98%,60.26%,60.26%,-,-,-,-
4,Cost of Revenue,807.19,639.74,512.1,702.5,1009,895.25,1090,1060,1060,1060,1056,1056,716.68,716.68
5,Gross Profit,157.23,130.63,107.26,124.8,263.84,249.27,328.73,300.04,283.92,283.92,180.89,180.89,121.97,121.97
6,"Selling, General & Admin",31.6,31.79,37.22,30.22,39.58,36.11,37.7,67.29,37.18,37.18,38.45,38.45,26.57,26.57
7,Research & Development,35.16,33.17,21.39,30.68,40.46,40.62,42.28,43.02,42.88,42.88,34.31,34.31,27.62,27.62
8,Other Operating Expenses,3.31,16.16,7.13,4.64,1.33,5.25,-1.37,5.18,0.65,0.65,1.38,1.38,2.24,2.24
9,Operating Expenses,69.5,84.29,64.76,49.46,88.36,82.12,69.28,110.09,80.71,80.71,72.57,72.57,64.15,64.15
10,Operating Income,87.72,46.34,42.5,75.34,175.48,167.14,259.44,189.95,203.22,203.22,108.31,108.31,57.82,57.82
11,Interest Expense,-0.86,-0.71,-1.68,-1.23,-1.33,-1.34,-1.32,-1.37,-,-,-2.84,-2.84,-1.17,-1.17
12,Interest & Investment Income,20.21,22.92,19.42,25.16,13.22,11.45,7.51,3.52,-,-,9.77,9.77,8.98,8.98
13,Currency Exchange Gain (Loss),-25.78,25.78,-,23.04,-43.08,43.08,-,103.44,-,-,-4.19,-4.19,-0.7,-0.7
14,Other Non Operating Income (Expenses),-28.1,-20.57,20.09,-39.74,39.27,23.8,-18.76,-130.95,23.45,23.45,-0.1,-0.1,-0.12,-0.12
15,EBT Excluding Unusual Items,53.2,73.76,80.33,82.58,183.56,244.13,246.87,164.6,226.67,226.67,110.95,110.95,64.81,64.81
16,Gain (Loss) on Sale of Investments,16.67,-0.06,-23.67,29.28,-29.1,-86.34,13.55,10.29,-33.04,-33.04,7.53,7.53,-3.45,-3.45
17,Gain (Loss) on Sale of Assets,1.37,0.03,-0.02,4.89,-,-,-,-0.22,-,-,-0,-0,1.29,1.29
18,Asset Writedown,1.03,-2.61,2.4,-4.56,-4.1,-1.89,-0.06,-21.02,-4.26,-4.26,-0.21,-0.21,-1.9,-1.9
19,Other Unusual Items,2.76,0.71,0.56,15.36,-0.01,0.01,-,11.28,-,-,0.87,0.87,1.14,1.14
20,Pretax Income,75.02,71.83,59.59,127.54,150.34,155.92,260.36,164.94,189.36,189.36,119.13,119.13,61.89,61.89
21,Income Tax Expense,10.04,9.63,8.95,18.85,21.8,22.57,38.69,31.16,28.28,28.28,18.71,18.71,9.16,9.16
