,Fiscal Quarter,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021
,Period Ending,"Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Jan '23 Jan 1, 2023","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Dec '21 Dec 31, 2021","Sep '21 Sep 30, 2021","Jun '21 Jun 30, 2021","Mar '21 Mar 31, 2021"
0,Cash & Equivalents,2074,2879,2943,2877,3720,-,-,1218,-,-,464.06,464.06,401.75,401.75
1,Short-Term Investments,-,468.5,-,613,-,-,-,-,-,-,-,-,-,-
2,Cash & Short-Term Investments,2074,3348,2943,3490,3720,-,1218,1218,-,464.06,464.06,464.06,401.75,401.75
3,Cash Growth,-44.26%,-,141.52%,186.42%,-,-,162.57%,162.57%,-,15.51%,-,-,-,-
4,Accounts Receivable,423.87,424.04,367.23,374.38,658.97,-,-,743.24,-,-,668.41,668.41,698.06,698.06
5,Other Receivables,23.78,35.98,21,24.07,17.14,-,-,44.02,-,-,72.44,72.44,45.19,45.19
6,Receivables,447.65,460.03,388.24,398.45,676.11,-,-,787.26,-,-,740.84,740.84,743.25,743.25
7,Inventory,922.75,878.37,890.79,970.72,1224,-,-,1080,-,-,904.5,904.5,795.88,795.88
8,Other Current Assets,1296,19.48,618.03,12.94,35.63,-,-,32.27,-,-,234.83,234.83,21.57,21.57
9,Total Current Assets,4740,4706,4840,4872,5655,-,-,3118,-,-,2344,2344,1962,1962
10,"Property, Plant & Equipment",530.52,533.25,543.82,591.72,554.9,-,-,579.85,-,-,449.31,449.31,455.55,455.55
11,Long-Term Investments,0.72,0.69,5.96,6.41,8.89,-,-,9.67,-,-,27.45,27.45,25.85,25.85
12,Other Intangible Assets,74.92,76.17,75.63,78.94,68.19,-,-,77.57,-,-,52.24,52.24,51.05,51.05
13,Long-Term Deferred Tax Assets,24.66,27.81,25.41,28.37,45.58,-,-,37.15,-,-,24.74,24.74,21.75,21.75
14,Long-Term Deferred Charges,0.33,0.36,0.38,0.41,0.43,-,-,0.51,-,-,0.4,0.4,0.44,0.44
15,Other Long-Term Assets,48.95,47.41,45.98,4.04,57.73,-,-,7.25,-,-,94.74,94.74,100.02,100.02
16,Total Assets,5420,5391,5537,5582,6391,-,-,3830,-,-,2993,2993,2617,2617
17,Accounts Payable,372.27,350.21,256.46,349.6,647.15,-,-,644.86,-,-,562.46,562.46,491.14,491.14
18,Accrued Expenses,126.61,201.3,126.36,220.19,153.97,-,-,239.41,-,-,173.04,173.04,148.4,148.4
19,Short-Term Debt,-,9,-,9,-,-,-,9.04,-,-,109.61,109.61,20.29,20.29
20,Current Portion of Long-Term Debt,-,22.81,45.24,24.85,-,-,-,3.86,-,-,3.86,3.86,3.86,3.86
21,Current Portion of Leases,-,10.52,-,10.11,-,-,-,8.73,-,-,7.36,7.36,8.12,8.12
22,Current Income Taxes Payable,16.35,8.96,7.65,14.19,38.33,-,-,53.18,-,-,34.25,34.25,14.81,14.81
23,Current Unearned Revenue,83.32,115.11,149.83,120.13,161.38,-,-,135.16,-,-,134.78,134.78,134.07,134.07
24,Other Current Liabilities,123.38,41.95,111.67,42.96,208.54,-,-,54.48,-,-,29.14,29.14,61.63,61.63
25,Total Current Liabilities,721.93,759.86,697.22,791.01,1209,-,-,1149,-,-,1055,1055,882.31,882.31
26,Long-Term Debt,-,-,-,-,-,-,-,24.81,-,-,28.63,28.63,30.53,30.53
27,Long-Term Leases,69.88,69.91,71.5,76.3,81.21,-,-,84.23,-,-,58.32,58.32,64.54,64.54
28,Long-Term Unearned Revenue,25.11,26.25,26.24,26.38,23.18,-,-,19.38,-,-,7.22,7.22,7.09,7.09
29,Other Long-Term Liabilities,21.64,22.77,25.39,25.32,26.59,-,-,23.56,-,-,15.86,15.86,13.93,13.93
30,Total Liabilities,838.56,878.79,820.34,919.02,1340,-,-,1301,-,-,1165,1165,998.41,998.41
31,Common Stock,600,600,600,600,600,-,-,510,-,-,510,510,510,510
32,Additional Paid-In Capital,2933,2930,2928,2925,2922,-,-,974.86,-,-,964.8,964.8,958.64,958.64
33,Retained Earnings,1047,982.32,1189,1137,1529,-,-,1042,-,-,334.24,334.24,131.53,131.53
34,Comprehensive Income & Other,3.57,1.86,1.67,1.33,-0.16,-,-,-1.27,-,-,-2.36,-2.36,0.07,0.07
35,Total Common Equity,4584,4515,4718,4663,5050,-,2526,2526,-,1807,1807,1807,1600,1600
36,Minority Interest,-2.18,-2.14,-1.3,0.07,0.65,-,-,3.7,-,-,21.9,21.9,18.46,18.46
37,Shareholders' Equity,4582,4512,4717,4663,5051,-,2529,2529,-,1829,1829,1829,1619,1619
38,Total Liabilities & Equity,5420,5391,5537,5582,6391,-,-,3830,-,-,2993,2993,2617,2617
39,Total Debt,69.88,112.24,116.74,120.26,81.21,-,130.66,130.66,-,207.78,207.78,207.78,127.34,127.34
40,Net Cash (Debt),2004,3235,2826,3370,3639,-,1088,1088,-,256.28,256.28,256.28,274.41,274.41
41,Net Cash Growth,-44.93%,-,159.80%,209.76%,-,-,324.47%,324.47%,-,-6.60%,-,-,-,-
42,Net Cash Per Share,3.40,5.11,4.89,5.70,7.09,-,2.14,2.12,-,0.51,0.51,0.51,0.49,0.49
43,Filing Date Shares Outstanding,600,600,600,600,600,516.38,507.31,510,506.98,506.98,510,510,510,510
44,Total Common Shares Outstanding,600,600,600,600,600,516.38,507.31,510,506.98,506.98,510,510,510,510
45,Working Capital,4018,3946,4143,4081,4446,-,-,1969,-,-,1290,1290,1080,1080
46,Book Value Per Share,7.64,7.52,7.86,7.77,8.42,-,4.95,4.95,-,3.54,3.54,3.54,3.14,3.14
47,Tangible Book Value,4509,4438,4642,4584,4982,-,2448,2448,-,1754,1754,1754,1549,1549
48,Tangible Book Value Per Share,7.51,7.40,7.74,7.64,8.30,-,4.80,4.80,-,3.44,3.44,3.44,3.04,3.04
