,Fiscal Quarter,Current,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021
,Period Ending,"Mar '25 Mar 12, 2025","Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Jan '23 Jan 1, 2023","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Dec '21 Dec 31, 2021","Sep '21 Sep 30, 2021","Jun '21 Jun 30, 2021","Mar '21 Mar 31, 2021"
0,Market Capitalization,10368,11678,9835,10996,12731,-,-,-,-,-,-,-,-,-,-
1,Enterprise Value,8362,8440,7007,7626,9092,-,-,-,-,-,-,-,-,-,-
2,Last Close Price,15.36,17.30,14.57,15.83,18.32,-,-,-,-,-,-,-,-,-,-
3,PE Ratio,31.75,40.35,27.88,25.89,21.36,-,-,-,-,-,-,-,-,-,-
4,Forward PE,29.83,11.95,12.35,13.81,16.69,-,-,-,-,-,-,-,-,-,-
5,PS Ratio,2.89,3.67,2.82,2.85,2.73,-,-,-,-,-,-,-,-,-,-
6,PB Ratio,2.01,2.55,2.18,2.33,2.73,-,-,-,-,-,-,-,-,-,-
7,P/TBV Ratio,2.59,2.59,2.22,2.37,2.78,-,-,-,-,-,-,-,-,-,-
8,P/FCF Ratio,18.80,21.18,14.33,18.58,15.36,-,-,-,-,-,-,-,-,-,-
9,P/OCF Ratio,18.44,18.44,13.02,16.60,13.87,-,-,-,-,-,-,-,-,-,-
10,EV/Sales Ratio,2.63,2.65,2.01,1.97,1.95,-,-,-,-,-,-,-,-,-,-
11,EV/EBITDA Ratio,27.74,28.62,18.34,15.20,12.66,-,-,-,-,-,-,-,-,-,-
12,EV/EBIT Ratio,33.88,33.50,20.63,16.56,13.42,-,-,-,-,-,-,-,-,-,-
13,EV/FCF Ratio,15.16,15.31,10.21,12.89,10.97,-,-,-,-,-,-,-,-,-,-
14,Debt / Equity Ratio,0.02,0.02,0.02,0.02,0.03,0.02,-,0.05,0.05,-,0.11,0.11,0.11,0.08,0.08
15,Debt / EBITDA Ratio,0.23,0.18,0.44,0.55,0.31,0.11,-,0.12,0.16,-,0.24,0.43,0.43,0.46,0.46
16,Debt / FCF Ratio,0.13,0.13,0.16,0.20,0.15,0.10,-,0.19,0.32,-,-4.30,-1.01,-1.00,-,-
17,Asset Turnover,0.71,0.56,0.45,-,-,-,-,-,-,-,1.65,1.76,1.28,-,
18,Inventory Turnover,2.48,3.59,2.89,2.20,-,-,-,-,-,-,-,4.67,4.97,3.60,-
19,Quick Ratio,3.49,3.49,5.01,4.78,4.92,3.64,-,-,1.75,-,-,1.14,1.14,1.30,1.30
20,Current Ratio,6.57,6.57,6.19,6.94,6.16,4.68,-,-,2.71,-,-,2.22,2.22,2.22,2.22
21,Return on Equity (ROE),5.72%,5.39%,4.32%,-,-,-,35.06%,-,-,35.24%,21.97%,23.30%,13.03%,-,
22,Return on Assets (ROA),4.06%,2.12%,1.91%,-,-,-,-,-,-,-,9.05%,9.65%,5.52%,-,
23,Return on Capital (ROIC),4.73%,2.45%,2.21%,-,-,-,24.38%,-,-,24.95%,13.30%,14.32%,8.28%,-,
24,Return on Capital Employed (ROCE),5.25%,5.36%,7.33%,9.51%,14.14%,15.28%,-,-,26.28%,-,-,17.14%,11.55%,6.67%,3.33%
25,Earnings Yield,2.79%,2.48%,3.59%,3.86%,4.68%,-,-,-,-,-,-,-,-,-,-
26,FCF Yield,5.32%,4.72%,6.98%,5.38%,6.51%,-,-,-,-,-,-,-,-,-,-
27,Dividend Yield,8.37%,-,-,-,7.01%,-,-,-,-,-,-,-,-,-,-
28,Payout Ratio,266.70%,0.06%,428.43%,0.74%,458.70%,0.24%,0.24%,0.15%,0.24%,0.41%,0.41%,11.16%,11.16%,0.90%,0.90%
29,Buyback Yield / Dilution,-16.80%,-14.97%,-22.65%,-13.96%,-15.53%,-1.19%,-1.85%,-0.06%,-0.99%,10.38%,10.38%,-,-,-,-
30,Total Shareholder Return,-8.43%,-14.97%,-22.65%,-13.96%,-8.52%,-1.19%,-1.85%,-0.06%,-0.99%,10.38%,10.38%,-,-,-,-
