,Fiscal Quarter,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021
,Period Ending,"Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Jan '23 Jan 1, 2023","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Dec '21 Dec 31, 2021"
0,Cash & Equivalents,997.32,769.27,948.32,1171,456.93,249.95,1472,115.01,149.57,-,-,-
1,Trading Asset Securities,-,-,50.08,230.74,860.17,963.44,-,-,-,-,-,-
2,Cash & Short-Term Investments,997.32,769.27,998.4,1401,1317,1213,1472,115.01,149.57,-,171.83,-
3,Cash Growth,-24.28%,-36.60%,-32.18%,1118.56%,780.57%,-,756.70%,-,-,-,-,-
4,Accounts Receivable,1397,1294,900.56,1117,1154,971.1,787.3,663.8,665.38,-,-,-
5,Other Receivables,4.58,-1.4,259.14,4.92,2.9,169.97,145.16,5.88,25.98,-,-,-
6,Receivables,1402,1292,1160,1122,1157,1141,932.46,669.68,691.37,-,-,-
7,Inventory,590.35,645.25,570.69,503.4,390.48,358.47,329.23,360.74,359.92,-,-,-
8,Prepaid Expenses,-,-,-,1.09,-,0.04,-,2.47,-,-,-,-
9,Other Current Assets,147.06,153.25,162.96,122.35,143.65,115.79,96.37,61.54,48.12,-,-,-
10,Total Current Assets,3137,2860,2892,3150,3008,2829,2830,1209,1249,-,-,-
11,"Property, Plant & Equipment",810.94,688.1,637,604.09,542.71,531.83,519.89,520.29,484.7,-,-,-
12,Long-Term Investments,-,-,-,-,14.26,2.48,-,-,-,-,-,-
13,Other Intangible Assets,85.35,85.53,80.11,80.56,80.84,16.54,16.67,16.79,16.92,-,-,-
14,Long-Term Deferred Tax Assets,1.34,1.27,0.71,0.19,2.46,2.45,2.53,5.06,1.86,-,-,-
15,Long-Term Deferred Charges,2.72,2.94,3.16,3.39,3.15,3.35,3.4,3.59,-,-,-,-
16,Other Long-Term Assets,40.2,75.93,23.29,21.65,3.59,0.13,0.43,0.18,3.43,-,-,-
17,Total Assets,4077,3714,3636,3860,3655,3386,3373,1755,1756,-,-,-
18,Accounts Payable,1101,847.54,697.58,933.08,835,573.43,515.11,553.78,497.78,-,-,-
