,Fiscal Quarter,Current,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021
,Period Ending,"Mar '25 Mar 10, 2025","Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Jan '23 Jan 1, 2023","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Dec '21 Dec 31, 2021"
0,Market Capitalization,6580,5167,4930,5412,5689,6121,6942,7093,-,-,-,-,-
1,Market Cap Growth,-15.58%,-15.58%,-28.98%,-23.70%,-,-,-,-,-,-,-,-,-
2,Enterprise Value,5668,4465,4004,4141,4417,4996,5612,7257,-,-,-,-,-
3,Last Close Price,16.91,13.18,12.58,13.52,14.21,15.28,17.33,17.57,-,-,-,-,-
4,PE Ratio,32.63,26.37,22.72,24.98,26.59,33.72,38.37,37.46,-,-,-,-,-
5,PS Ratio,2.05,1.65,1.78,2.16,2.29,2.61,3.01,2.99,-,-,-,-,-
6,PB Ratio,2.30,1.79,1.76,1.89,2.00,2.23,2.58,2.63,-,-,-,-,-
7,P/TBV Ratio,1.86,1.86,1.84,1.96,2.08,2.30,2.59,2.65,-,-,-,-,-
8,P/FCF Ratio,-,-23.60,-,-,-22.63,-16.49,-,-,-,-,-,-,-
9,P/OCF Ratio,57.17,57.17,61.83,-,-88.52,-29.94,-,-,-,-,-,-,-
10,EV/Sales Ratio,1.81,1.43,1.45,1.65,1.78,2.13,2.43,3.06,-,-,-,-,-
11,EV/EBITDA Ratio,42.34,30.59,24.80,27.10,24.78,24.63,29.06,32.87,-,-,-,-,-
12,EV/EBIT Ratio,60.00,41.74,32.55,35.73,-,29.95,35.70,39.21,-,-,-,-,-
13,EV/FCF Ratio,-25.89,-20.39,-,-,-17.57,-13.46,-,-,-,-,-,-,-
14,Debt / Equity Ratio,0.02,0.02,0.02,0.02,0.02,0.02,0.03,0.05,0.23,0.34,-,0.69,-
15,Debt / EBITDA Ratio,0.44,0.24,0.22,0.34,7.88,0.15,0.56,0.59,2.09,1.16,-,2.75,-
16,Debt / FCF Ratio,-,-0.27,-,-,-0.19,-0.12,-,-,-,0.89,-,2.58,-
17,Asset Turnover,1.05,0.96,0.68,0.63,0.75,0.73,0.95,1.03,-,-,-,-,
18,Inventory Turnover,5.64,5.90,5.09,4.13,4.72,5.85,6.06,5.95,4.21,-,-,-,-
19,Quick Ratio,2.09,2.09,2.36,2.97,2.60,2.89,3.63,3.86,1.09,1.04,-,-,-
20,Current Ratio,2.74,2.74,3.27,3.98,3.25,3.51,4.36,4.54,1.69,1.54,-,-,-
21,Return on Equity (ROE),5.41%,8.09%,6.22%,8.20%,8.56%,8.42%,8.97%,10.57%,-,-,-,-,
22,Return on Assets (ROA),3.35%,2.55%,1.70%,-0.54%,4.84%,2.24%,5.01%,2.41%,-,-,-,-,
23,Return on Capital (ROIC),4.51%,3.26%,2.19%,-0.71%,6.11%,2.70%,6.41%,3.52%,-,-,-,-,
24,Return on Capital Employed (ROCE),3.22%,3.65%,4.33%,3.98%,-,5.96%,5.74%,6.73%,16.76%,19.26%,-,-,-
25,Earnings Yield,2.98%,3.79%,4.40%,4.00%,3.76%,2.97%,2.61%,2.67%,-,-,-,-,-
26,FCF Yield,-3.33%,-4.24%,-4.66%,-6.62%,-4.42%,-6.06%,-6.64%,-2.24%,-,-,-,-,-
27,Dividend Yield,1.17%,3.03%,-,-,2.11%,-,-,-,-,-,-,-,-
28,Payout Ratio,61.68%,-,212.14%,1.65%,0.59%,3.81%,102.55%,6.71%,12.65%,19.82%,11.75%,21.32%,-
29,Buyback Yield / Dilution,-8.50%,4.03%,1.32%,-26.13%,-18.60%,-35.52%,-27.09%,-12.19%,-,-,-,-,-
30,Total Shareholder Return,-7.33%,7.07%,1.32%,-26.13%,-16.49%,-35.52%,-27.09%,-12.19%,-,-,-,-,-
