,Fiscal Quarter,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021
,Period Ending,"Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Jan '23 Jan 1, 2023","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Dec '21 Dec 31, 2021"
0,Operating Revenue,1022,880.4,635.42,582.78,661.47,619.46,611.1,450.96,624.27,686.51,526.69,587.74
1,Other Revenue,-0.08,0.08,-,4.5,-,-,-,0.63,-0.21,0.21,-,-
2,Revenue,1022,880.48,635.42,587.28,661.47,619.46,611.1,451.59,624.06,686.72,526.69,587.74
3,Revenue Growth (YoY),54.56%,42.14%,3.98%,30.05%,5.99%,-9.79%,16.03%,-23.16%,-,-,-,-
4,Cost of Revenue,910.8,773.01,554.02,527.17,547.26,520.84,512.99,379.23,521.99,582.89,451.39,562.34
5,Gross Profit,111.55,107.47,81.4,60.11,114.2,98.63,98.11,72.36,102.07,103.83,75.31,25.39
6,"Selling, General & Admin",34.69,33.05,31.07,24.38,25.18,25.34,20.88,18.67,24.59,22.26,15.98,-
7,Research & Development,30.9,34.54,34.46,37.97,30.68,35.98,24.95,27.31,24.31,25.63,19.96,-
8,Other Operating Expenses,-3.21,-2.15,-7.98,3.92,-2.48,0.47,0.03,9.49,-3.89,-1.48,-1.18,-
9,Operating Expenses,59.38,70.04,55.96,68.17,46.02,68.31,46.71,55.44,43.52,45.62,35.03,-
10,Operating Income,52.17,37.44,25.44,-8.06,68.18,30.32,51.4,16.92,58.55,58.21,40.28,25.39
11,Interest Expense,-0.1,-0.33,-0.37,-0.38,-0.39,-0.68,-2.27,-1.56,-3.87,-4.07,-3.97,-
12,Interest & Investment Income,4.96,7.85,4.65,15.08,4.8,4.02,0.82,0.16,0.09,0.07,0.03,-
13,Currency Exchange Gain (Loss),-30.18,30.18,-,8.34,-14.97,14.97,-,14.57,-14.62,14.62,-,-
14,Other Non Operating Income (Expenses),13.44,-17.55,16.93,-8.93,7.73,4.67,-5.37,-26.66,25.59,-0.01,-2.07,1.97
15,EBT Excluding Unusual Items,40.29,57.59,46.65,6.05,65.35,53.3,44.58,3.43,65.75,68.82,34.27,27.36
16,Gain (Loss) on Sale of Investments,1.91,-3.57,-0.66,-7.43,3.54,5.4,-0.76,-1.02,-4.77,-0.79,-1.55,-
17,Gain (Loss) on Sale of Assets,-0.03,-0.04,-0.05,-0.2,0.01,-0.34,0.08,-0.14,-0.1,-0.07,-0.03,-
18,Asset Writedown,-2.53,2.09,-2.09,1.25,-8.33,0.45,-0.45,2.46,-2.46,0.4,-0.4,-
19,Other Unusual Items,-2.22,2.21,0.02,63.39,-,-,-,16.35,-,-,-,-
20,Pretax Income,37.41,58.29,43.87,63.06,60.58,58.81,43.45,21.07,58.43,68.36,32.29,27.36
21,Income Tax Expense,-1.06,1.05,-0.48,5.78,2.37,2.08,2.55,-3.67,1.06,2.51,1.13,0.39
22,Earnings From Continuing Operations,38.47,57.23,44.35,57.28,58.2,56.73,40.91,24.74,57.36,65.86,31.15,26.97
23,Minority Interest in Earnings,-1.47,0.09,-0.48,0.45,-0.12,0.29,0.19,0.56,0.15,-0.41,-0.15,0.34
24,Net Income,37,57.32,43.87,57.73,58.08,57.01,41.1,25.3,57.52,65.44,31,27.31
25,Net Income to Common,37,57.32,43.87,57.73,58.08,57.01,41.1,25.3,57.52,65.44,31,27.31
26,Net Income Growth,-36.29%,0.54%,6.72%,128.15%,0.98%,-12.88%,32.58%,-7.34%,-,-,-,-
27,Shares Outstanding (Basic),373,380,399,361,389,385,316,304,287,303,282,-
28,Shares Outstanding (Diluted),373,380,399,361,389,385,316,304,287,303,282,-
29,Shares Change (YoY),-4.03%,-1.32%,26.13%,18.60%,35.52%,27.09%,12.19%,-,-,-,-,-
30,EPS (Basic),0.10,0.15,0.11,0.16,0.15,0.15,0.13,0.08,0.20,0.22,0.11,-
31,EPS (Diluted),0.10,0.15,0.11,0.16,0.15,0.15,0.13,0.08,0.20,0.22,0.11,-
32,EPS Growth,-33.61%,1.88%,-15.38%,92.36%,-25.49%,-31.45%,18.18%,-,-,-,-,-
33,Free Cash Flow,170.51,-97.85,-393.81,102.2,159.57,-226.25,-286.9,-17.63,70.09,75.32,56.92,148.14
