,Fiscal Quarter,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023
,Period Ending,"Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023"
0,Operating Revenue,520.93,495.88,435.8,486.48,515.03,428.33,431.91
1,Other Revenue,-0.89,0.89,-,1.75,-0.87,0.87,-
2,Revenue,520.04,496.77,435.8,488.23,514.16,429.2,431.91
3,Revenue Growth (YoY),1.14%,15.74%,0.90%,-,-,-,-
4,Cost of Revenue,414.34,421.04,361.25,401.01,416.36,352.11,372.35
5,Gross Profit,105.7,75.73,74.54,87.23,97.8,77.09,59.56
6,"Selling, General & Admin",20.65,19.31,20.54,16.63,17.27,19.68,14.46
7,Research & Development,15.19,13.99,13.84,23.47,16.55,17.98,12.25
8,Other Operating Expenses,-0.26,1.54,-1.24,6.07,-3.47,0.1,-2.78
9,Operating Expenses,49.06,45.39,28.7,67.66,39.46,37.83,23.19
10,Operating Income,56.64,30.34,45.84,19.57,58.35,39.26,36.38
11,Interest Expense,-0.09,-0.36,-0.12,-1.25,-0.28,-0.35,-0.3
12,Interest & Investment Income,1.53,2.87,1.43,3.55,1.1,0.79,0.61
13,Currency Exchange Gain (Loss),-0,0,-,0.14,-0.09,0.09,-
14,Other Non Operating Income (Expenses),-0.25,0.01,-0.16,6.7,-0.21,-0.22,-0.36
15,EBT Excluding Unusual Items,57.83,32.87,46.99,28.71,58.85,39.58,36.33
16,Gain (Loss) on Sale of Assets,-0.04,0,-,-,-0,-,-
17,Asset Writedown,-0.02,0.77,-0.77,1.94,-1.94,0.64,-0.64
18,Other Unusual Items,-0.03,0.06,-,7.87,-0.04,0.04,-
19,Pretax Income,57.74,33.7,46.22,38.52,56.88,40.25,35.69
20,Income Tax Expense,7.25,3.65,4.99,2.9,6.16,3.1,3.93
21,Net Income,50.49,30.05,41.23,35.62,50.71,37.15,31.76
22,Net Income to Common,50.49,30.05,41.23,35.62,50.71,37.15,31.76
23,Net Income Growth,-0.44%,-19.10%,29.81%,-,-,-,-
24,Shares Outstanding (Basic),165,163,147,119,124,120,122
25,Shares Outstanding (Diluted),165,163,147,119,124,120,122
26,Shares Change (YoY),32.25%,35.99%,20.54%,-,-,-,-
27,EPS (Basic),0.31,0.18,0.28,0.30,0.41,0.31,0.26
28,EPS (Diluted),0.31,0.18,0.28,0.30,0.41,0.31,0.26
29,EPS Growth,-24.71%,-40.51%,7.69%,-,-,-,-
30,Free Cash Flow,47.93,25.51,-4.11,8.91,33.38,98.75,-45.52
31,Free Cash Flow Per Share,0.29,0.16,-0.03,0.07,0.27,0.83,-0.37
32,Dividend Per Share,-,-,-,0.580,-,-,-
33,Gross Margin,20.33%,15.24%,17.10%,17.87%,19.02%,17.96%,13.79%
34,Operating Margin,10.89%,6.11%,10.52%,4.01%,11.35%,9.15%,8.42%
35,Profit Margin,9.71%,6.05%,9.46%,7.30%,9.86%,8.66%,7.35%
36,Free Cash Flow Margin,9.22%,5.13%,-0.94%,1.82%,6.49%,23.01%,-10.54%
37,EBITDA,57.9,31.84,47.1,20.83,60.55,41.5,38.58
38,EBITDA Margin,11.13%,6.41%,10.81%,4.27%,11.78%,9.67%,8.93%
39,D&A For EBITDA,1.26,1.49,1.26,1.26,2.2,2.23,2.2
40,EBIT,56.64,30.34,45.84,19.57,58.35,39.26,36.38
41,EBIT Margin,10.89%,6.11%,10.52%,4.01%,11.35%,9.15%,8.42%
42,Effective Tax Rate,12.56%,10.82%,10.79%,7.53%,10.84%,7.71%,11.02%
43,Revenue as Reported,520.04,496.77,435.8,1864,514.16,429.2,431.91
