,Fiscal Quarter,Current,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023
,Period Ending,"Mar '25 Mar 13, 2025","Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023"
0,Market Capitalization,7013,5371,4906,5824,-,-,-,-
1,Enterprise Value,5955,4361,3809,5579,-,-,-,-
2,Last Close Price,43.23,33.11,30.24,35.28,-,-,-,-
3,PE Ratio,40.74,34.13,31.12,35.36,-,-,-,-
4,PS Ratio,3.30,2.77,2.54,3.12,-,-,-,-
5,PB Ratio,4.62,3.54,3.34,3.80,-,-,-,-
6,P/TBV Ratio,3.75,3.75,3.48,3.95,-,-,-,-
7,P/FCF Ratio,89.64,68.65,77.03,-,-,-,-,-
8,P/OCF Ratio,45.07,45.07,57.02,-,-,-,-,-
9,EV/Sales Ratio,3.07,2.25,1.97,2.99,-,-,-,-
10,EV/EBITDA Ratio,35.71,27.66,23.76,32.83,-,-,-,-
11,EV/EBIT Ratio,37.03,28.61,24.72,34.23,-,-,-,-
12,EV/FCF Ratio,76.12,55.73,59.81,-,-,-,-,-
13,Debt / Equity Ratio,0.01,0.01,0.01,0.00,0.03,-,0.04,0.05
14,Debt / EBITDA Ratio,0.06,0.04,0.07,0.03,0.24,-,0.14,0.18
15,Debt / FCF Ratio,0.13,0.13,0.16,-,0.25,-,0.44,-
16,Asset Turnover,0.49,0.46,-,0.56,-,-,-,
17,Inventory Turnover,-,0.99,1.03,-,0.90,-,-,-
18,Quick Ratio,0.73,0.73,0.74,0.74,0.41,-,0.43,-
19,Current Ratio,1.48,1.48,1.45,1.47,1.17,-,1.14,-
20,Return on Equity (ROE),13.52%,8.01%,-,20.58%,-,26.01%,-,
21,Return on Assets (ROA),3.35%,1.77%,-,1.40%,-,-,-,
22,Return on Capital (ROIC),9.42%,5.03%,-,6.95%,-,16.44%,-,
23,Return on Capital Employed (ROCE),10.55%,9.99%,10.45%,10.59%,21.90%,-,12.21%,-
24,Earnings Yield,2.24%,2.93%,3.21%,2.83%,-,-,-,-
25,FCF Yield,1.12%,1.46%,1.30%,2.35%,-,-,-,-
26,Payout Ratio,59.99%,1.55%,311.16%,-,0.36%,0.28%,0.39%,0.44%
27,Buyback Yield / Dilution,-21.84%,-32.25%,-35.99%,-20.54%,-,-,-,-
28,Total Shareholder Return,-20.55%,-32.25%,-35.99%,-20.54%,-,-,-,-
