,Fiscal Quarter,Q4 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021,Q4 2020,Q3 2020,Q2 2020,Q1 2020,Q4 2019,Q3 2019,Q2 2019,+20 Quarters
,Period Ending,"Dec '24 Dec 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Dec '22 Dec 31, 2022","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Dec '21 Dec 31, 2021","Sep '21 Sep 30, 2021","Jun '21 Jun 30, 2021","Mar '21 Mar 31, 2021","Dec '20 Dec 31, 2020","Sep '20 Sep 30, 2020","Jun '20 Jun 30, 2020","Mar '20 Mar 31, 2020","Dec '19 Dec 31, 2019","Sep '19 Sep 30, 2019","Jun '19 Jun 30, 2019",+20 Quarters
0,Cash & Equivalents,2664,17142,16366,22802,35724,53759,43108,10074,-,7851,15313,12090,9883,10176,10239,17341,28498,34948,6576,-,Upgrade
1,Short-Term Investments,121200,65100,59000,58500,62200,60200,40000,71400,-,57200,51500,43137,30337,21000,19500,17500,11000,-,-,-,Upgrade
2,Cash & Short-Term Investments,123864,82242,75366,81302,97924,113959,83108,81474,65051,65051,66813,55227,40220,31176,29739,34841,39498,34948,6576,-,Upgrade
3,Cash Growth,26.49%,-27.83%,-9.32%,-0.21%,50.53%,75.18%,24.39%,47.53%,61.74%,108.66%,124.67%,58.51%,1.83%,-10.79%,352.22%,-,216.50%,143.38%,28.30%,-,Upgrade
4,Accounts Receivable,46.37,59438,2656,2600,2120,2805,3811,7514,-,2669,3760,3384,2238,3952,2887,2405,2445,1596,2046,-,Upgrade
5,Other Receivables,2021,1226,2691,1891,3039,1376,1155,1750,-,1655,1224,1309,1151,973.83,1017,1044,775.94,103.58,2144,-,Upgrade
6,Receivables,2067,60664,5347,4492,5159,4181,4966,9264,-,4324,4984,4694,3389,4926,3904,3449,3221,1699,4189,-,Upgrade
7,Inventory,83.46,137.02,3506,2086,3798,6051,9166,8020,-,5221,4346,5170,6215,4299,4000,3989,5011,2855,6854,-,Upgrade
8,Prepaid Expenses,-,365.93,421.8,264.09,269.05,1336,3272,4812,-,602.48,680.34,575.17,570.36,490.73,575.22,578.71,582.12,798.13,952.21,-,Upgrade
9,Other Current Assets,10883,11615,12841,15543,10519,16630,7479,6725,-,8050,4706,3517,3328,3379,5280,1493,1186,747.07,3239,-,Upgrade
10,Total Current Assets,136897,155024,97482,103686,117670,142157,107992,110296,-,83249,81529,69182,53722,44272,43498,44351,49499,41047,21812,-,Upgrade
11,"Property, Plant & Equipment",3919,34453,42731,33980,34848,24060,36363,39061,-,46144,48512,45591,48744,51897,58373,58204,61357,64510,96147,-,Upgrade
12,Other Intangible Assets,7255,7255,7259,7264,7269,7273,7278,7282,-,7291,7296,7301,7305,7310,7255,7255,7255,7255,7255,-,Upgrade
13,Long-Term Deferred Tax Assets,-,-,498.08,498.08,498.08,498.08,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Upgrade
14,Other Long-Term Assets,30197,778.31,129.98,6.76,10.54,94.32,98.1,101.89,-,402.48,1295,2147,3026,3905,95.5,744.24,1717,2690,3664,-,Upgrade
15,Total Assets,178268,197511,148100,145435,160294,174082,151731,156741,-,137086,138633,124220,112797,107384,109221,110555,119829,115504,128877,-,Upgrade
16,Accounts Payable,520.53,4983,6322,5185,7741,7395,13011,15342,-,9020,10694,8722,11420,7730,9729,6117,9674,5095,7997,-,Upgrade
17,Accrued Expenses,724.56,1483,1648,1496,1220,4898,5515,4982,-,5959,5512,3518,2004,2008,1639,1923,1689,2225,1664,-,Upgrade
18,Short-Term Debt,-,-,-,-,-,-,11590,15087,-,4773,9892,8825,-,-,-,-,4600,4600,4600,-,Upgrade
19,Current Income Taxes Payable,188.73,9601,5.35,62.82,-,9189,1618,1447,-,168.19,-,6.51,43.49,44.11,39.61,33.36,34.84,19.49,17.13,-,Upgrade
20,Current Unearned Revenue,188.18,-,-,-,-,-,-,2260,-,-,-,-,-,-,-,-,-,-,-,-,Upgrade
21,Other Current Liabilities,98.16,90.91,2050,1638,591.93,104.52,2399,1720,-,4400,3674,2949,2169,928.42,3995,2989,2305,1571,11474,-,Upgrade
22,Total Current Liabilities,1720,16157,10024,8382,9552,21588,34132,40838,-,24320,29772,24020,15637,10710,15403,11062,18303,13511,25752,-,Upgrade
23,Long-Term Debt,780.89,-,-,-,-,-,-,-,-,-,-,-,-,-,-,6000,7355,8505,9655,-,Upgrade
24,Other Long-Term Liabilities,-,-,-,-,-,-,-,-,-,-,-,-,-,1019,-,-,-,-,-,-,Upgrade
25,Total Liabilities,2501,16157,10024,8382,9552,21588,34132,40838,-,24320,29772,24020,15637,11729,15403,17062,25658,22016,35407,-,Upgrade
26,Common Stock,86000,86000,86000,86000,86000,86000,86000,86000,-,86000,86000,86000,86000,86000,86000,86000,86000,86000,86000,-,Upgrade
27,Additional Paid-In Capital,5008,5008,5008,5008,5008,5008,5008,5008,-,5008,5008,5008,5008,5008,5008,5008,5008,5008,5008,-,Upgrade
28,Retained Earnings,84759,90345,47068,46045,59734,61486,26591,24895,-,21758,17853,9192,6152,4647,2811,2485,3163,2479,2462,-,Upgrade
29,Shareholders' Equity,175767,181353,138076,137053,150742,152494,117599,115903,112766,112766,108861,100200,97160,95655,93819,93493,94171,93487,93470,-,Upgrade
30,Total Liabilities & Equity,178268,197511,148100,145435,160294,174082,151731,156741,-,137086,138633,124220,112797,107384,109221,110555,119829,115504,128877,-,Upgrade
31,Total Debt,780.89,-,-,-,-,-,11590,15087,4773,4773,9892,8825,-,-,-,6000,11955,13105,14255,-,Upgrade
32,Net Cash (Debt),123083,82242,75366,81302,97924,113959,71518,66387,60278,60278,56921,46401,40220,31176,29739,28841,27543,21843,-7679,-,Upgrade
33,Net Cash Growth,25.69%,-27.83%,5.38%,22.47%,62.45%,89.05%,25.64%,43.07%,49.87%,93.35%,91.40%,60.89%,46.02%,42.73%,-,-,-,-,-,-,Upgrade
34,Net Cash Per Share,14387.76,9562.55,8252.02,9446.14,11400.12,12455.33,7802.42,7255.05,6592.30,6589.97,6223.78,5064.48,4383.23,3412.85,3283.51,3359.19,3183.45,2592.73,-892.99,-,Upgrade
35,Filing Date Shares Outstanding,8.6,8.6,8.6,8.6,8.6,9.15,8.6,8.6,9.14,8.6,8.6,8.6,9.18,9.14,9.06,8.59,8.65,8.42,8.6,8.61,Upgrade
36,Total Common Shares Outstanding,8.6,8.6,8.6,8.6,8.6,9.15,8.6,8.6,9.14,8.6,8.6,8.6,9.18,9.14,9.06,8.59,8.65,8.42,8.6,8.61,Upgrade
37,Working Capital,135177,138867,87458,95304,108117,120569,73860,69458,-,58929,51757,45162,38085,33562,28095,33289,31196,27536,-3940,-,Upgrade
38,Book Value Per Share,20438.02,21087.61,16055.36,15936.42,17528.14,16667.17,13674.25,13477.07,13112.38,13112.38,12658.22,11651.12,10588.71,10471.21,10358.65,10889.31,10884.26,11096.96,10869.97,-,Upgrade
39,Tangible Book Value,168512,174098,130817,129789,143474,145221,110321,108621,105475,105475,101565,92899,89854,88345,86563,86237,86916,86232,86215,-,Upgrade
40,Tangible Book Value Per Share,19594.38,20243.97,15211.25,15091.78,16682.97,15872.24,12828.01,12630.30,12264.54,12264.54,11809.85,10802.21,9792.58,9671.02,9557.58,10044.27,10045.69,10235.75,10026.23,-,Upgrade
41,Construction In Progress,-,30122,25838,15248,14276,1649,1239,589.97,-,978.84,-,-,-,-,3322,-,-,-,-,-,Upgrade
