,Fiscal Quarter,Q4 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021,Q4 2020,Q3 2020,Q2 2020,Q1 2020,Q4 2019,Q3 2019,Q2 2019,+20 Quarters
,Period Ending,"Dec '24 Dec 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Dec '22 Dec 31, 2022","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Dec '21 Dec 31, 2021","Sep '21 Sep 30, 2021","Jun '21 Jun 30, 2021","Mar '21 Mar 31, 2021","Dec '20 Dec 31, 2020","Sep '20 Sep 30, 2020","Jun '20 Jun 30, 2020","Mar '20 Mar 31, 2020","Dec '19 Dec 31, 2019","Sep '19 Sep 30, 2019","Jun '19 Jun 30, 2019",+20 Quarters
0,Revenue,886.41,14474,19189,16196,15587,32349,45285,54115,35697,38131,43615,33811,29103,26927,21359,23821,30645,37180,31602,34948,Upgrade
1,Revenue Growth (YoY),-94.31%,-55.26%,-57.63%,-70.07%,-56.34%,-15.16%,3.83%,60.05%,22.66%,41.61%,104.20%,41.94%,-5.03%,-27.58%,-32.41%,-31.84%,0.64%,-17.43%,-27.80%,-25.04%,Upgrade
2,Cost of Revenue,501.46,15571,17348,18254,17438,30993,40707,42859,30068,32794,32651,29488,25779,24068,20546,23330,28190,32392,36475,36612,Upgrade
3,Gross Profit,384.94,-1097,1841,-2059,-1851,1356,4578,11257,5629,5337,10964,4323,3325,2859,813.03,491.14,2455,4788,-4873,-1664,Upgrade
4,"Selling, General & Admin",1158,2799,2298,1760,1436,2213,2732,2459,1741,3650,2633,2094,2050,1825,1500,1776,1934,8659,1728,1911,Upgrade
5,Operating Expenses,1158,2799,2298,1760,1436,2213,2732,2459,1741,3650,2633,2094,2050,1825,1500,1776,1934,8659,1728,1911,Upgrade
6,Operating Income,-773.47,-3895,-456.62,-3819,-3287,-856.82,1846,8797,3888,1688,8331,2229,1275,1034,-687.3,-1285,520.57,-3871,-6601,-3575,Upgrade
7,Interest Expense,-,-,-,-,-,-58.95,-70.23,-84.48,-30.84,-41.38,-46.6,-16.19,-,-,-168.33,-275.07,-283.49,-378.72,-342.2,-425.87,Upgrade
8,Interest & Investment Income,1638,1432,1597,1468,1412,1992,752.9,1749,426.56,1586,414.26,1010,198.06,510.96,424.49,569.45,397.67,100.25,108.28,137.55,Upgrade
9,Other Non Operating Income (Expenses),-,55772,-117.58,-146.86,122.55,42552,-227.26,-379.67,-50.02,673.86,-37.13,-52.63,32.04,291.15,757.2,312.29,48.77,4166,-13829,797.22,Upgrade
10,EBT Excluding Unusual Items,864.63,53309,1023,-2498,-1752,43629,2301,10083,4234,3906,8661,3170,1505,1836,326.05,-678.27,683.51,16.85,-20663,-3066,Upgrade
11,Pretax Income,864.63,53309,1023,-2498,-1752,43629,2301,10083,4234,3906,8661,3170,1505,1836,326.05,-678.27,683.51,16.85,-20663,-3066,Upgrade
12,Income Tax Expense,188.81,10031,-,23.69,-,8733,605.52,1545,-,-,-,-,-,-,-,-,-,-,-,-,Upgrade
13,Net Income,675.82,43277,1023,-2522,-1752,34896,1696,8537,4234,3906,8661,3170,1505,1836,326.05,-678.27,683.51,16.85,-20663,-3066,Upgrade
14,Net Income to Common,675.82,43277,1023,-2522,-1752,34896,1696,8537,4234,3906,8661,3170,1505,1836,326.05,-678.27,683.51,16.85,-20663,-3066,Upgrade
15,Net Income Growth,-,24.02%,-39.68%,-,-,793.45%,-80.42%,169.31%,181.33%,112.72%,2556.33%,-,120.16%,10797.50%,-,-,-,-97.13%,-,-,Upgrade
16,Shares Outstanding (Basic),9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,8,9,9,Upgrade
17,Shares Outstanding (Diluted),9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,8,9,9,Upgrade
18,Shares Change (YoY),-0.41%,-6.00%,-0.36%,-5.94%,-6.06%,0.03%,0.22%,-0.13%,-0.35%,0.13%,0.98%,6.71%,6.05%,8.43%,5.33%,-0.30%,-5.34%,-8.04%,-7.56%,-5.95%,Upgrade
19,EPS (Basic),79.00,5032.00,112.00,-293.00,-204.00,3814.00,185.00,933.00,463.00,427.00,947.00,346.00,164.00,201.00,36.00,-79.00,79.00,2.00,-2403.00,-356.00,Upgrade
20,EPS (Diluted),79.00,5032.00,112.00,-293.00,-204.00,3814.00,185.00,933.00,463.00,427.00,947.00,346.00,164.00,201.00,36.00,-79.00,79.00,2.00,-2403.00,-356.00,Upgrade
21,EPS Growth,-,31.93%,-39.46%,-,-,793.21%,-80.46%,169.65%,182.32%,112.44%,2530.56%,-,107.59%,9950.00%,-,-,-,-96.88%,-,-,Upgrade
22,Free Cash Flow,-,-6918,-6166,-8716,-16106,-9861,4006,-,-2707,2422,9929,5620,8936,1178,426.92,1126,5284,3020,-,2620,Upgrade
23,Free Cash Flow Per Share,-,-804.35,-675.18,-1012.68,-1875.02,-1077.75,437.07,-,-296.09,264.77,1085.60,613.35,973.90,129.00,47.14,131.14,610.68,358.52,-,304.18,Upgrade
24,Dividend Per Share,-,-,-,-,-,-,-,-,-,1000.000,-,-,-,-,-,-,-,-,-,-,Upgrade
25,Gross Margin,43.43%,-7.58%,9.59%,-12.71%,-11.87%,4.19%,10.11%,20.80%,15.77%,14.00%,25.14%,12.79%,11.42%,10.62%,3.81%,2.06%,8.01%,12.88%,-15.42%,-4.76%,Upgrade
26,Operating Margin,-87.26%,-26.91%,-2.38%,-23.58%,-21.09%,-2.65%,4.08%,16.26%,10.89%,4.43%,19.10%,6.59%,4.38%,3.84%,-3.22%,-5.39%,1.70%,-10.41%,-20.89%,-10.23%,Upgrade
27,Profit Margin,76.24%,298.99%,5.33%,-15.57%,-11.24%,107.87%,3.74%,15.78%,11.86%,10.24%,19.86%,9.38%,5.17%,6.82%,1.53%,-2.85%,2.23%,0.05%,-65.39%,-8.77%,Upgrade
28,Free Cash Flow Margin,-,-47.79%,-32.14%,-53.82%,-103.33%,-30.48%,8.85%,-,-7.58%,6.35%,22.76%,16.62%,30.71%,4.38%,2.00%,4.73%,17.24%,8.12%,-,7.50%,Upgrade
29,EBITDA,-517.19,-2052,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Upgrade
30,EBITDA Margin,-58.35%,-14.17%,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Upgrade
31,D&A For EBITDA,256.28,1844,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Upgrade
32,EBIT,-773.47,-3895,-456.62,-3819,-3287,-856.82,1846,8797,3888,1688,8331,2229,1275,1034,-687.3,-1285,520.57,-3871,-6601,-3575,Upgrade
33,EBIT Margin,-87.26%,-26.91%,-2.38%,-23.58%,-21.09%,-2.65%,4.08%,16.26%,10.89%,4.43%,19.10%,6.59%,4.38%,3.84%,-3.22%,-5.39%,1.70%,-10.41%,-20.89%,-10.23%,Upgrade
34,Effective Tax Rate,21.84%,18.82%,-,-,-,20.02%,26.31%,15.33%,-,-,-,-,-,-,-,-,-,-,-,-,Upgrade
