,Fiscal Quarter,H1 2024,H2 2023,H1 2023,H2 2022,H1 2022,H2 2021,H1 2021,H2 2020,H1 2020,H2 2019,+2 Quarters
,Period Ending,"Jun '24 Jun 30, 2024","Dec '23 Dec 31, 2023","Jun '23 Jun 30, 2023","Dec '22 Dec 31, 2022","Jun '22 Jun 30, 2022","Dec '21 Dec 31, 2021","Jun '21 Jun 30, 2021","Dec '20 Dec 31, 2020","Jun '20 Jun 30, 2020","Dec '19 Dec 31, 2019",+2 Quarters
0,Operating Revenue,0.6,0.6,0.84,0.67,1.06,0.25,0.11,-0.07,0.07,0.19,Upgrade
1,Other Revenue,0.04,-23.43,-0.17,-47.32,0.27,0.23,2.8,1.02,1.72,-0.02,Upgrade
2,Revenue,0.64,-22.83,0.68,-46.65,1.33,0.48,2.91,0.95,1.79,0.17,Upgrade
3,Revenue Growth (YoY),-5.78%,-,-49.17%,-,-54.36%,-49.15%,62.30%,443.68%,-,-,Upgrade
4,Cost of Revenue,-,6.33,-,16.72,-,8.22,-,11.29,-,-,Upgrade
5,Gross Profit,0.64,-29.15,0.68,-63.37,1.33,-7.74,2.91,-10.34,1.79,0.17,Upgrade
6,Other Operating Expenses,3.12,-3.82,3.82,-13.56,13.49,-5.85,5.85,-7.82,7.67,5.07,Upgrade
7,Operating Expenses,3.12,-3.82,3.82,-13.56,13.49,-5.85,5.85,-7.82,7.67,5.07,Upgrade
8,Operating Income,-2.48,-25.33,-3.15,-49.81,-12.16,-1.89,-2.94,-2.52,-5.88,-4.89,Upgrade
9,Interest Expense,-,-,-,-,-,-0,-0.02,-0.02,-0,-,Upgrade
10,Interest & Investment Income,-,1.96,-,-,-,-,-,-,-,-,Upgrade
11,Other Non Operating Income (Expenses),-,3.89,-,-8.16,-,-3.66,-,-,-,-,Upgrade
12,EBT Excluding Unusual Items,-2.48,-19.48,-3.15,-57.97,-12.16,-5.55,-2.96,-2.55,-5.88,-4.89,Upgrade
13,Gain (Loss) on Sale of Investments,-43.44,38.03,-30.19,56.1,-30.05,-25.82,11.68,-14.08,-19.86,-56.11,Upgrade
14,Pretax Income,-45.92,18.55,-33.33,-1.88,-42.21,-31.36,8.72,-16.62,-25.75,-61,Upgrade
15,Net Income,-45.92,18.55,-33.33,-1.88,-42.21,-31.36,8.72,-16.62,-25.75,-61,Upgrade
16,Net Income to Common,-45.92,18.55,-33.33,-1.88,-42.21,-31.36,8.72,-16.62,-25.75,-61,Upgrade
17,Shares Outstanding (Basic),285,281,281,281,277,275,255,228,192,186,Upgrade
18,Shares Outstanding (Diluted),285,281,281,281,277,275,259,228,192,186,Upgrade
19,Shares Change (YoY),1.47%,-0.03%,1.47%,2.13%,7.08%,20.66%,35.10%,22.56%,2.86%,0.00%,Upgrade
20,EPS (Basic),-0.16,0.07,-0.12,-0.01,-0.15,-0.11,0.03,-0.07,-0.13,-0.33,Upgrade
21,EPS (Diluted),-0.16,0.07,-0.12,-0.01,-0.15,-0.11,0.03,-0.07,-0.13,-0.33,Upgrade
22,Free Cash Flow,-2.62,1.14,-6.59,-2.61,8.42,-12.35,5.23,-3.5,-1.4,-0.16,Upgrade
23,Free Cash Flow Per Share,-0.01,0.00,-0.02,-0.01,0.03,-0.04,0.02,-0.02,-0.01,-0.00,Upgrade
24,Operating Margin,-390.57%,-,-466.22%,-,-915.51%,-392.10%,-101.00%,-266.81%,-327.83%,-2810.92%,Upgrade
25,Profit Margin,-7220.44%,-,-4938.37%,-,-3178.09%,-6520.37%,299.62%,-1757.19%,-1435.86%,-35058.05%,Upgrade
26,Free Cash Flow Margin,-411.16%,-,-975.70%,-,633.96%,-2567.78%,179.73%,-369.66%,-78.08%,-92.53%,Upgrade
27,EBIT,-2.48,-25.33,-3.15,-49.81,-12.16,-1.89,-2.94,-2.52,-5.88,-4.89,Upgrade
