,Fiscal Quarter,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021
,Period Ending,"Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Jan '23 Jan 1, 2023","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Jan '22 Jan 1, 2022","Sep '21 Sep 30, 2021","Jun '21 Jun 30, 2021","Mar '21 Mar 31, 2021"
0,Cash & Equivalents,1856,2097,2393,2495,2528,2620,2880,2944,2769,200.57,-,172.05,-,-,-
1,Trading Asset Securities,274,70,-,-,-,-,-,-,80,-,-,-,-,-,-
2,Cash & Short-Term Investments,2130,2167,2393,2495,2528,2620,2880,2944,2849,200.57,172.05,172.05,-,-,219.86
3,Cash Growth,-15.74%,-17.27%,-16.91%,-15.25%,-11.27%,1206.12%,1573.90%,1610.99%,-,-,-21.75%,-,-,-,-
4,Accounts Receivable,271.61,316.8,282.03,304.46,144.41,95.8,58.7,176.31,99.39,54.92,-,112.98,-,-,-
5,Other Receivables,1.19,1.21,1.12,1.77,1.75,1.56,0.6,0.35,11.32,0.33,-,0.1,-,-,-
6,Receivables,272.79,318.01,283.15,306.24,146.16,97.36,59.29,176.66,110.71,55.26,-,113.08,-,-,-
7,Inventory,303.36,299.65,303.77,297.76,332.1,324.68,248.15,137.89,128.65,131.35,-,59.9,-,-,-
8,Prepaid Expenses,-,-,-,-,-,-,-,-,-,4.59,-,3.47,-,-,-
9,Other Current Assets,69.55,68.06,66.72,55.49,71.9,65.44,57.41,20.16,26.46,23.96,-,9.63,-,-,-
10,Total Current Assets,2776,2853,3047,3154,3078,3107,3245,3278,3114,415.72,-,358.13,-,-,-
11,"Property, Plant & Equipment",284.27,267.81,258.41,270.12,238.5,222.19,212.34,81.05,77.04,78.51,-,54.88,-,-,-
12,Long-Term Investments,60.55,83.33,53.98,44.79,49.59,44.88,15,-,-,-,-,-,-,-,-
13,Goodwill,32.88,32.88,32.88,32.88,33.3,-,-,-,-,-,-,-,-,-,-
14,Other Intangible Assets,9.29,9.37,9.45,9.53,9.11,9.18,1.01,1.04,1.64,1,-,0.05,-,-,-
15,Long-Term Accounts Receivable,-,-,-,1.04,-,0.46,-,0.53,-,0.55,-,0.58,-,-,-
16,Long-Term Deferred Tax Assets,50.01,38.57,27.31,16.98,10.99,4.96,3.19,1,2.58,3.25,-,0.75,-,-,-
17,Long-Term Deferred Charges,0.76,0.94,1.13,1.31,1.46,1.28,2.16,2.95,3.54,3.48,-,2.42,-,-,-
18,Other Long-Term Assets,51.03,17.7,33.54,14.49,6.54,8.77,4.2,147.15,27.53,25.47,-,15.02,-,-,-
19,Total Assets,3264,3304,3463,3545,3427,3399,3483,3512,3227,527.99,-,431.82,-,-,-
20,Accounts Payable,40.39,33.44,20.6,47.68,10.74,23.17,45.94,44.51,4.58,63.39,-,20.04,-,-,-
21,Accrued Expenses,41.8,37.21,28.4,71.39,40.2,32.03,18.65,56.17,20.86,17.09,-,26.1,-,-,-
22,Short-Term Debt,-,-,2,-,10,20,-,-,-,-,-,-,-,-,-
23,Current Portion of Long-Term Debt,7.41,5.14,10.28,5.05,-,-,-,-,-,-,-,-,-,-,-
24,Current Portion of Leases,-,5.15,-,7.56,7.45,5.16,4.55,6.22,4.94,5.76,-,3.62,-,-,-
25,Current Income Taxes Payable,4.61,0.85,3.78,-,10.08,-,6.47,7.4,4.34,-,-,4.38,-,-,-
26,Current Unearned Revenue,45.68,57.68,73.29,73.74,92.4,108.76,143.79,139.71,80.54,61.33,-,6.05,-,-,-
27,Other Current Liabilities,1.64,1.46,18.92,21.41,18.45,1.11,0.6,1.38,10.94,0.26,-,0.77,-,-,-
28,Total Current Liabilities,141.52,140.93,157.28,226.83,189.32,190.23,220.01,255.4,126.19,147.82,-,60.96,-,-,-
29,Long-Term Debt,53.29,53.28,55.74,55.75,60.79,60.75,60.75,60.75,-,-,-,-,-,-,-
30,Long-Term Leases,1.66,2.1,2.65,3.34,3.88,8.34,4.76,6.38,3.1,3.32,-,1.74,-,-,-
31,Long-Term Unearned Revenue,0.73,1.05,1.5,1.95,2.32,2.84,3.37,3.91,4.44,4.97,-,6.02,-,-,-
32,Long-Term Deferred Tax Liabilities,-,0,0,-,0.2,0.06,0.02,0.03,-,-,-,-,-,-,-
33,Total Liabilities,197.21,197.37,217.17,287.86,256.51,262.23,288.91,326.47,133.73,156.11,-,68.72,-,-,-
