,Fiscal Quarter,Current,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021
,Period Ending,"Mar '25 Mar 11, 2025","Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Jan '23 Jan 1, 2023","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Jan '22 Jan 1, 2022","Sep '21 Sep 30, 2021","Jun '21 Jun 30, 2021","Mar '21 Mar 31, 2021"
0,Market Capitalization,10704,9807,8224,10978,14946,15872,16530,21820,17806,20996,-,-,-,-,-,-
1,Market Cap Growth,-38.21%,-38.21%,-50.25%,-49.69%,-16.06%,-24.40%,-,-,-,-,-,-,-,-,-,-
2,Enterprise Value,8643,7711,5906,8534,12502,13347,13720,18950,14965,20805,-,-,-,-,-,-
3,Last Close Price,53.95,49.50,41.12,54.40,74.06,78.65,81.91,107.68,87.87,103.62,-,-,-,-,-,-
4,PE Ratio,126.66,114.74,75.80,-,116.04,113.80,114.32,157.04,145.57,292.89,-,-,-,-,-,-
5,Forward PE,83.00,66.44,40.71,41.56,63.06,71.73,83.91,110.76,117.02,162.76,-,-,-,-,-,-
6,PS Ratio,21.19,19.27,15.75,21.97,31.29,36.47,40.79,59.99,50.07,80.53,-,-,-,-,-,-
7,PB Ratio,3.44,3.20,2.65,3.38,4.59,5.01,5.27,6.83,5.59,6.79,-,-,-,-,-,-
8,P/TBV Ratio,3.25,3.25,2.69,3.43,4.65,5.08,5.29,6.83,5.59,6.79,-,-,-,-,-,-
9,P/FCF Ratio,-,-93.99,-,-,-,-,-,-,607.06,-,-,-,-,-,-,-
10,P/OCF Ratio,-,-322.19,-77.85,-,-70.42,-,-,-,89.47,-,-,-,-,-,-,-
11,EV/Sales Ratio,16.98,15.15,11.31,17.08,26.18,30.66,33.85,52.09,42.08,79.80,-,-,-,-,-,-
12,EV/EBITDA Ratio,-,-,860.08,-,387.98,247.28,-,-,185.49,418.23,-,-,-,-,-,-
13,EV/EBIT Ratio,-,-,-,-,814.36,350.16,-,-,211.19,491.27,-,-,-,-,-,-
14,EV/FCF Ratio,-82.83,-73.91,-,-,-,-,-,-,510.21,-,-,-,-,-,-,-
15,Debt / Equity Ratio,0.02,0.02,0.02,0.02,0.02,0.03,0.03,0.02,0.02,0.00,0.02,0.01,0.01,-,-,-
16,Debt / EBITDA Ratio,-,-,1.86,-,0.39,1.83,12.25,-,0.28,0.10,0.13,-,0.04,-,-,-
17,Debt / FCF Ratio,-,-0.60,-,-,-,-,-,-,2.50,-,-0.98,-0.14,-,-,-,-
18,Asset Turnover,0.14,0.15,0.05,0.25,0.15,0.12,0.03,0.21,0.21,-,-,-,-,-,-,
19,Inventory Turnover,0.61,0.63,0.60,0.18,1.12,0.65,0.64,0.05,1.62,1.04,-,-,-,-,-,-
20,Quick Ratio,16.98,16.98,17.63,17.01,12.35,14.12,14.28,13.36,12.22,23.45,1.73,-,4.68,-,-,-
21,Current Ratio,19.61,19.61,20.24,19.37,13.91,16.26,16.33,14.75,12.84,24.68,2.81,-,5.88,-,-,-
22,Return on Equity (ROE),0.73%,3.42%,-2.66%,9.79%,3.58%,2.38%,0.51%,11.27%,7.69%,14.32%,-13.87%,-,-,-,-,
23,Return on Assets (ROA),-0.84%,-0.18%,-3.78%,2.42%,0.53%,-0.41%,-1.43%,4.19%,2.47%,-,-,-,-,-,-,
24,Return on Capital (ROIC),-0.87%,-0.19%,-3.99%,2.56%,0.56%,-0.44%,-1.53%,4.44%,2.66%,7.89%,-10.85%,-,-,-,-,
25,Return on Capital Employed (ROCE),-,-,-,-,0.46%,1.18%,-,-,2.18%,1.37%,15.35%,-,13.83%,-,-,-
26,Earnings Yield,0.80%,0.87%,1.32%,0.93%,0.86%,0.88%,0.87%,0.64%,0.69%,0.34%,-,-,-,-,-,-
27,FCF Yield,-0.97%,-1.06%,-2.25%,-3.11%,-1.98%,-1.49%,-1.35%,-0.10%,0.16%,-0.16%,-,-,-,-,-,-
28,Dividend Yield,0.80%,-,-,-,0.59%,-,-,-,0.46%,-,-,-,-,-,-,-
29,Payout Ratio,105.28%,21.76%,344.85%,-,0.92%,0.73%,427.82%,9.95%,-,-,-,-,-,-,-,-
30,Buyback Yield / Dilution,0.10%,0.83%,3.64%,-3.26%,-0.73%,-20.15%,-38.82%,-28.13%,-29.47%,-11.06%,4.72%,-4.87%,-,-,-,-
31,Total Shareholder Return,0.90%,0.83%,3.64%,-3.26%,-0.13%,-20.15%,-38.82%,-28.13%,-29.02%,-11.06%,4.72%,-4.87%,-,-,-,-
