,Fiscal Quarter,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021
,Period Ending,"Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Jan '23 Jan 1, 2023","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Jan '22 Jan 1, 2022","Sep '21 Sep 30, 2021","Jun '21 Jun 30, 2021","Mar '21 Mar 31, 2021"
0,Operating Revenue,115.66,127.76,43.9,221.51,128.66,105.49,21.88,179.22,98.68,63.98,13.73,84.33,68.5,22.65,22.65
1,Other Revenue,-0.11,0.11,-,0.07,-,-,-,-,-,-,-,-,-,-,-
2,Revenue,115.55,127.87,43.9,221.58,128.66,105.49,21.88,179.22,98.68,63.98,13.73,84.33,68.5,22.65,22.65
3,Revenue Growth (YoY),-10.19%,21.21%,100.65%,23.64%,30.39%,64.88%,59.41%,112.53%,44.05%,182.47%,-39.40%,-,-,-,-
4,Cost of Revenue,47.62,45.46,13.77,88.48,53.14,45.5,2.5,53.99,33.93,22.54,4.13,19.7,13.54,6.69,6.69
5,Gross Profit,67.93,82.41,30.14,133.1,75.53,59.99,19.39,125.22,64.74,41.44,9.6,64.63,54.96,15.96,15.96
6,"Selling, General & Admin",18.54,22.72,21.06,37.85,15.33,17.71,13.73,20.53,16.55,14.36,9.01,10.55,8.23,10.26,10.26
7,Research & Development,72.34,57.11,71.73,53.57,56.07,48.34,41.66,40.4,33.23,22.35,22.72,16.82,18.68,14.08,14.08
8,Other Operating Expenses,-9.65,0.86,-12.03,5.99,-2.99,-2.1,-14.39,6.03,-4,-7.36,-5.34,8.78,-7.02,-2.62,-2.62
9,Operating Expenses,78.92,84.85,83.13,99.34,68.23,65.69,39.38,68.7,46.23,29.62,25.6,36.62,20.44,21.58,21.58
10,Operating Income,-11,-2.44,-53,33.76,7.29,-5.7,-20,56.52,18.51,11.82,-16,28.01,34.52,-5.62,-5.62
11,Interest Expense,-0.47,-0.5,-0.55,-1.94,-0.11,-0.13,-0.08,-0.1,-0.14,-0.08,-0.03,-0.12,-0,-0.09,-0.09
12,Interest & Investment Income,12.24,14.04,21.36,16.81,15.27,24.07,20.33,21.93,15.37,1.15,1.21,1.18,1.4,1.5,1.5
13,Earnings From Equity Investments,-,-0.65,0.65,-,-,-,-,-,-,-,-,-,-,-,-
14,Currency Exchange Gain (Loss),-0.19,0.19,-,0.13,-0.29,0.29,-,0.52,-0.36,0.36,-,-0.3,0.11,-0.05,-0.05
15,Other Non Operating Income (Expenses),-0.46,-0.1,0.09,-0.32,0.21,-1.79,1.29,-0.3,0.61,-0.03,-0.39,0.3,-0.1,-0.12,-0.12
16,EBT Excluding Unusual Items,0.11,10.53,-31.44,48.45,22.37,16.75,1.54,78.57,34,13.22,-15.2,29.06,35.92,-4.39,-4.39
17,Gain (Loss) on Sale of Investments,-,-,-,0,-0.09,-0.12,-,-,-,-,-,-,-,-,-
18,Gain (Loss) on Sale of Assets,-,-,-,0.01,-,-0,0.27,-0.05,-,0.07,-,-,-,-,-
19,Asset Writedown,-0.04,-0,-,-0.01,0.01,-0.01,-,-0.01,-0.02,-,-,-0.03,-,-,-
20,Other Unusual Items,-5.8,6.2,-0.4,24.1,-,-,-,19,-,-,-,12.28,-,-,-
