,Fiscal Quarter,Q4 2024,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021,Q4 2020,Q3 2020,Q2 2020,Q1 2020,+9 Quarters
,Period Ending,"Dec '24 Dec 31, 2024","Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Dec '22 Dec 31, 2022","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Dec '21 Dec 31, 2021","Sep '21 Sep 30, 2021","Jun '21 Jun 30, 2021","Mar '21 Mar 31, 2021","Dec '20 Dec 31, 2020","Sep '20 Sep 30, 2020","Jun '20 Jun 30, 2020","Mar '20 Mar 31, 2020",+9 Quarters
0,Revenue,1305,1299,-2820,5372,1648,1349,1930,-,875.59,36064,106119,78653,324136,115133,1839,2383,55717,56626,82815,12091,Upgrade
1,Revenue Growth (YoY),-20.78%,-3.75%,-,-,88.18%,-96.26%,-98.18%,-,-99.73%,-68.68%,5668.97%,3200.08%,481.76%,103.32%,-97.78%,-80.29%,-62.41%,-74.16%,-38.55%,-60.42%,Upgrade
2,Cost of Revenue,171.67,165.18,-1201,1486,19.75,62.37,37.91,-,49.09,80.3,16589,19976,25613,8037,335.65,535.85,6080,18169,9793,6849,Upgrade
3,Gross Profit,1134,1134,-1619,3886,1628,1287,1892,-,826.5,35983,89530,58677,298523,107096,1504,1848,49636,38457,73022,5242,Upgrade
4,"Selling, General & Admin",25325,16160,21225,4680,-71052,-20090,14690,15574,30024,-36862,20289,22753,48628,30864,45556,39138,22023,28816,28060,33171,Upgrade
5,Operating Expenses,25325,16160,21225,4680,-71052,-20090,14690,15574,30024,-36862,20289,22753,48628,30864,45556,39138,22023,28816,28060,33171,Upgrade
6,Operating Income,-24192,-15027,-22844,-793.38,72679,21377,-12798,-15574,-29198,72845,69241,35923,249895,76232,-44052,-37291,27613,9640,44963,-27929,Upgrade
7,Interest Expense,-25096,-13148,-25034,-1965,-16742,-10372,-27793,-763.36,-28393,-4893,-25891,-15418,-4158,-1616,-2872,-2194,-1482,-1048,-1034,-1338,Upgrade
8,Interest & Investment Income,0.07,0.09,0.08,0.06,0.06,0.09,0.23,1.04,4.26,14983,6496,8557,11.24,0.31,1.01,4.13,2.96,1.59,3.14,457.37,Upgrade
9,Earnings From Equity Investments,431.9,118.31,134.79,200.78,1066,283.98,284.6,524.09,353.87,321.89,-,161.15,-,-,-,-,-,-,-,-,Upgrade
10,Other Non Operating Income (Expenses),-1450,-764.23,42496,5980,-3455,17759,38751,-1026,-6282,-59949,67152,32752,-1945,9947,1050,4926,26350,-1197,-206.87,-1600,Upgrade
11,Pretax Income,-50305,-28821,-5247,3423,53548,29048,-1555,-16838,-63515,23307,116999,61975,243803,84563,-45873,-34555,52484,7397,43725,-30409,Upgrade
12,Income Tax Expense,-3452,-2437,7816,744.22,23589,12569,2310,-,-3241,7603,11098,7658,53352,11112,-,-,-369.07,2783,8529,52.9,Upgrade
13,Earnings From Continuing Operations,-46853,-26384,-13063,2679,29958,16479,-3865,-16838,-60274,15703,105901,54317,190451,73450,-45873,-34555,52853,4614,35196,-30462,Upgrade
14,Minority Interest in Earnings,29.87,15.06,27.35,1.65,0.27,0.26,27.38,1.65,0.19,-0.15,-,144.03,925.32,298.13,728.11,797.18,-1834,318.35,444.91,996.38,Upgrade
15,Net Income,-46823,-26369,-13035,2681,29959,16479,-3838,-16837,-60274,15703,105901,54461,191377,73749,-45145,-33757,51019,4932,35641,-29465,Upgrade
16,Net Income to Common,-46823,-26369,-13035,2681,29959,16479,-3838,-16837,-60274,15703,105901,54461,191377,73749,-45145,-33757,51019,4932,35641,-29465,Upgrade
17,Net Income Growth,-,-,-,-,-,4.94%,-,-,-,-78.71%,-,-,275.11%,1395.24%,-,-,168.45%,-83.81%,33.01%,-,Upgrade
18,Shares Outstanding (Basic),93,93,92,92,92,92,91,93,87,87,87,87,78,71,67,67,35,32,32,21,Upgrade
19,Shares Outstanding (Diluted),93,93,92,92,92,92,91,93,87,87,87,87,78,71,67,67,35,32,32,21,Upgrade
20,Shares Change (YoY),0.76%,0.52%,1.20%,-0.08%,5.05%,5.76%,5.18%,6.50%,11.49%,23.03%,29.51%,29.53%,126.15%,122.31%,109.89%,223.80%,92.56%,13.74%,75.60%,26.12%,Upgrade
21,EPS (Basic),-505.66,-284.32,-140.97,29.00,326.00,178.61,-42.00,-182.00,-689.00,180.00,1219.00,627.00,2439.05,1040.00,-673.02,-503.40,1470.48,154.63,1115.21,-1422.74,Upgrade
22,EPS (Diluted),-506.00,-284.32,-140.97,29.00,326.00,178.61,-42.00,-182.00,-689.00,180.00,1219.00,627.00,2439.05,1040.00,-673.02,-503.40,1470.48,154.63,1115.21,-1422.74,Upgrade
23,EPS Growth,-,-,-,-,-,-0.77%,-,-,-,-82.69%,-,-,65.87%,572.59%,-,-,39.42%,-85.76%,-24.25%,-,Upgrade
24,Free Cash Flow,33627,17400,923.35,9495,60961,60961,-,1244,-,-259144,-32069,-32069,-402196,2550,-260685,-260685,-34385,172.56,-1197,-33941,Upgrade
25,Free Cash Flow Per Share,363.15,187.61,9.99,102.72,663.35,660.70,-,13.45,-,-2970.45,-369.14,-369.21,-5125.89,35.96,-3886.28,-3887.42,-991.06,5.41,-37.46,-1638.85,Upgrade
