,Fiscal Quarter,Current,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021
,Period Ending,"Mar '25 Mar 12, 2025","Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Jan '23 Jan 1, 2023","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Jan '22 Jan 1, 2022","Sep '21 Sep 30, 2021","Jun '21 Jun 30, 2021","Mar '21 Mar 31, 2021"
0,Market Capitalization,59740,50499,41834,45444,57470,56965,66695,66956,48903,49028,-,-,-,-,-,-
1,Market Cap Growth,-11.35%,-11.35%,-37.28%,-32.13%,17.52%,16.19%,-,-,-,-,-,-,-,-,-,-
2,Enterprise Value,57440,47915,39002,42476,54503,53756,63097,63409,45356,48725,-,-,-,-,-,-
3,Last Close Price,110.03,93.01,77.05,83.54,105.64,104.72,122.60,122.92,89.78,90.01,-,-,-,-,-,-
4,PE Ratio,679.90,574.73,270.27,242.70,286.32,233.40,291.38,341.31,263.61,279.64,-,-,-,-,-,-
5,Forward PE,186.49,189.82,144.02,164.12,190.72,209.84,221.33,284.21,206.02,219.39,-,-,-,-,-,-
6,PS Ratio,53.58,45.32,39.87,42.71,56.88,59.66,71.22,77.78,61.28,68.35,-,-,-,-,-,-
7,PB Ratio,12.18,10.30,8.65,9.39,12.01,12.00,14.31,14.33,10.51,10.70,-,-,-,-,-,-
8,P/TBV Ratio,11.05,11.05,9.31,10.13,13.01,13.00,15.44,15.47,11.15,11.39,-,-,-,-,-,-
9,P/FCF Ratio,-,-,-,833.92,429.41,-,993.77,900.75,1925.74,-,-,-,-,-,-,-
10,P/OCF Ratio,1267.62,-,-,262.96,231.25,-,156.48,147.94,109.74,-,-,-,-,-,-,-
11,EV/Sales Ratio,51.55,43.00,37.17,39.92,53.94,56.30,67.38,73.66,56.83,67.93,-,-,-,-,-,-
12,EV/EBITDA Ratio,-,379.68,-,194.41,238.83,449.13,559.25,809.12,-,331.42,-,-,-,-,-,-
13,EV/EBIT Ratio,-,734.32,-,-,352.22,1268.99,1453.55,5177.59,-,503.75,-,-,-,-,-,-
14,EV/FCF Ratio,-1021.33,-,-,779.46,407.24,-,940.15,853.04,1786.09,-,-,-,-,-,-,-
15,Debt / Equity Ratio,0.02,0.02,0.02,0.03,0.03,0.03,0.02,0.03,0.02,0.07,0.33,0.24,0.24,-,0.20,0.20
16,Debt / EBITDA Ratio,63.18,0.21,-,2.52,0.60,0.34,0.26,1.22,-,0.91,2.16,2.46,2.87,-,1.88,1.88
17,Debt / FCF Ratio,-,-,-,2.71,1.09,-,1.12,1.59,3.23,-,102.78,-19.27,-3.65,-,4.74,9.49
18,Asset Turnover,0.23,0.17,0.16,0.27,0.18,0.18,0.12,0.24,0.24,-,-,-,-,0.24,-,
19,Inventory Turnover,1.52,1.53,2.56,0.58,2.02,1.32,0.72,0.26,1.76,2.08,-,-,-,-,1.17,-
20,Quick Ratio,13.83,13.83,9.33,8.92,7.08,8.92,8.76,6.54,8.90,18.40,2.42,-,1.89,-,2.11,2.11
21,Current Ratio,15.69,15.69,9.63,9.41,7.25,9.24,9.03,6.89,9.39,19.32,3.01,-,2.47,-,2.58,2.58
22,Return on Equity (ROE),1.70%,2.50%,0.64%,2.46%,7.45%,5.37%,1.81%,6.30%,10.31%,11.78%,4.22%,-,-,4.50%,-,
23,Return on Assets (ROA),4.50%,-2.72%,-0.01%,1.32%,3.55%,2.05%,0.25%,-3.91%,5.30%,-,-,-,-,1.59%,-,
24,Return on Capital (ROIC),4.82%,-2.96%,-0.01%,1.46%,3.94%,2.35%,0.29%,-4.35%,6.11%,2.61%,2.75%,-,-,2.26%,-,
25,Return on Capital Employed (ROCE),-,1.28%,-,-,3.07%,0.85%,0.88%,0.25%,-,1.89%,4.66%,-,-,-,1.54%,0.77%
26,Earnings Yield,0.15%,0.17%,0.37%,0.41%,0.35%,0.43%,0.34%,0.29%,0.38%,0.36%,-,-,-,-,-,-
27,FCF Yield,-0.09%,-0.11%,-0.13%,0.12%,0.23%,0.41%,0.10%,0.11%,0.05%,-0.20%,-,-,-,-,-,-
28,Dividend Yield,0.14%,-,-,-,0.14%,-,-,-,0.17%,-,-,-,-,-,-,-
29,Payout Ratio,94.71%,-,277.36%,7.48%,1.91%,0.21%,130.92%,1.27%,2.61%,3.33%,8.42%,23.37%,3.42%,3.01%,28.82%,28.82%
30,Buyback Yield / Dilution,-0.68%,-0.18%,0.10%,-0.01%,-2.68%,-7.12%,-25.03%,-24.97%,-20.21%,-16.79%,0.19%,-0.15%,-,-,-,-
31,Total Shareholder Return,-0.54%,-0.18%,0.10%,-0.01%,-2.54%,-7.12%,-25.03%,-24.97%,-20.04%,-16.79%,0.19%,-0.15%,-,-,-,-
