,Fiscal Quarter,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021
,Period Ending,"Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Jan '23 Jan 1, 2023","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Jan '22 Jan 1, 2022","Sep '21 Sep 30, 2021","Jun '21 Jun 30, 2021","Mar '21 Mar 31, 2021"
0,Operating Revenue,305.59,224.49,213.46,347.54,248.03,231.77,159.78,284.31,231.42,154.36,97.01,223.1,166.42,89.17,89.17
1,Other Revenue,-5.84,5.84,-,23.27,-13.28,13.28,-,30.96,-15.12,15.12,-,11.44,-4.03,2.01,2.01
2,Revenue,299.75,230.33,213.46,370.81,234.75,245.05,159.78,315.27,216.3,169.48,97.01,234.54,162.4,91.18,91.18
3,Revenue Growth (YoY),27.69%,-6.01%,33.59%,17.62%,8.53%,44.59%,64.71%,34.42%,33.20%,85.87%,6.39%,-,-,-,-
4,Cost of Revenue,20.53,32.68,7.29,26.59,21.36,13.37,4.77,26.58,30.01,21.49,2.07,17.93,15.96,14.18,14.18
5,Gross Profit,279.22,197.65,206.17,344.22,213.39,231.68,155.01,288.69,186.29,147.99,94.93,216.61,146.44,77,77
6,"Selling, General & Admin",80.15,79.16,68.31,103.62,79.61,67.4,43.12,99.57,43.15,50.77,38.53,67.19,33.14,34.6,34.6
7,Research & Development,193.02,162.85,186.39,233.51,137.49,165.91,147.88,193.12,107.25,98.8,87.48,113.16,75.28,58.05,58.05
8,Other Operating Expenses,-90.91,7.88,-44.62,-25.78,-81.55,-44.01,-41.16,79.58,-48.4,-15.71,-38.75,41.86,-22.56,-20.78,-20.78
9,Operating Expenses,183.44,256.48,206.46,315.63,137.65,186.83,149.47,372.47,109.5,134.3,81.36,223.94,91.65,67.48,67.48
10,Operating Income,95.78,-58.83,-0.3,28.59,75.74,44.85,5.55,-83.79,76.79,13.69,13.57,-7.33,54.79,9.52,9.52
11,Interest Expense,-,-0.89,-1.02,-0.92,-0.48,-0.89,-0.11,-2.07,-5.51,-2.78,-3.95,-0.76,-0.44,-0.36,-0.36
12,Interest & Investment Income,15.62,18.28,18.92,15.87,15.35,16.21,15.67,20.87,-,15.89,1.13,0.39,0.92,0.53,0.53
13,Currency Exchange Gain (Loss),3.38,-3.38,-,-1.13,-0.01,0.01,-,3.92,-2.03,2.03,-,-0.65,0.21,-0.11,-0.11
14,Other Non Operating Income (Expenses),-7.58,1.94,-1.3,-0.47,-1.18,2.15,-1.64,-7.99,4.6,0.04,-0.28,-2.49,-0.15,0.04,0.04
15,EBT Excluding Unusual Items,107.2,-42.89,16.31,41.94,89.43,62.33,19.48,-69.06,73.86,28.87,10.47,-10.84,55.33,9.63,9.63
