,Fiscal Quarter,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021
,Period Ending,"Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Jan '23 Jan 1, 2023","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Jan '22 Jan 1, 2022","Sep '21 Sep 30, 2021","Jun '21 Jun 30, 2021","Mar '21 Mar 31, 2021"
0,Cash & Equivalents,2392,2543,2980,3103,2768,1873,2451,2582,3665,458.5,-,377.59,-,364.77,364.77
1,Short-Term Investments,-,145.12,-,52.93,-,30.09,-,-,-,-,-,-,-,-,-
2,Trading Asset Securities,-,-,-,-,330.38,1382,1266,1095,202.36,191.69,-,60.59,-,121.57,121.57
3,Cash & Short-Term Investments,2392,2688,2980,3156,3098,3284,3717,3677,3867,650.19,438.18,438.18,-,486.34,486.34
4,Cash Growth,-22.79%,-18.17%,-19.83%,-14.16%,-19.89%,405.16%,748.19%,739.05%,-,33.69%,-9.90%,-,-,-,-
5,Accounts Receivable,377.6,349.22,223.97,301.79,181.21,169.76,204.52,226.54,165.75,93.67,-,197.95,-,60.19,60.19
6,Other Receivables,27.45,26.91,29.06,24.18,15.13,14.16,18.81,14.68,13.34,19.76,-,19.01,-,4.13,4.13
7,Receivables,405.06,376.13,253.03,325.97,196.35,183.92,223.33,241.21,179.08,113.42,-,216.96,-,64.31,64.31
8,Inventory,57.47,49.66,52.29,48.14,57.07,72.05,76.36,72.05,48.64,66.86,-,55.32,-,48.59,48.59
9,Other Current Assets,317.65,49.21,122.17,34.38,60.96,34.65,135.01,145.29,154.03,117.73,-,146.39,-,73.95,73.95
10,Total Current Assets,3172,3163,3407,3564,3412,3575,4151,4135,4249,948.2,-,856.85,-,673.19,673.19
11,"Property, Plant & Equipment",574.42,590.91,595.6,601.28,578.42,572.71,556.74,553.53,544.98,522.99,-,507.25,-,327.29,327.29
12,Long-Term Investments,395.41,1049,387.37,783.79,239.24,574.57,143.63,149.45,100.58,116.91,-,104.72,-,103.02,103.02
13,Goodwill,45.74,45.74,45.74,45.74,45.74,45.74,45.74,-,-,-,-,-,-,-,-
14,Other Intangible Assets,289.74,300.45,309.59,319.37,320.37,293.96,298.18,266.7,275.6,278.95,-,278.85,-,292.12,292.12
15,Long-Term Deferred Tax Assets,9.84,8.31,5.96,5.87,-,-,-,-,-,-,-,-,-,-,-
16,Long-Term Deferred Charges,4.18,5,1.3,2.02,3.73,5.93,8.2,10.19,15.87,18.78,-,24.59,-,24.7,24.7
17,Other Long-Term Assets,792.09,201.17,683.8,213.06,732.95,270.35,374.3,280.66,138.67,33.53,-,29.31,-,77.06,77.06
18,Total Assets,5283,5363,5437,5536,5333,5338,5578,5396,5324,1919,-,1802,-,1497,1497
19,Accounts Payable,36.49,25.77,17.68,37.19,25.32,25.74,30.65,25.56,31.09,77.45,-,99.89,-,87.66,87.66
20,Accrued Expenses,21.44,55.73,42.09,169.41,39.03,35.32,37.1,164.24,17.28,36.76,-,103.83,-,34.53,34.53
21,Short-Term Debt,-,-,50.04,50.04,50,-,50,-,50,60,-,-,-,-,-
22,Current Portion of Long-Term Debt,36.65,12.91,33.92,8.08,18.9,3.22,14.24,13,39.14,24.87,-,24.85,-,-,-
23,Current Portion of Leases,-,21.16,-,16.1,-,9.65,-,13.74,-,16.79,-,18.5,-,18.39,18.39
24,Current Income Taxes Payable,22.71,1.43,11.11,3.14,11.64,-,9.46,-,11.9,-,-,-,-,-,-
25,Current Unearned Revenue,44.93,139.02,137.78,118.04,175.5,270.25,414.32,211.62,34.55,86.07,-,80.84,-,104.85,104.85
26,Other Current Liabilities,39.99,72.35,69.62,89.62,48.96,51.76,46.68,12.24,35.98,12.96,-,18.69,-,15.46,15.46
27,Total Current Liabilities,202.22,328.37,362.25,491.63,369.36,395.95,602.45,440.39,219.94,314.89,-,346.6,-,260.88,260.88
28,Long-Term Debt,33.84,41.9,41.9,48.34,48.34,54.78,53,53,223.5,237.27,-,181.61,-,133.9,133.9
29,Long-Term Leases,21.04,27.51,21.82,23.19,13,7.55,1.26,2.23,8.06,8.49,-,15.71,-,24.21,24.21
30,Long-Term Unearned Revenue,114.47,119.46,163.91,181.76,148.24,215.94,243.96,247.96,293.1,320.29,-,263.12,-,202.35,202.35
31,Long-Term Deferred Tax Liabilities,7.42,7.41,6.08,7.28,4.78,4.91,5.04,-,-,-,-,-,-,-,-
32,Total Liabilities,378.99,524.65,595.97,752.19,583.72,679.12,905.71,743.58,744.6,880.95,-,807.05,-,621.34,621.34
33,Common Stock,542.94,542.94,542.94,542.94,542.94,542.94,542.94,542.94,542.94,434.35,-,434.35,-,434.35,434.35
34,Additional Paid-In Capital,3954,3906,3857,3808,3802,3799,3797,3797,3797,439.36,-,439.36,-,439.36,439.36
35,Retained Earnings,413.04,392.37,443.6,435.94,406.62,319.02,337.8,316.65,243.99,171.58,-,131.15,-,11.56,11.56
36,Comprehensive Income & Other,-5.87,-2.82,-3.24,-3.49,-2.71,-2.16,-5.15,-4.3,-3.83,-6.87,-,-10.34,-,-9.24,-9.24
37,Shareholders' Equity,4904,4838,4841,4783,4749,4659,4672,4652,4580,1038,994.52,994.52,-,876.03,876.03
38,Total Liabilities & Equity,5283,5363,5437,5536,5333,5338,5578,5396,5324,1919,-,1802,-,1497,1497
39,Total Debt,91.54,103.47,147.68,145.75,130.24,75.21,118.51,81.97,320.7,347.42,240.68,240.68,-,176.5,176.5
40,Net Cash (Debt),2300,2584,2832,3010,2968,3209,3598,3595,3546,302.77,197.5,197.5,-,309.84,309.84
41,Net Cash Growth,-22.49%,-19.48%,-21.29%,-16.26%,-16.32%,959.97%,1721.82%,1720.05%,-,-2.28%,-36.26%,-,-,-,-
42,Net Cash Per Share,4.23,4.77,5.21,5.56,5.46,5.92,6.62,6.82,6.99,0.70,0.45,0.45,-,0.71,0.71
43,Filing Date Shares Outstanding,542.94,542.94,542.94,542.94,542.94,542.94,542.94,542.94,542.94,542.94,434.99,434.35,434.16,434.35,434.35
44,Total Common Shares Outstanding,542.94,542.94,542.94,542.94,542.94,542.94,542.94,542.94,542.94,434.35,434.99,434.35,434.16,434.35,434.35
