,Fiscal Quarter,H1 2024,H2 2023,H1 2023,H2 2022,H1 2022,H2 2021,H1 2021,H2 2020,H1 2020,H2 2019
,Period Ending,"Jun '24 Jun 30, 2024","Dec '23 Dec 31, 2023","Jun '23 Jun 30, 2023","Dec '22 Dec 31, 2022","Jun '22 Jun 30, 2022","Dec '21 Dec 31, 2021","Jun '21 Jun 30, 2021","Dec '20 Dec 31, 2020","Jun '20 Jun 30, 2020","Dec '19 Dec 31, 2019"
0,Cash & Equivalents,322.66,445.5,691.32,865.08,337.27,930.15,1233,1066,1792,195.53
1,Short-Term Investments,11.01,12.56,10.63,11.88,10.22,126.58,522.41,327.53,-,1.28
2,Trading Asset Securities,0.1,-,-,-,40,-,-,-,-,-
3,Cash & Short-Term Investments,333.77,458.05,701.95,876.96,387.49,1057,1755,1393,1792,196.81
4,Cash Growth,-52.45%,-47.77%,81.15%,-17.01%,-77.92%,-24.15%,-2.06%,607.84%,-,574.17%
5,Other Receivables,13.57,6.48,27.84,-,178.26,-,141.27,-,15.04,-
6,Receivables,13.57,6.48,27.84,-,178.26,-,141.27,-,15.04,-
7,Inventory,0.2,-,603.1,603.5,605.65,351.36,26.08,-,-,-
8,Restricted Cash,0.43,0.43,5.85,5.64,5.44,1.66,-,-,-,-
9,Other Current Assets,23.38,7.6,-,21.77,-,116.15,-,27.49,-,23.8
10,Total Current Assets,371.35,472.56,1339,1508,1177,1526,1923,1421,1807,220.61
11,"Property, Plant & Equipment",191.41,221.84,273,282.48,279.42,262.3,235.44,186.68,153.23,112.78
12,Long-Term Investments,18,18,17.81,17.95,18.51,-,-,-,-,-
13,Other Intangible Assets,149,148.94,235.59,235.65,235.69,235.62,209.68,209.76,179.27,179.3
14,Other Long-Term Assets,9.78,7.9,8.99,11.2,39.92,44.17,33.17,34.42,37.42,40.68
15,Total Assets,739.54,869.23,1874,2055,1750,2068,2401,1851,2177,553.38
16,Accounts Payable,51.05,81.6,140.24,180.4,250.81,172.96,32.69,28.81,40.69,23.37
17,Accrued Expenses,5.26,17.32,19.06,19.89,16.76,25.12,15.25,16.38,9.17,10.53
18,Short-Term Debt,20,20,40,40,40,-,-,79.9,108.7,58.7
19,Current Portion of Long-Term Debt,155.1,93.7,60.6,58.9,11.4,7.4,5.6,3.7,1,-
20,Current Portion of Leases,3.79,4.53,4.17,4.44,5.19,2.07,1.99,2.71,3.05,3.09
21,Current Unearned Revenue,-,-,-,-,-,-,0.1,0.36,0.52,0.8
22,Other Current Liabilities,3.05,7.58,9.82,14.5,18.29,12.2,14.32,37.47,74.95,46.1
23,Total Current Liabilities,238.26,224.73,273.89,318.13,342.44,219.74,69.95,169.33,238.08,142.58
24,Long-Term Debt,59.2,133.4,214.3,177.6,170.3,147.5,132.1,134.9,98.5,-
25,Long-Term Leases,0.71,2.29,3.49,5.45,7.65,2.76,-,0.49,0.94,2.31
26,Long-Term Unearned Revenue,18.76,19.66,18.13,19.95,3.61,4.01,-,-,-,-
27,Long-Term Deferred Tax Liabilities,31.04,31.04,38.82,38.82,38.82,38.82,38.82,38.82,38.82,38.82
28,Total Liabilities,347.97,411.12,548.63,559.95,562.83,412.83,240.87,343.54,376.33,183.71
29,Common Stock,0.32,0.32,0.32,0.32,0.27,0.27,0.27,0.26,0.26,0.02
30,Additional Paid-In Capital,4231,4182,4177,4104,-,3359,-,-,-,-
31,Retained Earnings,-3856,-3785,-2936,-2724,-2288,-1769,-1253,-927.38,-614.53,-419.08
32,Comprehensive Income & Other,15.92,60.73,84.46,114.77,3475,65.49,3413,2435,2415,788.73
33,Shareholders' Equity,391.58,458.11,1326,1495,1188,1655,2160,1508,1801,369.66
34,Total Liabilities & Equity,739.54,869.23,1874,2055,1750,2068,2401,1851,2177,553.38
35,Total Debt,238.8,253.92,322.57,286.39,234.54,159.73,139.69,221.7,212.18,64.1
36,Net Cash (Debt),94.97,204.13,379.38,590.57,152.95,897,1616,1171,1580,132.72
37,Net Cash Growth,-74.97%,-65.43%,148.04%,-34.16%,-90.53%,-23.43%,2.25%,782.66%,-,-
38,Net Cash Per Share,0.22,0.48,0.89,1.52,0.42,2.47,4.63,3.39,5.79,0.53
39,Filing Date Shares Outstanding,432.97,439.4,447.5,447.5,387.59,387.59,387.59,369.39,369.39,369.39
40,Total Common Shares Outstanding,432.97,439.4,447.5,447.5,387.59,387.59,387.59,369.39,369.39,253.43
41,Working Capital,133.09,247.83,1065,1190,834.39,1306,1853,1251,1569,78.03
42,Book Value Per Share,0.90,1.04,2.96,3.34,3.06,4.27,5.57,4.08,4.88,1.46
43,Tangible Book Value,242.57,309.17,1090,1260,951.86,1420,1950,1298,1622,190.37
44,Tangible Book Value Per Share,0.56,0.70,2.44,2.81,2.46,3.66,5.03,3.51,4.39,0.75
45,Buildings,-,89.23,-,89.23,-,57.66,-,57.66,-,-
46,Machinery,-,58.7,-,58.24,-,46.78,-,29.88,-,12.48
47,Construction In Progress,-,109.24,-,105.66,-,125.74,-,92.29,-,91.08
