,Fiscal Quarter,Current,H1 2024,H2 2023,H1 2023,H2 2022,H1 2022,H2 2021,H1 2021,H2 2020,H1 2020,H2 2019
,Period Ending,"Mar '25 Mar 13, 2025","Jun '24 Jun 30, 2024","Dec '23 Dec 31, 2023","Jun '23 Jun 30, 2023","Dec '22 Dec 31, 2022","Jun '22 Jun 30, 2022","Dec '21 Dec 31, 2021","Jun '21 Jun 30, 2021","Dec '20 Dec 31, 2020","Jun '20 Jun 30, 2020","Dec '19 Dec 31, 2019"
0,Market Capitalization,515,457,729,1607,4408,7248,4767,24418,3864,5563,-
1,Market Cap Growth,-71.56%,-71.56%,-83.45%,-77.83%,-7.54%,-70.32%,23.38%,338.94%,-,-,-
2,Enterprise Value,413,232,319,939,4229,6147,2824,23027,2130,5415,-
3,Last Close Price,1.19,1.04,1.63,3.59,9.85,18.70,12.30,63.00,10.46,15.06,-
4,Forward PE,-,-,-,-,-,-,-,18.92,-,-,-
5,PS Ratio,-,-,-,-,-,-,113.46,-,-,-,-
6,PB Ratio,1.22,1.09,1.45,1.12,2.61,5.21,2.35,9.40,2.16,2.82,-
7,P/TBV Ratio,1.75,1.75,2.14,1.36,3.10,6.50,2.74,10.41,2.51,3.13,-
8,EV/Sales Ratio,-,-,-,-,-,-,67.22,-,-,-,-
9,Debt / Equity Ratio,0.61,0.61,0.55,0.24,0.19,0.20,0.10,0.06,0.15,0.12,0.17
10,Earnings Yield,-191.91%,-216.37%,-160.22%,-43.59%,-24.48%,-16.72%,-21.68%,-3.15%,-15.62%,-6.50%,-
11,FCF Yield,-59.88%,-67.51%,-58.95%,-32.54%,-25.36%,-22.13%,-29.03%,-3.61%,-13.83%,-7.46%,-
12,Buyback Yield / Dilution,-5.42%,-0.46%,-10.91%,-17.15%,-6.47%,-4.82%,-5.23%,-27.84%,-39.26%,-18.44%,-26.71%
13,Total Shareholder Return,-5.42%,-0.46%,-10.91%,-17.15%,-6.47%,-4.82%,-5.23%,-27.84%,-39.26%,-18.44%,-26.71%
