,Fiscal Quarter,Q4 2024,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021,Q4 2020,Q3 2020,Q2 2020,Q1 2020,+20 Quarters
,Period Ending,"Dec '24 Dec 31, 2024","Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Jan '23 Jan 1, 2023","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Jan '22 Jan 1, 2022","Sep '21 Sep 30, 2021","Jun '21 Jun 30, 2021","Mar '21 Mar 31, 2021","Jan '21 Jan 1, 2021","Sep '20 Sep 30, 2020","Jun '20 Jun 30, 2020","Mar '20 Mar 31, 2020",+20 Quarters
0,Revenue,71037772,64324389,73559419,75106197,68382921,72414132,65749810,67432314,78366583,73694770,84367409,67635049,49267336,34625296,46868912,38247061,31271258,27461973,26707681,38477738,Upgrade
1,Revenue Growth (YoY),3.88%,-11.17%,11.88%,11.38%,-12.74%,-1.74%,-22.07%,-0.30%,59.06%,112.84%,80.01%,76.84%,57.55%,26.08%,75.49%,-0.60%,-36.57%,-43.54%,-46.26%,-8.30%,Upgrade
2,Cost of Revenue,66433806,60887954,68953778,70436759,64388848,68634571,61818707,63873149,74083468,70891979,81964902,64803827,46301227,32589629,42641539,34853306,27549255,24325672,23975845,38027942,Upgrade
3,Gross Profit,4603965,3436435,4605641,4669438,3994073,3779561,3931103,3559165,4283116,2802791,2402507,2831223,2966109,2035667,4227373,3393755,3722003,3136302,2731837,449796,Upgrade
4,"Selling, General & Admin",4175719,3586880,3369138,3436109,3571674,3325439,3177656,3014265,3417958,2602982,2778848,2523019,2530472,2073950,2631317,2603346,2766889,2227850,2251234,2164729,Upgrade
5,Operating Expenses,4175719,3586880,3369138,3436109,3571674,3325439,3177656,3014265,3417958,2602982,2778848,2523019,2530472,2073950,2631317,2603346,2766889,2227850,2251234,2164729,Upgrade
6,Operating Income,428246,-150444,1236503,1233329,422399,454122,753447,544900,865158,199809,-376341,308204,435637,-38283,1596057,790408,955113,908452,480603,-1714934,Upgrade
7,Interest Expense,-61254,-,-312530,-195088,-194745,-,-230137,-234949,-158072,-154089,-166103,-162437,-146534,-164021,-148406,-145613,-151277,-192868,-168538,-201387,Upgrade
8,Interest & Investment Income,294571,-,487910,263303,323860,-,431953,230731,234178,-,416250,-,190618,263173,101189,159328,157320,198112,161129,184761,Upgrade
