,Fiscal Quarter,Current,Q4 2024,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021,Q4 2020,Q3 2020,Q2 2020,Q1 2020,+20 Quarters
,Period Ending,"Mar '25 Mar 12, 2025","Dec '24 Dec 31, 2024","Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Jan '23 Jan 1, 2023","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Jan '22 Jan 1, 2022","Sep '21 Sep 30, 2021","Jun '21 Jun 30, 2021","Mar '21 Mar 31, 2021","Jan '21 Jan 1, 2021","Sep '20 Sep 30, 2020","Jun '20 Jun 30, 2020","Mar '20 Mar 31, 2020",+20 Quarters
0,Market Capitalization,52983696,47647209,56541354,51967222,47393090,43835432,47647209,47456620,47583679,40277774,41802485,51204867,70136691,68484921,65562559,69530965,67156609,67257003,61306306,52991189,43464683,Upgrade
1,Market Cap Growth,8.70%,8.70%,18.67%,9.50%,-0.40%,8.83%,13.98%,-7.32%,-32.16%,-41.19%,-36.24%,-26.36%,4.44%,1.83%,6.94%,31.21%,54.51%,0.86%,-14.90%,-23.93%,-37.50%,Upgrade
2,Enterprise Value,43936268,39422638,50632967,46179401,40570792,37269723,42191748,48802522,46582615,39715859,45383945,52921154,70618830,72394360,66091857,68871114,66970247,69268818,62430690,57304741,45074243,Upgrade
3,Last Close Price,41700.00,37500.00,44500.00,40900.00,35895.98,33201.38,36088.46,35321.31,35415.88,29978.19,29845.25,36558.16,50074.71,48895.41,46808.97,49711.85,48960.43,48516.14,44695.27,38794.07,31819.85,Upgrade
4,PE Ratio,22.80,16.49,24.15,17.25,18.08,-,17.23,22.32,42.60,44.42,146.89,-,35.86,-,22.34,18.73,20.41,91.32,116.50,93.14,-,Upgrade
5,Forward PE,17.46,12.72,14.31,15.08,14.82,13.20,14.25,14.95,18.64,15.25,13.67,15.57,17.98,18.65,16.71,18.16,22.98,24.22,27.83,14.02,12.70,Upgrade
6,PS Ratio,0.23,0.17,0.20,0.18,0.17,0.16,0.17,0.17,0.16,0.13,0.15,0.22,0.35,0.41,0.43,0.48,0.54,0.54,0.43,0.32,0.23,Upgrade
7,PB Ratio,2.04,1.63,1.97,1.83,1.56,1.50,1.68,1.70,1.67,1.45,1.58,1.95,2.45,2.42,2.38,2.54,2.54,2.79,2.63,2.32,1.98,Upgrade
8,P/TBV Ratio,2.02,2.02,2.45,2.27,1.92,1.86,2.07,2.11,2.09,1.82,1.99,2.45,3.02,3.00,2.94,3.14,3.16,3.56,3.35,3.00,2.61,Upgrade
