,Fiscal Quarter,Current,H2 2024,H1 2024,H2 2023,H1 2023,H2 2022,H1 2022,H2 2021,H1 2021,H2 2020,H1 2020
,Period Ending,"Mar '25 Mar 13, 2025","Dec '24 Dec 31, 2024","Jun '24 Jun 30, 2024","Dec '23 Dec 31, 2023","Jun '23 Jun 30, 2023","Dec '22 Dec 31, 2022","Jun '22 Jun 30, 2022","Dec '21 Dec 31, 2021","Jun '21 Jun 30, 2021","Dec '20 Dec 31, 2020","Jun '20 Jun 30, 2020"
0,Market Capitalization,6229,4949,4072,2278,2473,2195,3183,4363,1850,986,1041
1,Market Cap Growth,117.25%,117.25%,64.67%,3.78%,-22.31%,-49.69%,72.09%,342.52%,77.64%,-15.90%,-12.49%
2,Enterprise Value,5803,4584,3820,2096,2301,2064,2979,4182,1632,833,825
3,Last Close Price,5.65,4.34,3.48,1.85,1.95,1.68,2.39,3.19,1.34,0.67,0.70
4,PE Ratio,21.08,16.75,14.95,10.38,12.79,12.42,18.26,26.39,12.94,8.94,11.73
5,Forward PE,17.27,15.17,15.49,8.72,10.52,8.41,13.63,22.40,13.85,8.02,9.39
6,PS Ratio,6.86,5.46,4.88,3.09,3.46,3.24,4.98,7.55,3.88,2.41,2.80
7,PB Ratio,14.24,11.32,10.02,5.81,7.18,6.50,10.55,13.96,6.93,3.55,4.55
8,P/TBV Ratio,11.70,11.70,10.42,6.05,7.47,6.79,10.98,14.44,7.17,3.66,4.73
9,P/FCF Ratio,14.59,11.59,9.83,7.87,11.25,16.75,26.64,30.49,12.09,8.19,13.05
10,P/OCF Ratio,11.55,11.55,9.70,7.73,11.11,16.02,25.16,29.58,11.85,8.03,12.58
11,PEG Ratio,0.78,0.52,0.52,0.52,0.52,0.52,0.52,0.52,0.52,0.52,0.52
12,EV/Sales Ratio,6.40,5.05,4.58,2.85,3.22,3.05,4.66,7.24,3.42,2.03,2.22
13,EV/EBITDA Ratio,15.96,13.05,11.92,8.02,9.77,9.52,13.73,20.52,9.68,6.44,7.68
14,EV/EBIT Ratio,17.15,13.55,12.40,8.40,10.25,10.01,14.44,21.64,10.34,6.99,8.42
15,EV/FCF Ratio,13.59,10.74,9.22,7.24,10.47,15.75,24.94,29.22,10.67,6.92,10.35
16,Debt / Equity Ratio,0.20,0.20,0.13,0.09,0.17,0.20,0.26,0.18,0.06,0.13,0.07
17,Debt / FCF Ratio,0.20,0.20,0.13,0.12,0.27,0.52,0.67,0.38,0.10,0.29,0.19
18,Return on Capital Employed (ROCE),63.13%,63.13%,62.97%,55.03%,58.01%,55.02%,61.51%,55.88%,54.72%,40.02%,39.20%
19,Earnings Yield,4.74%,5.97%,6.69%,9.64%,7.82%,8.05%,5.48%,3.79%,7.73%,11.19%,8.52%
20,FCF Yield,6.85%,8.63%,10.18%,12.70%,8.89%,5.97%,3.75%,3.28%,8.27%,12.20%,7.66%
21,Dividend Yield,5.28%,5.57%,6.26%,9.70%,8.08%,8.67%,5.93%,4.26%,8.66%,13.74%,10.88%
22,Buyback Yield / Dilution,-0.20%,-0.36%,-0.04%,-0.10%,-0.05%,0.07%,-1.52%,-2.51%,-1.71%,-0.78%,-0.65%
23,Total Shareholder Return,5.08%,5.22%,6.22%,9.60%,8.04%,8.74%,4.41%,1.75%,6.95%,12.95%,10.23%
